q,w,k_total,rule_ensemble,mutation_rate,exact_B_classes,exact_C_classes,exact_Dtop_classes,exact_Dbottom_classes,source_label_classes,source_residual_qcoords,source_liveness,phi_AC_transport,phi_BD_transport,phi_CD_transport,min_edge_transport,min_edge_accuracy,valid_square,delta_type,nontrivial_path_holonomy,top_type,bottom_type,generated_group_name,generated_group_order,gauge_covariance_success,conjugacy_class_success,min_residual_qcoords,blind_fitness,blind_fitness_stage,search_mode,run,generation,candidate,seed,target_mode,proposal_mode,entry_rate,table_rate,fitness_mode,phi_AB,phi_BD,phi_AC,phi_CD,top,bottom,delta,generated_group_abelian,generated_group_cyclic,generated_group_transitive
5,1,19,random,0.0,1,1,2,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.60009765625,False,invalid,False,invalid,invalid,invalid,0,,,0.0,0.0,transport,null,-1,0,0,31051137.0,random,,,,,,,,,,,,,,
5,1,19,random,0.0,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,False,invalid,False,invalid,invalid,invalid,0,,,0.0,0.0,transport,null,-1,0,1,31051138.0,random,,,,,,,,,,,,,,
5,1,19,random,0.0,2,1,1,2,2,0.43067655807339306,1.0000000000000002,0.0,0.0,0.0,0.0,0.800048828125,False,invalid,False,invalid,invalid,invalid,0,,,0.0,0.0010000000000000002,transport,null,-1,0,2,31051139.0,random,,,,,,,,,,,,,,
5,1,19,random,0.0,1,1,2,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.60009765625,False,invalid,False,invalid,invalid,invalid,0,,,0.0,0.0,transport,null,-1,0,3,31051140.0,random,,,,,,,,,,,,,,
5,1,19,random,0.0,1,2,1,2,1,0.0,0.0,0.0,0.0,0.4459885198796779,0.0,0.60009765625,False,invalid,False,invalid,invalid,invalid,0,,,0.0,0.0,transport,null,-1,0,4,31051141.0,random,,,,,,,,,,,,,,
5,1,19,random,0.0,1,3,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.599853515625,False,invalid,False,invalid,invalid,invalid,0,,,0.0,0.0,transport,null,-1,0,5,31051142.0,random,,,,,,,,,,,,,,
5,1,19,random,0.0,2,1,2,1,2,0.43067655807339306,0.9999999999999997,0.0,0.10094485999002956,0.0,0.0,0.800048828125,False,invalid,False,invalid,invalid,invalid,0,,,0.0,0.0009999999999999996,transport,null,-1,0,6,31051143.0,random,,,,,,,,,,,,,,
5,1,19,random,0.0,2,2,1,1,2,0.43067655807339306,0.9999999999999999,0.445650444390259,0.0,0.0,0.0,0.800048828125,False,invalid,False,invalid,invalid,invalid,0,,,0.0,0.0009999999999999998,transport,null,-1,0,7,31051144.0,random,,,,,,,,,,,,,,
5,1,19,random,0.0,2,3,1,1,2,0.43067655807339306,1.0000000000000002,0.21169365514728847,0.0,0.0,0.0,0.60009765625,False,invalid,False,invalid,invalid,invalid,0,,,0.0,0.0010000000000000002,transport,null,-1,0,8,31051145.0,random,,,,,,,,,,,,,,
5,1,19,random,0.0,1,2,2,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.60009765625,False,invalid,False,invalid,invalid,invalid,0,,,0.0,0.0,transport,null,-1,0,9,31051146.0,random,,,,,,,,,,,,,,
5,1,19,random,0.0,1,3,1,2,1,0.0,0.0,0.0,0.0,1.0000000000000002,0.0,0.599853515625,False,invalid,False,invalid,invalid,invalid,0,,,0.0,0.0,transport,null,-1,0,10,31051147.0,random,,,,,,,,,,,,,,
5,1,19,random,0.0,1,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,False,invalid,False,invalid,invalid,invalid,0,,,0.0,0.0,transport,null,-1,0,11,31051148.0,random,,,,,,,,,,,,,,
5,1,19,random,0.0,1,1,2,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.599853515625,False,invalid,False,invalid,invalid,invalid,0,,,0.0,0.0,transport,null,-1,0,12,31051149.0,random,,,,,,,,,,,,,,
5,1,19,random,0.0,2,1,1,1,2,0.43067655807339306,0.9999999999999997,0.0,0.0,0.0,0.0,1.0,False,invalid,False,invalid,invalid,invalid,0,,,0.0,0.0009999999999999996,transport,null,-1,0,13,31051150.0,random,,,,,,,,,,,,,,
5,1,19,random,0.0,1,1,1,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.60009765625,False,invalid,False,invalid,invalid,invalid,0,,,0.0,0.0,transport,null,-1,0,14,31051151.0,random,,,,,,,,,,,,,,
5,1,19,random,0.0,1,1,2,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.599853515625,False,invalid,False,invalid,invalid,invalid,0,,,0.0,0.0,transport,null,-1,0,15,31051152.0,random,,,,,,,,,,,,,,
5,1,19,random,0.0,2,2,1,1,2,0.43067655807339306,0.9999999999999997,0.10094485999002956,0.0,0.0,0.0,0.800048828125,False,invalid,False,invalid,invalid,invalid,0,,,0.0,0.0009999999999999996,transport,null,-1,0,16,31051153.0,random,,,,,,,,,,,,,,
5,1,19,random,0.0,1,1,1,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.599853515625,False,invalid,False,invalid,invalid,invalid,0,,,0.0,0.0,transport,null,-1,0,17,31051154.0,random,,,,,,,,,,,,,,
5,1,19,random,0.0,1,2,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.599853515625,False,invalid,False,invalid,invalid,invalid,0,,,0.0,0.0,transport,null,-1,0,18,31051155.0,random,,,,,,,,,,,,,,
