instance,rule_ensemble,k,q,horizon,A,B,U,A_size,B_size,U_size,raw_cancellation_ok,seam_edge_count,recurrent_state_count,local_pair_count,union_class_count,ambiguous_pair_count,gluing_accuracy,residual_entropy_bits,defect_candidate,A_vertices,B_vertices,U_vertices
0,random_scc,8,2,2,"(0, 1, 7)","(2, 3, 6)","(0, 1, 2, 3, 6, 7)",3,3,6,True,5,131,1,1,0,1.0,0.0,False,"[0, 1, 7]","[2, 3, 6]","[0, 1, 2, 3, 6, 7]"
0,random_scc,8,2,2,"(0, 2, 3)","(1, 4, 5)","(0, 1, 2, 3, 4, 5)",3,3,6,True,5,131,1,1,0,1.0,0.0,False,"[0, 2, 3]","[1, 4, 5]","[0, 1, 2, 3, 4, 5]"
0,random_scc,8,2,2,"(0, 2, 3)","(4, 5, 7)","(0, 2, 3, 4, 5, 7)",3,3,6,True,5,131,1,1,0,1.0,0.0,False,"[0, 2, 3]","[4, 5, 7]","[0, 2, 3, 4, 5, 7]"
0,random_scc,8,2,2,"(0, 4, 5)","(2, 3, 6)","(0, 2, 3, 4, 5, 6)",3,3,6,True,5,131,1,1,0,1.0,0.0,False,"[0, 4, 5]","[2, 3, 6]","[0, 2, 3, 4, 5, 6]"
0,random_scc,8,2,2,"(2, 3, 6)","(4, 5, 7)","(2, 3, 4, 5, 6, 7)",3,3,6,True,5,131,1,1,0,1.0,0.0,False,"[2, 3, 6]","[4, 5, 7]","[2, 3, 4, 5, 6, 7]"
0,random_scc,8,2,2,"(0, 1, 7)","(2, 3, 4)","(0, 1, 2, 3, 4, 7)",3,3,6,True,4,131,1,1,0,1.0,0.0,False,"[0, 1, 7]","[2, 3, 4]","[0, 1, 2, 3, 4, 7]"
0,random_scc,8,2,2,"(0, 2, 3)","(4, 5, 6)","(0, 2, 3, 4, 5, 6)",3,3,6,True,4,131,1,1,0,1.0,0.0,False,"[0, 2, 3]","[4, 5, 6]","[0, 2, 3, 4, 5, 6]"
0,random_scc,8,2,2,"(0, 4, 5)","(1, 2, 3)","(0, 1, 2, 3, 4, 5)",3,3,6,True,4,131,1,1,0,1.0,0.0,False,"[0, 4, 5]","[1, 2, 3]","[0, 1, 2, 3, 4, 5]"
0,random_scc,8,2,2,"(0, 4, 5)","(2, 3, 7)","(0, 2, 3, 4, 5, 7)",3,3,6,True,4,131,1,1,0,1.0,0.0,False,"[0, 4, 5]","[2, 3, 7]","[0, 2, 3, 4, 5, 7]"
0,random_scc,8,2,2,"(0, 6, 7)","(1, 2, 3)","(0, 1, 2, 3, 6, 7)",3,3,6,True,4,131,1,1,0,1.0,0.0,False,"[0, 6, 7]","[1, 2, 3]","[0, 1, 2, 3, 6, 7]"
0,random_scc,8,2,2,"(0, 6, 7)","(1, 4, 5)","(0, 1, 4, 5, 6, 7)",3,3,6,True,4,131,1,1,0,1.0,0.0,False,"[0, 6, 7]","[1, 4, 5]","[0, 1, 4, 5, 6, 7]"
0,random_scc,8,2,2,"(1, 2, 3)","(4, 5, 7)","(1, 2, 3, 4, 5, 7)",3,3,6,True,4,131,1,1,0,1.0,0.0,False,"[1, 2, 3]","[4, 5, 7]","[1, 2, 3, 4, 5, 7]"
0,random_scc,8,2,2,"(1, 4, 5)","(2, 3, 6)","(1, 2, 3, 4, 5, 6)",3,3,6,True,4,131,1,1,0,1.0,0.0,False,"[1, 4, 5]","[2, 3, 6]","[1, 2, 3, 4, 5, 6]"
0,random_scc,8,2,2,"(1, 4, 5)","(2, 3, 7)","(1, 2, 3, 4, 5, 7)",3,3,6,True,4,131,1,1,0,1.0,0.0,False,"[1, 4, 5]","[2, 3, 7]","[1, 2, 3, 4, 5, 7]"
