candidate_index,schedule_index,schedule_branch_order,schedule_pair_id,q,w,k_total,kB,kC,kD,kA,exact_shared_classes,exact_residual_qcoords,n_joint_states,n_initial_states,n_attractors,mean_cycle_period,max_cycle_period,mean_label_period,max_label_period,mean_cycle_label_valid_fraction,all_valid_basin_fraction,constant_cycle_fraction,constant_basin_fraction,phase_cycle_fraction,phase_basin_fraction,stable_label_classes,stable_label_entropy_bits,stable_label_entropy_norm,init_label_to_stable_label_mi_bits,init_label_to_stable_label_mi_norm,attractor_label_conservation_fraction,attractor_label_transition_mi_bits,attractor_label_transition_mi_norm,saved_run,saved_generation,saved_candidate,saved_blind_fitness,saved_fitness_mode,saved_target_mode
22,0,CD,0,4,1,8,2,2,2,2,4,1.0,65536,4096,2,1.0,1,1.0,1,1.0,1.0,1.0,1.0,0.0,0.0,1,-0.0,-0.0,,,1.0,1.0,1.0,5,50,1217,1.0000010000009887,two_stage,interface
23,0,CD,0,4,1,8,2,2,2,2,4,1.0,65536,4096,2,1.0,1,1.0,1,1.0,1.0,1.0,1.0,0.0,0.0,1,-0.0,-0.0,,,1.0,1.0,1.0,5,49,1176,1.0000010000009887,two_stage,interface
24,0,CD,0,4,1,8,2,2,2,2,4,1.0,65536,4096,2,2.0,2,2.0,2,1.0,1.0,0.0,0.0,1.0,1.0,0,0.0,0.0,,,0.0,1.0,1.0,5,49,1177,1.0000010000009887,two_stage,interface
25,0,CD,0,4,1,8,2,2,2,2,4,1.0,65536,4096,2,1.0,1,1.0,1,1.0,1.0,1.0,1.0,0.0,0.0,1,-0.0,-0.0,,,1.0,1.0,1.0,5,49,1178,1.0000010000009887,two_stage,interface
26,0,CD,0,4,1,8,2,2,2,2,4,1.0,65536,4096,1,1.0,1,1.0,1,1.0,1.0,1.0,1.0,0.0,0.0,1,-0.0,-0.0,,,1.0,0.0,,5,49,1179,1.0000010000009887,two_stage,interface
27,0,CD,0,4,1,8,2,2,2,2,4,1.0,65536,4096,2,1.0,1,1.0,1,1.0,1.0,1.0,1.0,0.0,0.0,1,-0.0,-0.0,,,1.0,1.0,1.0,5,49,1180,1.0000010000009887,two_stage,interface
28,0,CD,0,4,1,8,2,2,2,2,4,1.0,65536,4096,2,1.0,1,1.0,1,1.0,1.0,1.0,1.0,0.0,0.0,1,-0.0,-0.0,,,1.0,1.0,1.0,5,49,1181,1.0000010000009887,two_stage,interface
29,0,CD,0,4,1,8,2,2,2,2,4,1.0,65536,4096,2,1.0,1,1.0,1,1.0,1.0,1.0,1.0,0.0,0.0,1,-0.0,-0.0,,,1.0,1.0,1.0,5,49,1184,1.0000010000009887,two_stage,interface
30,0,CD,0,4,1,8,2,2,2,2,4,1.0,65536,4096,2,1.0,1,1.0,1,1.0,1.0,1.0,1.0,0.0,0.0,1,-0.0,-0.0,,,1.0,1.0,1.0,5,49,1199,1.0000010000009887,two_stage,interface
31,0,CD,0,4,1,8,2,2,2,2,4,1.0,65536,4096,2,1.0,1,1.0,1,1.0,1.0,1.0,1.0,0.0,0.0,1,-0.0,-0.0,,,1.0,1.0,1.0,5,48,1152,1.0000010000009887,two_stage,interface
32,0,CD,0,4,1,8,2,2,2,2,4,1.0,65536,4096,2,2.0,2,2.0,2,1.0,1.0,0.0,0.0,1.0,1.0,0,0.0,0.0,,,0.0,1.0,1.0,5,48,1153,1.0000010000009887,two_stage,interface
33,0,CD,0,4,1,8,2,2,2,2,4,1.0,65536,4096,2,1.0,1,1.0,1,1.0,1.0,1.0,1.0,0.0,0.0,1,-0.0,-0.0,,,1.0,1.0,1.0,5,48,1154,1.0000010000009887,two_stage,interface
34,0,CD,0,4,1,8,2,2,2,2,4,1.0,65536,4096,1,1.0,1,1.0,1,1.0,1.0,1.0,1.0,0.0,0.0,1,-0.0,-0.0,,,1.0,0.0,,5,48,1155,1.0000010000009887,two_stage,interface
35,0,CD,0,4,1,8,2,2,2,2,4,1.0,65536,4096,2,1.0,1,1.0,1,1.0,1.0,1.0,1.0,0.0,0.0,1,-0.0,-0.0,,,1.0,1.0,1.0,5,48,1156,1.0000010000009887,two_stage,interface
36,0,CD,0,4,1,8,2,2,2,2,4,1.0,65536,4096,2,1.0,1,1.0,1,1.0,1.0,1.0,1.0,0.0,0.0,1,-0.0,-0.0,,,1.0,1.0,1.0,5,48,1157,1.0000010000009887,two_stage,interface
37,0,CD,0,4,1,8,2,2,2,2,4,1.0,65536,4096,1,1.0,1,1.0,1,1.0,1.0,1.0,1.0,0.0,0.0,1,-0.0,-0.0,,,1.0,0.0,,5,48,1160,1.0000010000009887,two_stage,interface
38,0,CD,0,4,1,8,2,2,2,2,4,1.0,65536,4096,2,1.0,1,1.0,1,1.0,1.0,1.0,1.0,0.0,0.0,1,-0.0,-0.0,,,1.0,1.0,1.0,5,48,1163,1.0000010000009887,two_stage,interface
39,0,CD,0,4,1,8,2,2,2,2,4,1.0,65536,4096,1,2.0,2,2.0,2,1.0,1.0,0.0,0.0,1.0,1.0,0,0.0,0.0,,,0.0,1.0,1.0,5,48,1164,1.0000010000009887,two_stage,interface
40,0,CD,0,4,1,8,2,2,2,2,4,1.0,65536,4096,2,1.0,1,1.0,1,1.0,1.0,1.0,1.0,0.0,0.0,1,-0.0,-0.0,,,1.0,1.0,1.0,5,48,1167,1.0000010000009887,two_stage,interface
41,0,CD,0,4,1,8,2,2,2,2,4,1.0,65536,4096,2,1.0,1,1.0,1,1.0,1.0,1.0,1.0,0.0,0.0,1,-0.0,-0.0,,,1.0,1.0,1.0,5,47,1128,1.0000010000009887,two_stage,interface
42,0,CD,0,4,1,8,2,2,2,2,4,1.0,65536,4096,2,2.0,2,2.0,2,1.0,1.0,0.0,0.0,1.0,1.0,0,0.0,0.0,,,0.0,1.0,1.0,5,47,1129,1.0000010000009887,two_stage,interface
43,0,CD,0,4,1,8,2,2,2,2,4,1.0,65536,4096,2,1.0,1,1.0,1,1.0,1.0,1.0,1.0,0.0,0.0,1,-0.0,-0.0,,,1.0,1.0,1.0,5,47,1130,1.0000010000009887,two_stage,interface
44,0,CD,0,4,1,8,2,2,2,2,4,1.0,65536,4096,1,1.0,1,1.0,1,1.0,1.0,1.0,1.0,0.0,0.0,1,-0.0,-0.0,,,1.0,0.0,,5,47,1131,1.0000010000009887,two_stage,interface
45,0,CD,0,4,1,8,2,2,2,2,4,1.0,65536,4096,2,1.0,1,1.0,1,1.0,1.0,1.0,1.0,0.0,0.0,1,-0.0,-0.0,,,1.0,1.0,1.0,5,47,1132,1.0000010000009887,two_stage,interface
46,0,CD,0,4,1,8,2,2,2,2,4,1.0,65536,4096,2,1.0,1,1.0,1,1.0,1.0,1.0,1.0,0.0,0.0,1,-0.0,-0.0,,,1.0,1.0,1.0,5,47,1133,1.0000010000009887,two_stage,interface
47,0,CD,0,4,1,8,2,2,2,2,4,1.0,65536,4096,2,1.0,1,1.0,1,1.0,1.0,1.0,1.0,0.0,0.0,1,-0.0,-0.0,,,1.0,1.0,1.0,5,47,1148,1.0000010000009887,two_stage,interface
48,0,CD,0,4,1,8,2,2,2,2,4,1.0,65536,4096,2,1.0,1,1.0,1,1.0,1.0,1.0,1.0,0.0,0.0,1,-0.0,-0.0,,,1.0,1.0,1.0,5,46,1104,1.0000010000009887,two_stage,interface
49,0,CD,0,4,1,8,2,2,2,2,4,1.0,65536,4096,2,2.0,2,2.0,2,1.0,1.0,0.0,0.0,1.0,1.0,0,0.0,0.0,,,0.0,1.0,1.0,5,46,1105,1.0000010000009887,two_stage,interface
