observer_id,n_internal_vertices,n_visible_symbols,n_hidden_conditioned_symbols,visible_entropy_bits,hidden_conditioned_entropy_bits,visible_transition_determinism_accuracy,hidden_conditioned_visible_determinism_accuracy,ambiguity_reduction,visible_moving_transition_fraction,compression_raw_states
0,3,3,64,1.0900204767669441,5.994324815413635,0.5393295288085938,0.5405120849609375,0.0025670326758417384,0.5101699829101562,64
1,2,2,16,0.8110845902575965,3.999292418828775,0.743682861328125,0.743682861328125,0.0,0.375762939453125,16
2,2,2,16,0.8176006528548879,3.9982392854290296,0.87384033203125,0.87384033203125,0.0,0.31817626953125,16
3,2,3,16,1.5053948472659973,3.998764476304815,0.45684814453125,0.524169921875,0.12394651084391504,0.6337356567382812,16
4,2,2,16,0.8149335321372884,3.998593828093785,1.0,1.0,0.0,0.2523193359375,16
