Lx,Ly,mode,p,n_lattices,loop_w,loop_h,area,perimeter,n_loops,mean_W,abs_mean_W,frac_negative,seed
6,6,empirical_plaquette,0.8476690741956664,500,1,1,1,4,18000,-0.6971111111111111,0.6971111111111111,0.8485555555555555,2683614
6,6,empirical_plaquette,0.8476690741956664,500,1,2,2,6,15000,0.49773333333333336,0.49773333333333336,0.2511333333333333,2683614
6,6,empirical_plaquette,0.8476690741956664,500,1,3,3,8,12000,-0.3586666666666667,0.3586666666666667,0.6793333333333333,2683614
6,6,empirical_plaquette,0.8476690741956664,500,1,4,4,10,9000,0.25866666666666666,0.25866666666666666,0.37066666666666664,2683614
6,6,empirical_plaquette,0.8476690741956664,500,1,5,5,12,6000,-0.18166666666666667,0.18166666666666667,0.5908333333333333,2683614
6,6,empirical_plaquette,0.8476690741956664,500,2,1,2,6,15000,0.47613333333333335,0.47613333333333335,0.26193333333333335,2683614
6,6,empirical_plaquette,0.8476690741956664,500,2,2,4,8,12500,0.23712,0.23712,0.38144,2683614
6,6,empirical_plaquette,0.8476690741956664,500,2,3,6,10,10000,0.114,0.114,0.443,2683614
6,6,empirical_plaquette,0.8476690741956664,500,2,4,8,12,7500,0.02666666666666667,0.02666666666666667,0.4866666666666667,2683614
6,6,empirical_plaquette,0.8476690741956664,500,2,5,10,14,5000,-0.0032,0.0032,0.5016,2683614
6,6,empirical_plaquette,0.8476690741956664,500,3,1,3,8,12000,-0.324,0.324,0.662,2683614
6,6,empirical_plaquette,0.8476690741956664,500,3,2,6,10,10000,0.1082,0.1082,0.4459,2683614
6,6,empirical_plaquette,0.8476690741956664,500,3,3,9,12,8000,-0.02875,0.02875,0.514375,2683614
6,6,empirical_plaquette,0.8476690741956664,500,3,4,12,14,6000,-0.012333333333333333,0.012333333333333333,0.5061666666666667,2683614
6,6,empirical_plaquette,0.8476690741956664,500,3,5,15,16,4000,-0.0035,0.0035,0.50175,2683614
6,6,empirical_plaquette,0.8476690741956664,500,4,1,4,10,9000,0.22533333333333333,0.22533333333333333,0.3873333333333333,2683614
6,6,empirical_plaquette,0.8476690741956664,500,4,2,8,12,7500,0.0472,0.0472,0.4764,2683614
6,6,empirical_plaquette,0.8476690741956664,500,4,3,12,14,6000,0.014333333333333333,0.014333333333333333,0.49283333333333335,2683614
6,6,empirical_plaquette,0.8476690741956664,500,4,4,16,16,4500,0.012888888888888889,0.012888888888888889,0.4935555555555556,2683614
6,6,empirical_plaquette,0.8476690741956664,500,4,5,20,18,3000,-0.007333333333333333,0.007333333333333333,0.5036666666666667,2683614
6,6,empirical_plaquette,0.8476690741956664,500,5,1,5,12,6000,-0.15233333333333332,0.15233333333333332,0.5761666666666667,2683614
6,6,empirical_plaquette,0.8476690741956664,500,5,2,10,14,5000,0.032,0.032,0.484,2683614
6,6,empirical_plaquette,0.8476690741956664,500,5,3,15,16,4000,-0.047,0.047,0.5235,2683614
6,6,empirical_plaquette,0.8476690741956664,500,5,4,20,18,3000,0.010666666666666666,0.010666666666666666,0.49466666666666664,2683614
6,6,empirical_plaquette,0.8476690741956664,500,5,5,25,20,2000,-0.008,0.008,0.504,2683614
8,8,empirical_plaquette,0.8476690741956664,500,1,1,1,4,32000,-0.6998125,0.6998125,0.84990625,2701966
8,8,empirical_plaquette,0.8476690741956664,500,1,2,2,6,28000,0.48964285714285716,0.48964285714285716,0.2551785714285714,2701966
8,8,empirical_plaquette,0.8476690741956664,500,1,3,3,8,24000,-0.338,0.338,0.669,2701966
8,8,empirical_plaquette,0.8476690741956664,500,1,4,4,10,20000,0.2323,0.2323,0.38385,2701966
8,8,empirical_plaquette,0.8476690741956664,500,1,5,5,12,16000,-0.151375,0.151375,0.5756875,2701966
8,8,empirical_plaquette,0.8476690741956664,500,2,1,2,6,28000,0.48992857142857144,0.48992857142857144,0.2550357142857143,2701966
8,8,empirical_plaquette,0.8476690741956664,500,2,2,4,8,24500,0.24628571428571427,0.24628571428571427,0.37685714285714284,2701966
8,8,empirical_plaquette,0.8476690741956664,500,2,3,6,10,21000,0.11371428571428571,0.11371428571428571,0.4431428571428571,2701966
8,8,empirical_plaquette,0.8476690741956664,500,2,4,8,12,17500,0.05737142857142857,0.05737142857142857,0.47131428571428574,2701966
8,8,empirical_plaquette,0.8476690741956664,500,2,5,10,14,14000,0.036571428571428574,0.036571428571428574,0.4817142857142857,2701966
8,8,empirical_plaquette,0.8476690741956664,500,3,1,3,8,24000,-0.33791666666666664,0.33791666666666664,0.6689583333333333,2701966
8,8,empirical_plaquette,0.8476690741956664,500,3,2,6,10,21000,0.11457142857142857,0.11457142857142857,0.4427142857142857,2701966
