kB,kA,q,w,horizon,observer_init,n_rec_B,n_A_states,n_joint_states,n_schedules,logRecB_bits,memory_bits,cut_bits,physical_bound_bits,signature_classes,signature_bits,zero_error_code_size,zero_error_exact,zero_error_bits,shannon_capacity_bits,zero_error_over_volume,capacity_over_volume,capacity_per_boundary_symbol,nontrivial_sccs,interface,seed,extra_B,extra_A
4,3,4,2,1,zero,22,64,16384,144,4.459431618637297,6.0,4.0,4.0,14,3.807354922057604,1,True,0.0,1.2832461751640705,0.0,0.28776002973136783,0.3208115437910176,2,"((0, 0), (1, 1))",37668,4,3
4,3,4,2,3,zero,22,64,16384,144,4.459431618637297,6.0,12.0,4.459431618637297,10,3.321928094887362,1,True,0.0,0.26552113408517025,0.0,0.059541474517846193,0.06638028352129256,2,"((0, 0), (1, 1))",37668,4,3
4,3,4,2,6,zero,22,64,16384,144,4.459431618637297,6.0,24.0,4.459431618637297,1,0.0,1,True,0.0,0.015366232869299478,0.0,0.003445782822429522,0.0038415582173248696,2,"((0, 0), (1, 1))",37668,4,3
4,3,4,2,1,zero,56,64,16384,144,5.807354922057604,6.0,4.0,4.0,37,5.20945336562895,1,True,0.0,1.0960328100485892,0.0,0.18873184517888117,0.2740082025121473,2,"((0, 0), (1, 1))",37669,4,3
4,3,4,2,3,zero,56,64,16384,144,5.807354922057604,6.0,12.0,5.807354922057604,14,3.807354922057604,1,True,0.0,0.2329078532125418,0.0,0.040105668817985766,0.05822696330313545,2,"((0, 0), (1, 1))",37669,4,3
4,3,4,2,6,zero,56,64,16384,144,5.807354922057604,6.0,24.0,5.807354922057604,3,1.584962500721156,1,True,0.0,0.04199569424465796,0.0,0.007231466787943188,0.01049892356116449,2,"((0, 0), (1, 1))",37669,4,3
4,3,4,2,1,zero,45,64,16384,144,5.491853096329675,6.0,4.0,4.0,15,3.9068905956085187,1,True,0.0,1.1268925749433527,0.0,0.20519350302659764,0.2817231437358382,2,"((0, 0), (1, 1))",37670,4,3
4,3,4,2,3,zero,45,64,16384,144,5.491853096329675,6.0,12.0,5.491853096329675,10,3.321928094887362,1,True,0.0,0.9391498276138499,0.0,0.17100782033691037,0.23478745690346248,2,"((0, 0), (1, 1))",37670,4,3
4,3,4,2,6,zero,45,64,16384,144,5.491853096329675,6.0,24.0,5.491853096329675,3,1.584962500721156,1,True,0.0,0.7295183172353226,0.0,0.13283645873974226,0.18237957930883064,2,"((0, 0), (1, 1))",37670,4,3
4,3,4,2,1,zero,77,64,16384,144,6.266786540694901,6.0,4.0,4.0,50,5.643856189774724,1,True,0.0,1.406735230323837,0.0,0.22447473217555122,0.35168380758095924,2,"((0, 0), (1, 1))",37671,4,3
4,3,4,2,3,zero,77,64,16384,144,6.266786540694901,6.0,12.0,6.0,1,0.0,1,True,0.0,0.11697279098407722,0.0,0.01866551385219298,0.029243197746019304,2,"((0, 0), (1, 1))",37671,4,3
4,3,4,2,6,zero,77,64,16384,144,6.266786540694901,6.0,24.0,6.0,1,0.0,1,True,0.0,0.00099582956630434,0.0,0.0001589059336611641,0.000248957391576085,2,"((0, 0), (1, 1))",37671,4,3
4,3,4,2,1,zero,113,64,16384,144,6.820178962415188,6.0,4.0,4.0,68,6.087462841250339,1,False,0.0,1.3796717443139648,0.0,0.20229260139903868,0.3449179360784912,2,"((0, 0), (1, 1))",37672,4,3
4,3,4,2,3,zero,113,64,16384,144,6.820178962415188,6.0,12.0,6.0,12,3.584962500721156,1,False,0.0,0.3304766708777373,0.0,0.04845571834682585,0.08261916771943432,2,"((0, 0), (1, 1))",37672,4,3
4,3,4,2,6,zero,113,64,16384,144,6.820178962415188,6.0,24.0,6.0,2,1.0,1,False,0.0,0.144700911841129,0.0,0.021216585758020483,0.03617522796028225,2,"((0, 0), (1, 1))",37672,4,3
4,3,4,2,1,zero,95,64,16384,144,6.569855608330948,6.0,4.0,4.0,67,6.066089190457772,1,False,0.0,1.406465749940289,0.0,0.21407863943871325,0.35161643748507226,2,"((0, 0), (1, 1))",37673,4,3
4,3,4,2,3,zero,95,64,16384,144,6.569855608330948,6.0,12.0,6.0,3,1.584962500721156,1,False,0.0,0.5011998960783628,0.0,0.07628780995472914,0.1252999740195907,2,"((0, 0), (1, 1))",37673,4,3
4,3,4,2,6,zero,95,64,16384,144,6.569855608330948,6.0,24.0,6.0,2,1.0,1,False,0.0,0.3554450775607376,0.0,0.054102418493035556,0.0888612693901844,2,"((0, 0), (1, 1))",37673,4,3
4,3,4,2,1,zero,98,64,16384,144,6.614709844115208,6.0,4.0,4.0,32,5.0,1,False,0.0,1.0460677034564756,0.0,0.15814264391160138,0.2615169258641189,2,"((0, 0), (1, 1))",37674,4,3
4,3,4,2,3,zero,98,64,16384,144,6.614709844115208,6.0,12.0,6.0,4,2.0,1,False,0.0,0.13611338715911214,0.0,0.020577378353217674,0.034028346789778036,2,"((0, 0), (1, 1))",37674,4,3
4,3,4,2,6,zero,98,64,16384,144,6.614709844115208,6.0,24.0,6.0,1,0.0,1,False,0.0,0.003940270151771158,0.0,0.0005956829920932403,0.0009850675379427895,2,"((0, 0), (1, 1))",37674,4,3
4,3,4,2,1,zero,81,64,16384,144,6.339850002884624,6.0,4.0,4.0,31,4.954196310386875,1,False,0.0,1.189292008417951,0.0,0.1875899284489104,0.29732300210448775,2,"((0, 0), (1, 1))",37675,4,3
4,3,4,2,3,zero,81,64,16384,144,6.339850002884624,6.0,12.0,6.0,8,3.0,1,False,0.0,0.2956546485400144,0.0,0.04663432863640179,0.0739136621350036,2,"((0, 0), (1, 1))",37675,4,3
4,3,4,2,6,zero,81,64,16384,144,6.339850002884624,6.0,24.0,6.0,1,0.0,1,False,0.0,0.007464848367498832,0.0,0.0011774487352385838,0.001866212091874708,2,"((0, 0), (1, 1))",37675,4,3
4,3,4,2,1,zero,47,64,16384,144,5.554588851677638,6.0,4.0,4.0,28,4.807354922057604,1,True,0.0,1.4875373398849505,0.0,0.26780332075085517,0.37188433497123763,2,"((0, 0), (1, 1))",37676,4,3
4,3,4,2,3,zero,47,64,16384,144,5.554588851677638,6.0,12.0,5.554588851677638,13,3.700439718141092,1,True,0.0,0.846296257120838,0.0,0.15235983791405794,0.2115740642802095,2,"((0, 0), (1, 1))",37676,4,3
4,3,4,2,6,zero,47,64,16384,144,5.554588851677638,6.0,24.0,5.554588851677638,4,2.0,1,True,0.0,0.8201681137649037,0.0,0.14765595360261283,0.20504202844122593,2,"((0, 0), (1, 1))",37676,4,3
4,3,4,2,1,zero,101,64,16384,144,6.658211482751795,6.0,4.0,4.0,30,4.906890595608519,1,False,0.0,1.2247547865888906,0.0,0.18394651322831032,0.30618869664722265,2,"((0, 0), (1, 1))",37677,4,3
4,3,4,2,3,zero,101,64,16384,144,6.658211482751795,6.0,12.0,6.0,4,2.0,1,False,0.0,0.47420598681270765,0.0,0.07122122630696637,0.11855149670317691,2,"((0, 0), (1, 1))",37677,4,3
4,3,4,2,6,zero,101,64,16384,144,6.658211482751795,6.0,24.0,6.0,2,1.0,1,False,0.0,0.34540407582550564,0.0,0.05187640505566405,0.08635101895637641,2,"((0, 0), (1, 1))",37677,4,3
4,3,4,2,1,zero,85,64,16384,144,6.409390936137702,6.0,4.0,4.0,65,6.022367813028454,2,False,1.0,1.6561293345975912,0.15602106502222501,0.258391062598465,0.4140323336493978,2,"((0, 0), (1, 1))",37678,4,3
4,3,4,2,3,zero,85,64,16384,144,6.409390936137702,6.0,12.0,6.0,9,3.169925001442312,1,False,0.0,1.088903131310064,0.0,0.16989182625303192,0.272225782827516,2,"((0, 0), (1, 1))",37678,4,3
4,3,4,2,6,zero,85,64,16384,144,6.409390936137702,6.0,24.0,6.0,4,2.0,1,False,0.0,1.2060067671406731,0.0,0.18816246023329833,0.3015016917851683,2,"((0, 0), (1, 1))",37678,4,3
4,3,4,2,1,zero,30,64,16384,144,4.906890595608519,6.0,4.0,4.0,10,3.321928094887362,2,True,1.0,1.2988161927861228,0.2037950470905062,0.26469230717075987,0.3247040481965307,2,"((0, 0), (1, 1))",37679,4,3
4,3,4,2,3,zero,30,64,16384,144,4.906890595608519,6.0,12.0,4.906890595608519,9,3.169925001442312,1,True,0.0,0.6526075025632958,0.0,0.1329981767165045,0.16315187564082395,2,"((0, 0), (1, 1))",37679,4,3
4,3,4,2,6,zero,30,64,16384,144,4.906890595608519,6.0,24.0,4.906890595608519,2,1.0,1,True,0.0,0.4014527096818348,0.0,0.08181407387422082,0.1003631774204587,2,"((0, 0), (1, 1))",37679,4,3
4,3,4,2,1,zero,73,64,16384,144,6.189824558880018,6.0,4.0,4.0,45,5.491853096329675,2,True,1.0,1.5569974994577593,0.16155546744299637,0.2515414588324748,0.38924937486443983,2,"((0, 0), (1, 1))",37680,4,3
4,3,4,2,3,zero,73,64,16384,144,6.189824558880018,6.0,12.0,6.0,8,3.0,1,True,0.0,0.5522280202165609,0.0,0.08921545594120694,0.13805700505414023,2,"((0, 0), (1, 1))",37680,4,3
4,3,4,2,6,zero,73,64,16384,144,6.189824558880018,6.0,24.0,6.0,2,1.0,1,True,0.0,0.2223585948981538,0.0,0.035923246738739104,0.05558964872453845,2,"((0, 0), (1, 1))",37680,4,3
4,3,4,2,1,zero,75,64,16384,144,6.22881869049588,6.0,4.0,4.0,24,4.584962500721156,2,True,1.0,1.542763059942184,0.1605440854340214,0.24768148449981028,0.385690764985546,2,"((0, 0), (1, 1))",37681,4,3
4,3,4,2,3,zero,75,64,16384,144,6.22881869049588,6.0,12.0,6.0,12,3.584962500721156,1,True,0.0,0.6770608916902102,0.0,0.10869812163954783,0.16926522292255256,2,"((0, 0), (1, 1))",37681,4,3
4,3,4,2,6,zero,75,64,16384,144,6.22881869049588,6.0,24.0,6.0,2,1.0,1,True,0.0,0.5105775602234405,0.0,0.08197020744920624,0.12764439005586012,2,"((0, 0), (1, 1))",37681,4,3
4,3,4,2,1,zero,78,64,16384,144,6.285402218862249,6.0,4.0,4.0,32,5.0,1,True,0.0,1.2476284118380225,0.0,0.19849619298729013,0.31190710295950563,2,"((0, 0), (1, 1))",37682,4,3
4,3,4,2,3,zero,78,64,16384,144,6.285402218862249,6.0,12.0,6.0,1,0.0,1,True,0.0,0.08187562385548386,0.0,0.013026314148962223,0.020468905963870965,2,"((0, 0), (1, 1))",37682,4,3
4,3,4,2,6,zero,78,64,16384,144,6.285402218862249,6.0,24.0,6.0,1,0.0,1,True,0.0,0.0012410281366327818,0.0,0.00019744609707052707,0.00031025703415819546,2,"((0, 0), (1, 1))",37682,4,3
4,3,4,2,1,zero,75,64,16384,144,6.22881869049588,6.0,4.0,4.0,42,5.392317422778761,2,True,1.0,1.7445188418563218,0.1605440854340214,0.2800721819882414,0.43612971046408044,2,"((0, 0), (1, 1))",37683,4,3
4,3,4,2,3,zero,75,64,16384,144,6.22881869049588,6.0,12.0,6.0,8,3.0,1,True,0.0,0.5862730841142131,0.0,0.09412267610369944,0.14656827102855327,2,"((0, 0), (1, 1))",37683,4,3
4,3,4,2,6,zero,75,64,16384,144,6.22881869049588,6.0,24.0,6.0,4,2.0,1,True,0.0,0.31756431044264394,0.0,0.050983071786499926,0.07939107761066098,2,"((0, 0), (1, 1))",37683,4,3
4,3,4,2,1,zero,52,64,16384,144,5.700439718141092,6.0,4.0,4.0,18,4.169925001442312,1,True,0.0,1.2628921781736349,0.0,0.22154294065326294,0.3157230445434087,2,"((0, 0), (1, 1))",37684,4,3
4,3,4,2,3,zero,52,64,16384,144,5.700439718141092,6.0,12.0,5.700439718141092,5,2.321928094887362,1,True,0.0,0.5240103044654194,0.0,0.09192454097844556,0.13100257611635485,2,"((0, 0), (1, 1))",37684,4,3
4,3,4,2,6,zero,52,64,16384,144,5.700439718141092,6.0,24.0,5.700439718141092,2,1.0,1,True,0.0,0.2729570470328156,0.0,0.04788350733087423,0.0682392617582039,2,"((0, 0), (1, 1))",37684,4,3
4,3,4,2,1,zero,56,64,16384,144,5.807354922057604,6.0,4.0,4.0,14,3.807354922057604,3,True,1.584962500721156,1.684808621061239,0.272923305359058,0.29011635136367636,0.42120215526530974,2,"((0, 0), (1, 1))",37685,4,3
4,3,4,2,3,zero,56,64,16384,144,5.807354922057604,6.0,12.0,5.807354922057604,22,4.459431618637297,2,True,1.0,1.5743879246719932,0.17219543379409813,0.2711024116490838,0.3935969811679983,2,"((0, 0), (1, 1))",37685,4,3
4,3,4,2,6,zero,56,64,16384,144,5.807354922057604,6.0,24.0,5.807354922057604,6,2.584962500721156,1,True,0.0,1.3210030715372945,0.0,0.22747069694670047,0.3302507678843236,2,"((0, 0), (1, 1))",37685,4,3
4,3,4,2,1,zero,81,64,16384,144,6.339850002884624,6.0,4.0,4.0,44,5.459431618637297,1,False,0.0,1.1246479301925276,0.0,0.1773934603627553,0.2811619825481319,2,"((0, 0), (1, 1))",37686,4,3
4,3,4,2,3,zero,81,64,16384,144,6.339850002884624,6.0,12.0,6.0,5,2.321928094887362,1,False,0.0,0.11559470410161751,0.0,0.01823303454324977,0.028898676025404378,2,"((0, 0), (1, 1))",37686,4,3
4,3,4,2,6,zero,81,64,16384,144,6.339850002884624,6.0,24.0,6.0,1,0.0,1,False,0.0,0.0073682264130872106,0.0,0.0011622083187669545,0.0018420566032718026,2,"((0, 0), (1, 1))",37686,4,3
4,3,4,3,1,zero,82,64,16384,144,6.357552004618084,6.0,6.0,6.0,68,6.087462841250339,2,False,1.0,1.7745207703211128,0.1572932473495469,0.2791201344530273,0.29575346172018546,2,"((0, 0), (1, 1), (2, 2))",37804,4,3
4,3,4,3,3,zero,82,64,16384,144,6.357552004618084,6.0,18.0,6.0,6,2.584962500721156,1,False,0.0,0.9260931599859038,0.0,0.14566820048238627,0.15434885999765063,2,"((0, 0), (1, 1), (2, 2))",37804,4,3
4,3,4,3,6,zero,82,64,16384,144,6.357552004618084,6.0,36.0,6.0,3,1.584962500721156,1,False,0.0,0.8750945889456517,0.0,0.13764646963327848,0.14584909815760863,2,"((0, 0), (1, 1), (2, 2))",37804,4,3
4,3,4,3,1,zero,82,64,16384,144,6.357552004618084,6.0,6.0,6.0,51,5.672425341971495,2,False,1.0,1.7015495506298408,0.1572932473495469,0.26764225434472994,0.2835915917716401,2,"((0, 0), (1, 1), (2, 2))",37805,4,3
4,3,4,3,3,zero,82,64,16384,144,6.357552004618084,6.0,18.0,6.0,5,2.321928094887362,1,False,0.0,0.4214406739113284,0.0,0.06628977216469431,0.07024011231855473,2,"((0, 0), (1, 1), (2, 2))",37805,4,3
4,3,4,3,6,zero,82,64,16384,144,6.357552004618084,6.0,36.0,6.0,1,0.0,1,False,0.0,0.03027784585884629,0.0,0.004762500697886964,0.005046307643141048,2,"((0, 0), (1, 1), (2, 2))",37805,4,3
4,3,4,3,1,zero,59,64,16384,144,5.882643049361842,6.0,6.0,5.882643049361842,49,5.614709844115208,1,True,0.0,1.8787740429458046,0.0,0.3193758361982573,0.3131290071576341,2,"((0, 0), (1, 1), (2, 2))",37806,4,3
4,3,4,3,3,zero,59,64,16384,144,5.882643049361842,6.0,18.0,5.882643049361842,4,2.0,1,True,0.0,0.6805394649306012,0.0,0.11568600359058455,0.1134232441551002,2,"((0, 0), (1, 1), (2, 2))",37806,4,3
4,3,4,3,6,zero,59,64,16384,144,5.882643049361842,6.0,36.0,5.882643049361842,2,1.0,1,True,0.0,0.5434710776395314,0.0,0.09238552689313488,0.0905785129399219,2,"((0, 0), (1, 1), (2, 2))",37806,4,3
4,3,4,3,1,zero,73,64,16384,144,6.189824558880018,6.0,6.0,6.0,62,5.954196310386875,2,True,1.0,1.4629824839352692,0.16155546744299637,0.23635281905307834,0.24383041398921154,2,"((0, 0), (1, 1), (2, 2))",37807,4,3
4,3,4,3,3,zero,73,64,16384,144,6.189824558880018,6.0,18.0,6.0,4,2.0,1,True,0.0,0.48711948398362565,0.0,0.07869681593556582,0.08118658066393761,2,"((0, 0), (1, 1), (2, 2))",37807,4,3
4,3,4,3,6,zero,73,64,16384,144,6.189824558880018,6.0,36.0,6.0,2,1.0,1,True,0.0,0.35061894381781383,0.0,0.05664440736285659,0.0584364906363023,2,"((0, 0), (1, 1), (2, 2))",37807,4,3
4,3,4,3,1,zero,33,64,16384,144,5.044394119358453,6.0,6.0,5.044394119358453,30,4.906890595608519,2,True,1.0,1.6498188181969042,0.19823986317056053,0.3270598567755702,0.2749698030328174,2,"((0, 0), (1, 1), (2, 2))",37808,4,3
4,3,4,3,3,zero,33,64,16384,144,5.044394119358453,6.0,18.0,5.044394119358453,8,3.0,1,True,0.0,0.8287541648837575,0.0,0.16429211224858825,0.13812569414729292,2,"((0, 0), (1, 1), (2, 2))",37808,4,3
4,3,4,3,6,zero,33,64,16384,144,5.044394119358453,6.0,36.0,5.044394119358453,5,2.321928094887362,1,True,0.0,0.8734092460067558,0.0,0.17314452942028172,0.14556820766779263,2,"((0, 0), (1, 1), (2, 2))",37808,4,3
