graph_id,source_observer,target_observer,n_edges,source_boundary_nodes,target_boundary_nodes,edge_mi_bits,edge_mi_norm,edge_h_input_bits,live_edge,edges
51,3,1,1,1,1,0.07001444968067627,0.035007224840338136,2.0,1,1->15
51,3,2,1,1,1,0.5778195311147831,0.28890976555739156,2.0,1,0->6
51,4,1,1,1,1,0.2383774360214428,0.1191887180107214,2.0,1,9->15
51,4,3,2,2,1,0.11170472127879894,0.027926180319699734,4.0,1,8->2 9->2
52,2,0,1,1,1,0.4300365325772657,0.21501826628863285,2.0,1,3->14
52,2,1,2,1,2,0.1577691614544472,0.0788845807272236,2.0,1,1->8 1->9
52,3,0,1,1,1,0.12020038055073234,0.06010019027536617,2.0,1,4->13
52,3,1,2,2,2,0.5122038829498292,0.1280509707374573,4.0,1,4->10 5->11
52,4,1,1,1,1,0.12172010939709166,0.06086005469854583,2.0,1,17->9
53,1,0,1,1,1,0.35221700146248214,0.17610850073124107,2.0,1,0->9
53,3,2,2,1,2,1.2956200709147492,0.6478100354573746,2.0,1,6->16 6->17
53,4,1,1,1,1,0.46836016083271437,0.23418008041635718,2.0,1,13->3
54,1,0,1,1,1,0.14406156569449724,0.07203078284724862,2.0,1,10->7
54,2,1,2,2,1,0.1278256472787085,0.03195641181967712,4.0,1,2->11 3->11
54,4,1,1,1,1,0.38285606369204883,0.19142803184602442,2.0,1,12->8
54,4,2,1,1,1,0.17579321097386558,0.08789660548693279,2.0,1,14->1
54,4,3,2,2,1,0.15967422962699818,0.039918557406749544,4.0,1,12->15 14->15
55,1,0,2,2,1,0.6908768927243294,0.17271922318108235,4.0,1,4->3 6->3
55,2,0,1,1,1,0.375,0.1875,2.0,1,12->1
55,4,2,2,2,2,0.751614471810182,0.1879036179525455,4.0,1,8->12 9->13
55,4,3,1,1,1,0.06668805069698536,0.03334402534849268,2.0,1,8->17
56,2,1,1,1,1,0.12377554509704636,0.06188777254852318,2.0,1,12->16
56,3,2,1,1,1,0.03165992193767986,0.01582996096883993,2.0,0,6->12
56,4,1,2,2,2,0.5197266288780886,0.12993165721952216,4.0,1,8->15 9->16
56,4,2,2,2,2,0.3676396941409239,0.09190992353523098,4.0,1,10->12 9->13
56,4,3,1,1,1,0.6022170014624821,0.30110850073124107,2.0,1,8->4
57,1,0,2,2,2,0.7395109944432017,0.18487774861080042,4.0,1,5->8 7->11
57,2,0,2,2,2,0.12009468969025328,0.03002367242256332,4.0,1,2->8 3->10
57,2,1,1,1,1,0.6022170014624826,0.3011085007312413,2.0,1,3->7
57,3,0,1,1,1,0.007268029522421671,0.0036340147612108353,2.0,0,13->10
57,3,2,2,2,2,1.1459348654580204,0.2864837163645051,4.0,1,13->1 12->2
58,2,1,1,1,1,0.7272170014624826,0.3636085007312413,2.0,1,11->15
58,3,0,1,1,1,0.09713729339947808,0.04856864669973904,2.0,1,2->5
58,3,2,1,1,1,0.6800365325772657,0.34001826628863285,2.0,1,0->11
58,4,1,1,1,1,0.4834585933443498,0.2417292966721749,2.0,1,12->16
59,1,0,1,1,1,0.3522170014624826,0.1761085007312413,2.0,1,2->12
59,2,1,1,1,1,0.09307117715010049,0.046535588575050246,2.0,1,7->1
60,1,0,1,1,1,0.45443400292496516,0.22721700146248258,2.0,1,1->5
60,3,2,1,1,1,0.7209754095806153,0.3604877047903077,2.0,1,13->8
61,1,0,2,1,2,1.2287558475679852,0.6143779237839926,2.0,1,2->15 2->17
61,3,0,2,2,1,0.11345358750661116,0.02836339687665279,4.0,1,8->16 9->16
62,1,0,1,1,1,0.7272170014624826,0.3636085007312413,2.0,1,1->10
62,2,0,1,1,1,0.6022170014624826,0.3011085007312413,2.0,1,6->9
62,3,0,1,1,1,0.9528195311147831,0.47640976555739156,2.0,1,14->8
62,4,2,1,1,1,0.13195742635284136,0.06597871317642068,2.0,1,17->7
62,4,3,1,1,1,0.3828560636920493,0.19142803184602464,2.0,1,16->14
63,1,0,2,1,2,0.5227331539885478,0.2613665769942739,2.0,1,1->9 1->10
63,3,0,1,1,1,0.038968341020308994,0.019484170510154497,2.0,0,15->11
63,4,0,1,1,1,0.112157753507522,0.056078876753761,2.0,1,13->10
63,4,1,1,1,1,0.4300365325772657,0.21501826628863285,2.0,1,12->1
63,4,2,1,1,1,0.1309185290447874,0.0654592645223937,2.0,1,13->5
63,4,3,2,1,2,0.5309240077751838,0.2654620038875919,2.0,1,13->15 13->17
64,3,0,2,2,2,1.0778195311147822,0.26945488277869556,4.0,1,7->2 5->3
64,3,1,2,2,2,0.9127665173862987,0.22819162934657466,4.0,1,7->8 5->11
64,3,2,1,1,1,0.07589333967253564,0.03794666983626782,2.0,1,7->14
65,2,1,1,1,1,0.028223960014844174,0.014111980007422087,2.0,0,14->9
65,3,2,2,2,1,0.599504927275035,0.14987623181875875,4.0,1,4->13 7->13
65,4,2,1,1,1,0.47460175271458116,0.23730087635729058,2.0,1,16->14
66,1,0,1,1,1,0.04461581606011755,0.022307908030058776,2.0,0,4->1
66,3,2,1,1,1,0.1706569968406888,0.0853284984203444,2.0,1,10->13
67,1,0,1,1,1,0.6405406297179308,0.3202703148589654,2.0,1,7->1
67,3,1,2,1,2,0.5610629397518121,0.28053146987590605,2.0,1,14->6 14->7
68,2,0,1,1,1,0.11046783373260416,0.05523391686630208,2.0,1,4->2
68,2,1,1,1,1,0.14255288913968256,0.07127644456984128,2.0,1,6->11
68,4,1,2,1,2,0.31925541162190463,0.15962770581095231,2.0,1,13->8 13->11
