eq_alphabet_size_per_side,eq_n_observed_pairs,eq_edge_density,eq_shared_classes,eq_residual_qcoords,eq_residual_bits,eq_cost_qcoords,eq_cost_bits,eq_class_sizes_left,eq_class_sizes_right,eq_observed_left_words,eq_observed_right_words,eq_mode,eq_shared_classes_mean,eq_shared_classes_min,eq_edge_density_mean,eq_residual_per_width,eq_cost_per_width,kB,kC,kD,kM,kA,k_total,q,w,n_initial_states,n_schedules,initial_pool,observer_init,extra_B,extra_C,extra_D,extra_A,eq_hidden_A_cost_qcoords,eq_hidden_A_cost_bits,eq_panel_cost_qcoords,eq_panel_residual_qcoords,product_sink_cost_qcoords,product_sink_cost_bits,product_cost_A_qcoords,product_cost_A_panel_qcoords,product_hidden_A_cost_qcoords,product_collapsed_vertices,product_fully_collapsed_vertices,product_admissibility_merges,overcollapse_avoided_qcoords,hidden_collapse_avoided_qcoords,equalizer_cost_fraction_of_product_A,rule_interface_mi_norm_mean,rule_interface_mi_bits_mean,rule_interface_copy_accuracy_mean,rule_interface_cond_entropy_bits_mean,rule_interface_output_entropy_bits_mean,rule_interface_n,rule_interface_roles,rule_ensemble,mutation_rate,selected,selection_threshold_qcoords,seed,instance,n_blocks
5,[17],0.68,[1],0.0,0.0,2.0,4.643856189774724,[5],[5],5,5,joint,1.0,1,0.68,0.0,2.0,2,2,2,2,2,8,5,1,15625,32,all,zero,2,2,2,2,0.0,0.0,2.0,0.0,,,,,,0,0,0,,,,0.36039791515208985,0.8368180445304692,0.5519999999999999,1.321386075840659,2.158204120371128,5,"[""B_source"", ""B_to_C"", ""B_to_D"", ""C_to_A"", ""D_to_A""]",random,0.0,False,1e-09,1065501,0,2
5,[13],0.52,[1],0.0,0.0,2.0,4.643856189774724,[4],[5],4,5,joint,1.0,1,0.52,0.0,2.0,2,2,2,2,2,8,5,1,15625,32,all,zero,2,2,2,2,0.0,0.0,2.0,0.0,,,,,,0,0,0,,,,0.4004863467270242,0.929900500084279,0.592,1.2193469758233508,2.14924747590763,5,"[""B_source"", ""B_to_C"", ""B_to_D"", ""C_to_A"", ""D_to_A""]",random,0.0,False,1e-09,1065502,1,2
5,[18],0.72,[1],0.0,0.0,2.0,4.643856189774724,[5],[5],5,5,joint,1.0,1,0.72,0.0,2.0,2,2,2,2,2,8,5,1,15625,32,all,zero,2,2,2,2,0.0,0.0,2.0,0.0,,,,,,0,0,0,,,,0.39810027862817876,0.9243602215292551,0.576,1.2353469758233513,2.1597071973526067,5,"[""B_source"", ""B_to_C"", ""B_to_D"", ""C_to_A"", ""D_to_A""]",random,0.0,False,1e-09,1065503,2,2
5,[16],0.64,[1],0.0,0.0,2.0,4.643856189774724,[5],[5],5,5,joint,1.0,1,0.64,0.0,2.0,2,2,2,2,2,8,5,1,15625,32,all,zero,2,2,2,2,0.0,0.0,2.0,0.0,,,,,,0,0,0,,,,0.34735260565542,0.8065277739036505,0.5519999999999999,1.2993469758233513,2.105874749727002,5,"[""B_source"", ""B_to_C"", ""B_to_D"", ""C_to_A"", ""D_to_A""]",random,0.0,False,1e-09,1065504,3,2
5,[18],0.72,[1],0.0,0.0,2.0,4.643856189774724,[5],[5],5,5,joint,1.0,1,0.72,0.0,2.0,2,2,2,2,2,8,5,1,15625,32,all,zero,2,2,2,2,0.0,0.0,2.0,0.0,,,,,,0,0,0,,,,0.30101465174440273,0.6989343768580638,0.5599999999999999,1.3633469758233512,2.0622813526814148,5,"[""B_source"", ""B_to_C"", ""B_to_D"", ""C_to_A"", ""D_to_A""]",random,0.0,False,1e-09,1065505,4,2
5,[11],0.44,[1],0.0,0.0,2.0,4.643856189774724,[5],[3],5,3,joint,1.0,1,0.44,0.0,2.0,2,2,2,2,2,8,5,1,15625,32,all,zero,2,2,2,2,0.0,0.0,2.0,0.0,,,,,,0,0,0,,,,0.3133867285151912,0.727661449504261,0.576,1.297229675771428,2.024891125275689,5,"[""B_source"", ""B_to_C"", ""B_to_D"", ""C_to_A"", ""D_to_A""]",random,0.0,False,1e-09,1065506,5,2
5,[13],0.52,[1],0.0,0.0,2.0,4.643856189774724,[5],[5],5,5,joint,1.0,1,0.52,0.0,2.0,2,2,2,2,2,8,5,1,15625,32,all,zero,2,2,2,2,0.0,0.0,2.0,0.0,,,,,,0,0,0,,,,0.26756139893807857,0.6212583293016902,0.5359999999999999,1.3914251758579668,2.012683505159657,5,"[""B_source"", ""B_to_C"", ""B_to_D"", ""C_to_A"", ""D_to_A""]",random,0.0,False,1e-09,1065507,6,2
5,[10],0.4,[1],0.0,0.0,2.0,4.643856189774724,[5],[4],5,4,joint,1.0,1,0.4,0.0,2.0,2,2,2,2,2,8,5,1,15625,32,all,zero,2,2,2,2,0.0,0.0,2.0,0.0,,,,,,0,0,0,,,,0.36587859822786195,0.8495437965432782,0.592,1.2392687757887357,2.0888125723320137,5,"[""B_source"", ""B_to_C"", ""B_to_D"", ""C_to_A"", ""D_to_A""]",random,0.0,False,1e-09,1065508,7,2
5,[17],0.68,[1],0.0,0.0,2.0,4.643856189774724,[5],[5],5,5,joint,1.0,1,0.68,0.0,2.0,2,2,2,2,2,8,5,1,15625,32,all,zero,2,2,2,2,0.0,0.0,2.0,0.0,,,,,,0,0,0,,,,0.3177869934937861,0.7378785483830093,0.576,1.3153469758233514,2.0532255242063604,5,"[""B_source"", ""B_to_C"", ""B_to_D"", ""C_to_A"", ""D_to_A""]",random,0.0,False,1e-09,1065509,8,2
5,[18],0.72,[1],0.0,0.0,2.0,4.643856189774724,[5],[5],5,5,joint,1.0,1,0.72,0.0,2.0,2,2,2,2,2,8,5,1,15625,32,all,zero,2,2,2,2,0.0,0.0,2.0,0.0,,,,,,0,0,0,,,,0.2942347344398062,0.6831918963875081,0.5439999999999999,1.4173860758406591,2.1005779722281672,5,"[""B_source"", ""B_to_C"", ""B_to_D"", ""C_to_A"", ""D_to_A""]",random,0.0,False,1e-09,1065510,9,2
5,[12],0.48,[1],0.0,0.0,2.0,4.643856189774724,[5],[4],5,4,joint,1.0,1,0.48,0.0,2.0,2,2,2,2,2,8,5,1,15625,32,all,zero,2,2,2,2,0.0,0.0,2.0,0.0,,,,,,0,0,0,,,,0.286432038011861,0.6650745963355849,0.5439999999999999,1.305386075840659,1.9704606721762439,5,"[""B_source"", ""B_to_C"", ""B_to_D"", ""C_to_A"", ""D_to_A""]",random,0.0,False,1e-09,1065511,10,2
5,[16],0.64,[1],0.0,0.0,2.0,4.643856189774724,[5],[5],5,5,joint,1.0,1,0.64,0.0,2.0,2,2,2,2,2,8,5,1,15625,32,all,zero,2,2,2,2,0.0,0.0,2.0,0.0,,,,,,0,0,0,,,,0.36922586024784454,0.8573158982684251,0.5519999999999999,1.2854642758752743,2.1427801741436996,5,"[""B_source"", ""B_to_C"", ""B_to_D"", ""C_to_A"", ""D_to_A""]",random,0.0,False,1e-09,1065512,11,2
5,[17],0.68,[1],0.0,0.0,2.0,4.643856189774724,[5],[4],5,4,joint,1.0,1,0.68,0.0,2.0,2,2,2,2,2,8,5,1,15625,32,all,zero,2,2,2,2,0.0,0.0,2.0,0.0,,,,,,0,0,0,,,,0.3340348264744521,0.7756048482618552,0.616,1.1511123757195045,1.9267172239813597,5,"[""B_source"", ""B_to_C"", ""B_to_D"", ""C_to_A"", ""D_to_A""]",random,0.0,False,1e-09,1065513,12,2
5,[18],0.72,[1],0.0,0.0,2.0,4.643856189774724,[5],[5],5,5,joint,1.0,1,0.72,0.0,2.0,2,2,2,2,2,8,5,1,15625,32,all,zero,2,2,2,2,0.0,0.0,2.0,0.0,,,,,,0,0,0,,,,0.3107519987944677,0.7215437965432783,0.5359999999999999,1.337386075840659,2.058929872383937,5,"[""B_source"", ""B_to_C"", ""B_to_D"", ""C_to_A"", ""D_to_A""]",random,0.0,False,1e-09,1065514,13,2
5,[18],0.72,[1],0.0,0.0,2.0,4.643856189774724,[5],[5],5,5,joint,1.0,1,0.72,0.0,2.0,2,2,2,2,2,8,5,1,15625,32,all,zero,2,2,2,2,0.0,0.0,2.0,0.0,,,,,,0,0,0,,,,0.3223100897245659,0.7483808525971359,0.5599999999999999,1.3313469758233514,2.0797278284204874,5,"[""B_source"", ""B_to_C"", ""B_to_D"", ""C_to_A"", ""D_to_A""]",random,0.0,False,1e-09,1065515,14,2
5,[10],0.4,[1],0.0,0.0,2.0,4.643856189774724,[5],[4],5,4,joint,1.0,1,0.4,0.0,2.0,2,2,2,2,2,8,5,1,15625,32,all,zero,2,2,2,2,0.0,0.0,2.0,0.0,,,,,,0,0,0,,,,0.3625989980306967,0.841928800705482,0.584,1.2552687757887353,2.0971975764942172,5,"[""B_source"", ""B_to_C"", ""B_to_D"", ""C_to_A"", ""D_to_A""]",random,0.0,False,1e-09,1065516,15,2
5,[18],0.72,[1],0.0,0.0,2.0,4.643856189774724,[5],[5],5,5,joint,1.0,1,0.72,0.0,2.0,2,2,2,2,2,8,5,1,15625,32,all,zero,2,2,2,2,0.0,0.0,2.0,0.0,,,,,,0,0,0,,,,0.34589427891133584,0.8031416440650361,0.5279999999999999,1.3334642758752746,2.1366059199403105,5,"[""B_source"", ""B_to_C"", ""B_to_D"", ""C_to_A"", ""D_to_A""]",random,0.0,False,1e-09,1065517,16,2
5,[19],0.76,[1],0.0,0.0,2.0,4.643856189774724,[5],[5],5,5,joint,1.0,1,0.76,0.0,2.0,2,2,2,2,2,8,5,1,15625,32,all,zero,2,2,2,2,0.0,0.0,2.0,0.0,,,,,,0,0,0,,,,0.35845324168098164,0.8323026525625208,0.568,1.283346975823351,2.1156496283858717,5,"[""B_source"", ""B_to_C"", ""B_to_D"", ""C_to_A"", ""D_to_A""]",random,0.0,False,1e-09,1065518,17,2
5,[18],0.72,[1],0.0,0.0,2.0,4.643856189774724,[5],[5],5,5,joint,1.0,1,0.72,0.0,2.0,2,2,2,2,2,8,5,1,15625,32,all,zero,2,2,2,2,0.0,0.0,2.0,0.0,,,,,,0,0,0,,,,0.3322110834769103,0.7713702481580088,0.5599999999999999,1.3153469758233514,2.08671722398136,5,"[""B_source"", ""B_to_C"", ""B_to_D"", ""C_to_A"", ""D_to_A""]",random,0.0,False,1e-09,1065519,18,2
5,[14],0.56,[1],0.0,0.0,2.0,4.643856189774724,[5],[5],5,5,joint,1.0,1,0.56,0.0,2.0,2,2,2,2,2,8,5,1,15625,32,all,zero,2,2,2,2,0.0,0.0,2.0,0.0,,,,,,0,0,0,,,,0.35066997162010305,0.8142304591380715,0.576,1.2133078758060432,2.027538334944114,5,"[""B_source"", ""B_to_C"", ""B_to_D"", ""C_to_A"", ""D_to_A""]",random,0.0,False,1e-09,1065520,19,2
5,[5],0.2,[5],1.0,2.321928094887362,1.0,2.321928094887362,"[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]",5,5,joint,5.0,5,0.2,1.0,1.0,2,2,2,2,2,8,5,1,15625,32,all,zero,2,2,2,2,0.0,0.0,1.0,1.0,,,,,,0,0,0,,,,1.0,2.321928094887362,1.0,0.0,2.321928094887362,5,"[""B_source"", ""B_to_C"", ""B_to_D"", ""C_to_A"", ""D_to_A""]",copy,0.0,True,1e-09,1075508,0,2
5,[5],0.2,[5],1.0,2.321928094887362,1.0,2.321928094887362,"[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]",5,5,joint,5.0,5,0.2,1.0,1.0,2,2,2,2,2,8,5,1,15625,32,all,zero,2,2,2,2,0.0,0.0,1.0,1.0,,,,,,0,0,0,,,,1.0,2.321928094887362,1.0,0.0,2.321928094887362,5,"[""B_source"", ""B_to_C"", ""B_to_D"", ""C_to_A"", ""D_to_A""]",copy,0.0,True,1e-09,1075509,1,2
5,[5],0.2,[5],1.0,2.321928094887362,1.0,2.321928094887362,"[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]",5,5,joint,5.0,5,0.2,1.0,1.0,2,2,2,2,2,8,5,1,15625,32,all,zero,2,2,2,2,0.0,0.0,1.0,1.0,,,,,,0,0,0,,,,1.0,2.321928094887362,1.0,0.0,2.321928094887362,5,"[""B_source"", ""B_to_C"", ""B_to_D"", ""C_to_A"", ""D_to_A""]",copy,0.0,True,1e-09,1075510,2,2
5,[5],0.2,[5],1.0,2.321928094887362,1.0,2.321928094887362,"[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]",5,5,joint,5.0,5,0.2,1.0,1.0,2,2,2,2,2,8,5,1,15625,32,all,zero,2,2,2,2,0.0,0.0,1.0,1.0,,,,,,0,0,0,,,,1.0,2.321928094887362,1.0,0.0,2.321928094887362,5,"[""B_source"", ""B_to_C"", ""B_to_D"", ""C_to_A"", ""D_to_A""]",copy,0.0,True,1e-09,1075511,3,2
