kB,kA,q,w,horizon,observer_init,n_rec_B,n_A_states,n_joint_states,n_schedules,logRecB_bits,memory_bits,cut_bits,physical_bound_bits,signature_classes,signature_bits,zero_error_code_size,zero_error_exact,zero_error_bits,shannon_capacity_bits,zero_error_over_volume,capacity_over_volume,capacity_per_boundary_symbol,nontrivial_sccs,interface,seed,extra_B,extra_A
4,3,4,1,6,zero,62,64,16384,144,5.954196310386875,6.0,12.0,5.954196310386875,3,1.584962500721156,1,True,0.0,0.6118631542386032,0.0,0.10276166964317762,0.3059315771193016,2,"((0, 0),)",37533,4,3
4,3,4,1,1,zero,84,64,16384,144,6.392317422778761,6.0,2.0,2.0,4,2.0,1,False,0.0,1.0736647215409343,0.0,0.16796173445876986,0.5368323607704671,2,"((0, 0),)",37534,4,3
4,3,4,1,2,zero,84,64,16384,144,6.392317422778761,6.0,4.0,4.0,13,3.700439718141092,1,False,0.0,0.5912672177036287,0.0,0.09249653585672579,0.29563360885181433,2,"((0, 0),)",37534,4,3
4,3,4,1,3,zero,84,64,16384,144,6.392317422778761,6.0,6.0,6.0,7,2.807354922057604,1,False,0.0,0.235396232398724,0.0,0.03682486598051267,0.117698116199362,2,"((0, 0),)",37534,4,3
4,3,4,1,4,zero,84,64,16384,144,6.392317422778761,6.0,8.0,6.0,1,0.0,1,False,0.0,0.06160488290263991,0.0,0.009637331632361284,0.030802441451319953,2,"((0, 0),)",37534,4,3
4,3,4,1,5,zero,84,64,16384,144,6.392317422778761,6.0,10.0,6.0,1,0.0,1,False,0.0,0.015924721007704035,0.0,0.002491228134409744,0.007962360503852017,2,"((0, 0),)",37534,4,3
4,3,4,1,6,zero,84,64,16384,144,6.392317422778761,6.0,12.0,6.0,1,0.0,1,False,0.0,0.0028856775013954643,0.0,0.0004514290061867815,0.0014428387506977322,2,"((0, 0),)",37534,4,3
4,3,4,1,1,zero,111,64,16384,144,6.794415866350106,6.0,2.0,2.0,11,3.4594316186372973,2,False,1.0,1.1970299114150031,0.14717968691798522,0.17617848759352375,0.5985149557075016,2,"((0, 0),)",37535,4,3
4,3,4,1,2,zero,111,64,16384,144,6.794415866350106,6.0,4.0,4.0,12,3.584962500721156,1,False,0.0,0.5737177462069251,0.0,0.08443959826602734,0.28685887310346253,2,"((0, 0),)",37535,4,3
4,3,4,1,3,zero,111,64,16384,144,6.794415866350106,6.0,6.0,6.0,6,2.584962500721156,1,False,0.0,0.3071449335547347,0.0,0.04520549515903123,0.15357246677736736,2,"((0, 0),)",37535,4,3
4,3,4,1,4,zero,111,64,16384,144,6.794415866350106,6.0,8.0,6.0,2,1.0,1,False,0.0,0.09487994802608268,0.0,0.01396440104527356,0.04743997401304134,2,"((0, 0),)",37535,4,3
4,3,4,1,5,zero,111,64,16384,144,6.794415866350106,6.0,10.0,6.0,2,1.0,1,False,0.0,0.027807821214318344,0.0,0.0040927464201946815,0.013903910607159172,2,"((0, 0),)",37535,4,3
4,3,4,1,6,zero,111,64,16384,144,6.794415866350106,6.0,12.0,6.0,1,0.0,1,False,0.0,0.012606388755856787,0.0,0.001855404350253411,0.006303194377928393,2,"((0, 0),)",37535,4,3
4,3,4,1,1,zero,63,64,16384,144,5.977279923499917,6.0,2.0,2.0,5,2.321928094887362,1,True,0.0,0.7629545529267765,0.0,0.12764243312868617,0.38147727646338825,2,"((0, 0),)",37536,4,3
4,3,4,1,2,zero,63,64,16384,144,5.977279923499917,6.0,4.0,4.0,11,3.4594316186372973,1,True,0.0,0.42950871986402844,0.0,0.07185688563378094,0.21475435993201422,2,"((0, 0),)",37536,4,3
4,3,4,1,3,zero,63,64,16384,144,5.977279923499917,6.0,6.0,5.977279923499917,3,1.584962500721156,1,True,0.0,0.1298078051634062,0.0,0.021716869014794103,0.0649039025817031,2,"((0, 0),)",37536,4,3
4,3,4,1,4,zero,63,64,16384,144,5.977279923499917,6.0,8.0,5.977279923499917,2,1.0,1,True,0.0,0.07654493625581103,0.0,0.012805981522610567,0.038272468127905516,2,"((0, 0),)",37536,4,3
4,3,4,1,5,zero,63,64,16384,144,5.977279923499917,6.0,10.0,5.977279923499917,2,1.0,1,True,0.0,0.03297558358465403,0.0,0.005516821030082462,0.016487791792327015,2,"((0, 0),)",37536,4,3
4,3,4,1,6,zero,63,64,16384,144,5.977279923499917,6.0,12.0,5.977279923499917,2,1.0,1,True,0.0,0.0165036710664458,0.0,0.00276106712044068,0.0082518355332229,2,"((0, 0),)",37536,4,3
4,3,4,1,1,zero,14,64,16384,144,3.807354922057604,6.0,2.0,2.0,3,1.584962500721156,1,True,0.0,0.6666666665323951,0.0,0.17509968998952935,0.3333333332661976,2,"((0, 0),)",37537,4,3
4,3,4,1,2,zero,14,64,16384,144,3.807354922057604,6.0,4.0,3.807354922057604,5,2.321928094887362,1,True,0.0,0.6995632480284001,0.0,0.18373996182376817,0.34978162401420004,2,"((0, 0),)",37537,4,3
