q,rows,cols,n_links,n_plaquettes,rule_ensemble,mutation_rate,closed_scc,n_scc,link_schedule_consistency,flux_schedule_consistency,quotient_determinism_accuracy,quotient_determinism_exact,link_bit_entropy_bits,link_bit_entropy_norm,quotient_transition_mi_bits,quotient_transition_mi_norm,plaquette_flux_entropy_bits,initial_flux_entropy_bits,recurrent_flux_entropy_bits,recurrent_flux_fixed_fraction,mean_nontrivial_flux_fraction,partition_index,partition,quotient_score,closed_c2_quotient,recurrent_flux_nontrivial,closed_medium_candidate,search_mode,run,generation,candidate,seed,blind_fitness
4,2,2,8,4,random,0.0,True,1,0.0,0.0,0.115478515625,False,7.954500857305682,0.9943126071632102,4.051135694882639,0.5092884855448773,2.997762171178305,2.9989940560330686,2.9874574905345144,0.091796875,0.4990234375,5,0011,0.23928000190139204,False,True,False,null,-1,0,0,4948.0,
4,2,2,8,4,random,0.0,True,1,0.0,0.0,0.11865234375,False,7.95567114064367,0.9944588925804587,4.064553052785483,0.5109000838434143,2.9982036878347755,2.9993458697891535,2.969148341654664,0.1015625,0.5054931640625,5,0011,0.24042009882859175,False,True,False,null,-1,0,1,4949.0,
4,2,2,8,4,random,0.0,True,1,0.0,0.0,0.1162109375,False,7.955898743860777,0.9944873429825971,4.037491191557926,0.5074839840908588,2.998320073104723,2.999007904838457,2.9852410137309118,0.177734375,0.49951171875,4,0101,0.23957129672151944,False,True,False,null,-1,0,2,4950.0,
4,2,2,8,4,random,0.0,True,1,0.0,0.0,0.11669921875,False,7.956175966021679,0.9945219957527098,4.052886272308578,0.5094012864493167,2.996599404600503,2.9997308428366662,2.983228067595232,0.134765625,0.4971923828125,5,0011,0.23974912571304197,False,True,False,null,-1,0,3,4951.0,
4,2,2,8,4,random,0.0,True,1,0.0,0.0,0.11669921875,False,7.959542756789967,0.9949428445987458,4.035469229773721,0.5069976194714482,2.99793891737332,2.9994588590556845,2.983850944756234,0.1015625,0.49853515625,4,0101,0.23983329548224916,False,True,False,null,-1,0,4,4952.0,
4,2,2,8,4,random,0.0,True,1,0.0,0.0,0.116943359375,False,7.956685194312966,0.9945856492891207,4.038347768449681,0.5075414786217867,2.998451030035186,2.9982177758396737,2.979984543645997,0.14453125,0.496826171875,2,0110,0.23984730563907417,False,True,False,null,-1,0,5,4953.0,
4,2,2,8,4,random,0.0,True,1,0.0,0.0,0.119384765625,False,7.952895588563077,0.9941119485703847,4.0590461216133225,0.510385943888232,2.9988253907037015,2.9988822187592326,2.991593274544693,0.138671875,0.4969482421875,2,0110,0.24060705768282695,False,True,False,null,-1,0,6,4954.0,
4,2,2,8,4,random,0.0,True,1,0.0,0.0,0.11962890625,False,7.956987084632682,0.9946233855790853,4.052882179113663,0.509348844733076,2.996701515441833,2.998863981928246,2.9954710870630916,0.177734375,0.50146484375,4,0101,0.24079479430331707,False,True,False,null,-1,0,7,4955.0,
4,2,2,8,4,random,0.0,True,1,0.0,0.0,0.115234375,False,7.958937459328613,0.9948671824160766,4.04538064597196,0.5082814969516313,2.998957919470599,2.999207914647946,2.9849415358237676,0.10546875,0.495849609375,5,0011,0.23930546773321532,False,True,False,null,-1,0,8,4956.0,
4,2,2,8,4,random,0.0,True,1,0.0,0.0,0.11669921875,False,7.961041266135814,0.9951301582669767,4.052710503930447,0.5090678930618808,2.9993924719304452,2.9997862616476163,2.979752672838809,0.171875,0.500244140625,4,0101,0.23987075821589535,False,True,False,null,-1,0,9,4957.0,
4,2,2,8,4,random,0.0,True,1,0.0,0.0,0.116455078125,False,7.948368880551797,0.9935461100689746,4.0367124229724745,0.5078667690989493,2.9993348191612865,2.998572758862461,2.9812152319519694,0.126953125,0.4931640625,2,0110,0.23946849935754494,False,True,False,null,-1,0,10,4958.0,
4,2,2,8,4,random,0.0,True,1,0.0,0.0,0.115478515625,False,7.953584590861622,0.9941980738577028,4.033970492764386,0.5071889846245264,2.9990369383816553,2.999177242396953,2.9963817965621606,0.142578125,0.50146484375,5,0011,0.23925709524029054,False,True,False,null,-1,0,11,4959.0,
4,2,2,8,4,random,0.0,True,1,0.0,0.0,0.11376953125,False,7.956043261406929,0.9945054076758661,4.045017302556994,0.50842072744608,2.998477932776114,2.999018756021768,2.9889472268326194,0.1328125,0.494873046875,5,0011,0.23872041747267325,False,True,False,null,-1,0,12,4960.0,
4,2,2,8,4,random,0.0,True,1,0.000244140625,0.000244140625,0.115478515625,False,7.950951175306104,0.993868896913263,4.046069686107204,0.5088786985226876,2.9979113154958714,2.9989378667083124,2.9979287594839756,0.14453125,0.5028076171875,2,0110,0.23930112313265262,False,True,False,null,-1,0,13,4961.0,
