q,w,nx,ny,orientation,offset,z2_fraction,valid_fraction,nontrivial_fraction,group_name_counts,delta_type_counts,left_copied,right_copied,right_skipped_overlap,right_incompatible,left_plaquette_count,left_z2_fraction,left_valid_fraction,left_nontrivial_fraction,right_plaquette_count,right_z2_fraction,right_valid_fraction,right_nontrivial_fraction,seam_plaquette_count,seam_z2_fraction,seam_valid_fraction,seam_nontrivial_fraction,interior_plaquette_count,interior_z2_fraction,interior_valid_fraction,interior_nontrivial_fraction,all_plaquette_count,all_z2_fraction,all_valid_fraction,all_nontrivial_fraction,seam_pair_count,seam_pair_z2_fraction,seam_flux_mismatch_fraction,wilson_crossing_n,wilson_noncrossing_n,wilson_crossing_abs,wilson_noncrossing_abs,wilson_crossing_gap,clean_fusion,localized_seam_defect,seam_residue,fusion_score,pair_index,left_index,right_index,winner_path,repair_generations
4,1,8,4,horizontal,4,0.5,0.5,0.5625,"{""C2"": 16}","{""identity"": 7, ""cycle_2"": 9}",185,164,21,0,16,1.0,1.0,0.5625,16,0.0,0.0,0.0,8,0.5,0.5,1.0,24,0.5,0.5,0.4166666666666667,32,0.5,0.5,0.5625,4,0.0,,0,100,,0.08,,False,False,0.0,1.125,70,10,12,example_results/lattice_growth_winners_q4_3to4.pkl,0
4,1,8,4,horizontal,4,0.53125,0.53125,0.5294117647058824,"{""C2"": 17}","{""identity"": 8, ""cycle_2"": 9}",185,164,21,0,16,1.0,1.0,0.5625,16,0.0625,0.0625,0.0,8,0.625,0.625,0.8,24,0.5,0.5,0.4166666666666667,32,0.53125,0.53125,0.5294117647058824,4,0.25,1.0,3,101,1.0,0.06930693069306931,0.9306930693069306,False,False,0.0,1.21875,71,15,18,example_results/lattice_growth_winners_q4_3to4.pkl,0
4,1,8,4,horizontal,4,0.5,0.5,0.5625,"{""C2"": 14, ""trivial"": 2}","{""identity"": 7, ""cycle_2"": 9}",185,164,21,0,16,1.0,1.0,0.5625,16,0.0,0.0,0.0,8,0.5,0.5,0.5,24,0.5,0.5,0.5833333333333334,32,0.5,0.5,0.5625,4,0.0,,0,100,,0.04,,False,False,0.0,1.125,72,8,9,example_results/lattice_growth_winners_q4_3to4.pkl,0
4,1,8,4,horizontal,4,0.53125,0.53125,0.5294117647058824,"{""C2"": 17}","{""identity"": 8, ""cycle_2"": 9}",185,164,21,0,16,1.0,1.0,0.5625,16,0.0625,0.0625,0.0,8,0.625,0.625,0.6,24,0.5,0.5,0.5,32,0.53125,0.53125,0.5294117647058824,4,0.25,0.0,3,101,1.0,0.10891089108910891,0.8910891089108911,False,False,0.0,1.21875,73,9,19,example_results/lattice_growth_winners_q4_3to4.pkl,0
4,1,8,4,horizontal,4,0.5,0.5,0.5625,"{""C2"": 15, ""trivial"": 1}","{""identity"": 7, ""cycle_2"": 9}",185,164,21,0,16,1.0,1.0,0.5625,16,0.0,0.0,0.0,8,0.5,0.5,0.75,24,0.5,0.5,0.5,32,0.5,0.5,0.5625,4,0.0,,0,100,,0.12,,False,False,0.0,1.125,74,3,10,example_results/lattice_growth_winners_q4_3to4.pkl,0
4,1,8,4,horizontal,4,0.5,0.5,0.625,"{""C2"": 15, ""trivial"": 1}","{""identity"": 6, ""cycle_2"": 10}",185,164,21,0,16,1.0,1.0,0.625,16,0.0,0.0,0.0,8,0.5,0.5,0.75,24,0.5,0.5,0.5833333333333334,32,0.5,0.5,0.625,4,0.0,,0,100,,0.0,,False,False,0.0,1.125,75,0,9,example_results/lattice_growth_winners_q4_3to4.pkl,0
4,1,8,4,horizontal,4,0.53125,0.53125,0.5294117647058824,"{""C2"": 17}","{""identity"": 8, ""cycle_2"": 9}",185,164,21,0,16,1.0,1.0,0.5625,16,0.0625,0.0625,0.0,8,0.625,0.625,0.8,24,0.5,0.5,0.4166666666666667,32,0.53125,0.53125,0.5294117647058824,4,0.25,1.0,3,101,1.0,0.06930693069306931,0.9306930693069306,False,False,0.0,1.21875,76,18,11,example_results/lattice_growth_winners_q4_3to4.pkl,0
4,1,8,4,horizontal,4,0.53125,0.53125,0.5882352941176471,"{""C2"": 16, ""trivial"": 1}","{""identity"": 7, ""cycle_2"": 10}",185,164,21,0,16,1.0,1.0,0.5625,16,0.0625,0.0625,1.0,8,0.625,0.625,0.8,24,0.5,0.5,0.5,32,0.53125,0.53125,0.5882352941176471,4,0.25,0.0,3,101,0.3333333333333333,0.0891089108910891,0.2442244224422442,False,False,0.0,1.21875,77,6,19,example_results/lattice_growth_winners_q4_3to4.pkl,0
4,1,8,4,horizontal,4,0.5,0.5,0.5625,"{""C2"": 16}","{""identity"": 7, ""cycle_2"": 9}",185,164,21,0,16,1.0,1.0,0.5625,16,0.0,0.0,0.0,8,0.5,0.5,1.0,24,0.5,0.5,0.4166666666666667,32,0.5,0.5,0.5625,4,0.0,,0,100,,0.08,,False,False,0.0,1.125,78,12,19,example_results/lattice_growth_winners_q4_3to4.pkl,0
4,1,8,4,horizontal,4,0.5,0.5,0.625,"{""C2"": 15, ""trivial"": 1}","{""identity"": 6, ""cycle_2"": 10}",185,164,21,0,16,1.0,1.0,0.625,16,0.0,0.0,0.0,8,0.5,0.5,0.75,24,0.5,0.5,0.5833333333333334,32,0.5,0.5,0.625,4,0.0,,0,100,,0.0,,False,False,0.0,1.125,79,0,9,example_results/lattice_growth_winners_q4_3to4.pkl,0
