instance,rule_ensemble,k,q,horizon,A,B,U,A_size,B_size,U_size,raw_cancellation_ok,seam_edge_count,recurrent_state_count,local_pair_count,union_class_count,ambiguous_pair_count,gluing_accuracy,residual_entropy_bits,defect_candidate,A_vertices,B_vertices,U_vertices
0,random_scc,6,2,2,"(0, 1, 4)","(2, 3, 5)","(0, 1, 2, 3, 4, 5)",3,3,6,True,6,4,1,1,0,1.0,0.0,False,"[0, 1, 4]","[2, 3, 5]","[0, 1, 2, 3, 4, 5]"
0,random_scc,6,2,2,"(2, 4)","(0, 1, 5)","(0, 1, 2, 4, 5)",2,3,5,True,5,4,1,1,0,1.0,0.0,False,"[2, 4]","[0, 1, 5]","[0, 1, 2, 4, 5]"
0,random_scc,6,2,2,"(2, 5)","(0, 1, 4)","(0, 1, 2, 4, 5)",2,3,5,True,5,4,1,1,0,1.0,0.0,False,"[2, 5]","[0, 1, 4]","[0, 1, 2, 4, 5]"
0,random_scc,6,2,2,"(0, 1, 3)","(2, 4, 5)","(0, 1, 2, 3, 4, 5)",3,3,6,True,5,4,1,1,0,1.0,0.0,False,"[0, 1, 3]","[2, 4, 5]","[0, 1, 2, 3, 4, 5]"
0,random_scc,6,2,2,"(0, 1, 5)","(2, 3, 4)","(0, 1, 2, 3, 4, 5)",3,3,6,True,5,4,1,1,0,1.0,0.0,False,"[0, 1, 5]","[2, 3, 4]","[0, 1, 2, 3, 4, 5]"
0,random_scc,6,2,2,"(2, 4)","(0, 1, 3)","(0, 1, 2, 3, 4)",2,3,5,True,4,4,1,1,0,1.0,0.0,False,"[2, 4]","[0, 1, 3]","[0, 1, 2, 3, 4]"
0,random_scc,6,2,2,"(0, 1)","(2, 4, 5)","(0, 1, 2, 4, 5)",2,3,5,True,3,4,1,1,0,1.0,0.0,False,"[0, 1]","[2, 4, 5]","[0, 1, 2, 4, 5]"
0,random_scc,6,2,2,"(2, 5)","(0, 1, 3)","(0, 1, 2, 3, 5)",2,3,5,True,3,4,1,1,0,1.0,0.0,False,"[2, 5]","[0, 1, 3]","[0, 1, 2, 3, 5]"
0,random_scc,6,2,2,"(0, 1)","(2, 4)","(0, 1, 2, 4)",2,2,4,True,2,4,1,1,0,1.0,0.0,False,"[0, 1]","[2, 4]","[0, 1, 2, 4]"
0,random_scc,6,2,2,"(0, 1)","(2, 5)","(0, 1, 2, 5)",2,2,4,True,2,4,1,1,0,1.0,0.0,False,"[0, 1]","[2, 5]","[0, 1, 2, 5]"
0,random_scc,6,2,2,"(0, 1)","(2, 3, 4)","(0, 1, 2, 3, 4)",2,3,5,True,2,4,1,1,0,1.0,0.0,False,"[0, 1]","[2, 3, 4]","[0, 1, 2, 3, 4]"
0,random_scc,6,2,2,"(0, 1)","(2, 3, 5)","(0, 1, 2, 3, 5)",2,3,5,True,2,4,1,1,0,1.0,0.0,False,"[0, 1]","[2, 3, 5]","[0, 1, 2, 3, 5]"
2,random_scc,6,2,2,"(0, 2, 3)","(1, 4, 5)","(0, 1, 2, 3, 4, 5)",3,3,6,True,7,1,1,1,0,1.0,0.0,False,"[0, 2, 3]","[1, 4, 5]","[0, 1, 2, 3, 4, 5]"
2,random_scc,6,2,2,"(0, 3, 4)","(1, 2, 5)","(0, 1, 2, 3, 4, 5)",3,3,6,True,6,1,1,1,0,1.0,0.0,False,"[0, 3, 4]","[1, 2, 5]","[0, 1, 2, 3, 4, 5]"
2,random_scc,6,2,2,"(1, 5)","(0, 2, 3)","(0, 1, 2, 3, 5)",2,3,5,True,4,1,1,1,0,1.0,0.0,False,"[1, 5]","[0, 2, 3]","[0, 1, 2, 3, 5]"
2,random_scc,6,2,2,"(1, 5)","(0, 3, 4)","(0, 1, 3, 4, 5)",2,3,5,True,4,1,1,1,0,1.0,0.0,False,"[1, 5]","[0, 3, 4]","[0, 1, 3, 4, 5]"
2,random_scc,6,2,2,"(2, 3)","(1, 4, 5)","(1, 2, 3, 4, 5)",2,3,5,True,4,1,1,1,0,1.0,0.0,False,"[2, 3]","[1, 4, 5]","[1, 2, 3, 4, 5]"
2,random_scc,6,2,2,"(3, 4)","(1, 2, 5)","(1, 2, 3, 4, 5)",2,3,5,True,4,1,1,1,0,1.0,0.0,False,"[3, 4]","[1, 2, 5]","[1, 2, 3, 4, 5]"
2,random_scc,6,2,2,"(0, 1, 5)","(2, 3, 4)","(0, 1, 2, 3, 4, 5)",3,3,6,True,4,1,1,1,0,1.0,0.0,False,"[0, 1, 5]","[2, 3, 4]","[0, 1, 2, 3, 4, 5]"
2,random_scc,6,2,2,"(1, 5)","(2, 3, 4)","(1, 2, 3, 4, 5)",2,3,5,True,3,1,1,1,0,1.0,0.0,False,"[1, 5]","[2, 3, 4]","[1, 2, 3, 4, 5]"
2,random_scc,6,2,2,"(3, 4)","(0, 1, 5)","(0, 1, 3, 4, 5)",2,3,5,True,3,1,1,1,0,1.0,0.0,False,"[3, 4]","[0, 1, 5]","[0, 1, 3, 4, 5]"
2,random_scc,6,2,2,"(1, 5)","(2, 3)","(1, 2, 3, 5)",2,2,4,True,2,1,1,1,0,1.0,0.0,False,"[1, 5]","[2, 3]","[1, 2, 3, 5]"
2,random_scc,6,2,2,"(1, 5)","(3, 4)","(1, 3, 4, 5)",2,2,4,True,2,1,1,1,0,1.0,0.0,False,"[1, 5]","[3, 4]","[1, 3, 4, 5]"
2,random_scc,6,2,2,"(2, 3)","(0, 1, 5)","(0, 1, 2, 3, 5)",2,3,5,True,2,1,1,1,0,1.0,0.0,False,"[2, 3]","[0, 1, 5]","[0, 1, 2, 3, 5]"
3,random_scc,6,2,2,"(0, 2, 3)","(1, 4, 5)","(0, 1, 2, 3, 4, 5)",3,3,6,True,6,1,1,1,0,1.0,0.0,False,"[0, 2, 3]","[1, 4, 5]","[0, 1, 2, 3, 4, 5]"
3,random_scc,6,2,2,"(0, 4, 5)","(1, 2, 3)","(0, 1, 2, 3, 4, 5)",3,3,6,True,6,1,1,1,0,1.0,0.0,False,"[0, 4, 5]","[1, 2, 3]","[0, 1, 2, 3, 4, 5]"
3,random_scc,6,2,2,"(4, 5)","(0, 2, 3)","(0, 2, 3, 4, 5)",2,3,5,True,3,1,1,1,0,1.0,0.0,False,"[4, 5]","[0, 2, 3]","[0, 2, 3, 4, 5]"
3,random_scc,6,2,2,"(4, 5)","(1, 2, 3)","(1, 2, 3, 4, 5)",2,3,5,True,3,1,1,1,0,1.0,0.0,False,"[4, 5]","[1, 2, 3]","[1, 2, 3, 4, 5]"
5,random_scc,6,2,2,"(0, 1, 2)","(3, 4, 5)","(0, 1, 2, 3, 4, 5)",3,3,6,True,6,12,1,1,0,1.0,0.0,False,"[0, 1, 2]","[3, 4, 5]","[0, 1, 2, 3, 4, 5]"
5,random_scc,6,2,2,"(0, 1, 5)","(2, 3, 4)","(0, 1, 2, 3, 4, 5)",3,3,6,True,6,12,1,1,0,1.0,0.0,False,"[0, 1, 5]","[2, 3, 4]","[0, 1, 2, 3, 4, 5]"
5,random_scc,6,2,2,"(0, 3, 5)","(1, 2, 4)","(0, 1, 2, 3, 4, 5)",3,3,6,True,6,12,1,1,0,1.0,0.0,False,"[0, 3, 5]","[1, 2, 4]","[0, 1, 2, 3, 4, 5]"
5,random_scc,6,2,2,"(4, 5)","(0, 1, 2)","(0, 1, 2, 4, 5)",2,3,5,True,5,12,1,1,0,1.0,0.0,False,"[4, 5]","[0, 1, 2]","[0, 1, 2, 4, 5]"
5,random_scc,6,2,2,"(0, 4, 5)","(1, 2, 3)","(0, 1, 2, 3, 4, 5)",3,3,6,True,5,12,1,1,0,1.0,0.0,False,"[0, 4, 5]","[1, 2, 3]","[0, 1, 2, 3, 4, 5]"
5,random_scc,6,2,2,"(0, 5)","(1, 2, 4)","(0, 1, 2, 4, 5)",2,3,5,True,4,12,1,1,0,1.0,0.0,False,"[0, 5]","[1, 2, 4]","[0, 1, 2, 4, 5]"
5,random_scc,6,2,2,"(1, 2)","(0, 4, 5)","(0, 1, 2, 4, 5)",2,3,5,True,4,12,1,1,0,1.0,0.0,False,"[1, 2]","[0, 4, 5]","[0, 1, 2, 4, 5]"
5,random_scc,6,2,2,"(1, 2)","(3, 4, 5)","(1, 2, 3, 4, 5)",2,3,5,True,4,12,1,1,0,1.0,0.0,False,"[1, 2]","[3, 4, 5]","[1, 2, 3, 4, 5]"
5,random_scc,6,2,2,"(4, 5)","(1, 2, 3)","(1, 2, 3, 4, 5)",2,3,5,True,4,12,1,1,0,1.0,0.0,False,"[4, 5]","[1, 2, 3]","[1, 2, 3, 4, 5]"
5,random_scc,6,2,2,"(1, 2)","(4, 5)","(1, 2, 4, 5)",2,2,4,True,3,12,1,1,0,1.0,0.0,False,"[1, 2]","[4, 5]","[1, 2, 4, 5]"
5,random_scc,6,2,2,"(0, 5)","(2, 3, 4)","(0, 2, 3, 4, 5)",2,3,5,True,3,12,1,1,0,1.0,0.0,False,"[0, 5]","[2, 3, 4]","[0, 2, 3, 4, 5]"
5,random_scc,6,2,2,"(1, 2)","(0, 3, 5)","(0, 1, 2, 3, 5)",2,3,5,True,3,12,1,1,0,1.0,0.0,False,"[1, 2]","[0, 3, 5]","[0, 1, 2, 3, 5]"
5,random_scc,6,2,2,"(0, 5)","(1, 2)","(0, 1, 2, 5)",2,2,4,True,2,12,1,1,0,1.0,0.0,False,"[0, 5]","[1, 2]","[0, 1, 2, 5]"
5,random_scc,6,2,2,"(0, 5)","(1, 2, 3)","(0, 1, 2, 3, 5)",2,3,5,True,2,12,1,1,0,1.0,0.0,False,"[0, 5]","[1, 2, 3]","[0, 1, 2, 3, 5]"
6,random_scc,6,2,2,"(0, 1, 5)","(2, 3, 4)","(0, 1, 2, 3, 4, 5)",3,3,6,True,6,1,1,1,0,1.0,0.0,False,"[0, 1, 5]","[2, 3, 4]","[0, 1, 2, 3, 4, 5]"
6,random_scc,6,2,2,"(0, 1, 2)","(3, 4, 5)","(0, 1, 2, 3, 4, 5)",3,3,6,True,5,1,1,1,0,1.0,0.0,False,"[0, 1, 2]","[3, 4, 5]","[0, 1, 2, 3, 4, 5]"
6,random_scc,6,2,2,"(3, 4)","(0, 1, 5)","(0, 1, 3, 4, 5)",2,3,5,True,4,1,1,1,0,1.0,0.0,False,"[3, 4]","[0, 1, 5]","[0, 1, 3, 4, 5]"
6,random_scc,6,2,2,"(0, 1)","(2, 3, 4)","(0, 1, 2, 3, 4)",2,3,5,True,3,1,1,1,0,1.0,0.0,False,"[0, 1]","[2, 3, 4]","[0, 1, 2, 3, 4]"
6,random_scc,6,2,2,"(0, 1)","(3, 4, 5)","(0, 1, 3, 4, 5)",2,3,5,True,3,1,1,1,0,1.0,0.0,False,"[0, 1]","[3, 4, 5]","[0, 1, 3, 4, 5]"
6,random_scc,6,2,2,"(3, 4)","(0, 1, 2)","(0, 1, 2, 3, 4)",2,3,5,True,3,1,1,1,0,1.0,0.0,False,"[3, 4]","[0, 1, 2]","[0, 1, 2, 3, 4]"
6,random_scc,6,2,2,"(0, 1)","(3, 4)","(0, 1, 3, 4)",2,2,4,True,2,1,1,1,0,1.0,0.0,False,"[0, 1]","[3, 4]","[0, 1, 3, 4]"
7,random_scc,6,2,2,"(0, 1, 4)","(2, 3, 5)","(0, 1, 2, 3, 4, 5)",3,3,6,True,7,8,1,1,0,1.0,0.0,False,"[0, 1, 4]","[2, 3, 5]","[0, 1, 2, 3, 4, 5]"
7,random_scc,6,2,2,"(0, 4, 5)","(1, 2, 3)","(0, 1, 2, 3, 4, 5)",3,3,6,True,6,8,1,1,0,1.0,0.0,False,"[0, 4, 5]","[1, 2, 3]","[0, 1, 2, 3, 4, 5]"
