graph_id,source_observer,target_observer,source_nodes,target_nodes,n_micro_edges,shared_classes,residual_bits,residual_qcoords,label_entropy_bits,transport_mi_norm,deterministic_accuracy,live_quotient
23,3,0,14,1 3,2,1,0.0,0.0,-0.0,0.0,1.0,0
23,4,2,15 16,9 10,2,1,0.0,0.0,-0.0,0.0,1.0,0
24,3,2,4,9,1,1,0.0,0.0,-0.0,0.0,1.0,0
24,2,1,8,12,1,1,0.0,0.0,-0.0,0.0,1.0,0
24,3,1,4,13,1,1,0.0,0.0,-0.0,0.0,1.0,0
24,4,1,16,14,1,1,0.0,0.0,-0.0,0.0,1.0,0
25,3,2,2,4,1,1,0.0,0.0,-0.0,0.0,1.0,0
25,1,0,16,9,1,1,0.0,0.0,-0.0,0.0,1.0,0
25,2,1,7,15 17,2,1,0.0,0.0,-0.0,0.0,1.0,0
26,4,3,8,12,1,1,0.0,0.0,-0.0,0.0,1.0,0
26,4,1,9,16,1,1,0.0,0.0,-0.0,0.0,1.0,0
26,2,1,6,17,1,1,0.0,0.0,-0.0,0.0,1.0,0
27,2,0,9,1,1,1,0.0,0.0,-0.0,0.0,1.0,0
27,4,0,17,2,1,1,0.0,0.0,-0.0,0.0,1.0,0
27,3,2,4,10,1,1,0.0,0.0,-0.0,0.0,1.0,0
27,4,2,17,10,1,1,0.0,0.0,-0.0,0.0,1.0,0
27,3,1,6,12,1,1,0.0,0.0,-0.0,0.0,1.0,0
28,4,0,8 10,0 1,2,1,0.0,0.0,-0.0,0.0,1.0,0
28,3,2,6,12,1,1,0.0,0.0,-0.0,0.0,1.0,0
28,4,2,10,12 13,2,1,0.0,0.0,-0.0,0.0,1.0,0
28,3,1,7,17,1,1,0.0,0.0,-0.0,0.0,1.0,0
29,2,0,2,8,1,1,0.0,0.0,-0.0,0.0,1.0,0
29,4,0,13 14,9 10,2,1,0.0,0.0,-0.0,0.0,1.0,0
29,2,1,1,15 17,2,1,0.0,0.0,-0.0,0.0,1.0,0
30,1,0,12 13,8 10,2,1,0.0,0.0,-0.0,0.0,1.0,0
30,4,0,5,11,1,1,0.0,0.0,-0.0,0.0,1.0,0
30,3,1,2,12,1,1,0.0,0.0,-0.0,0.0,1.0,0
30,2,1,17,14,1,1,0.0,0.0,-0.0,0.0,1.0,0
30,3,2,2 3,15 16,2,1,0.0,0.0,-0.0,0.0,1.0,0
32,3,2,6,0 1,2,1,0.0,0.0,-0.0,0.0,1.0,0
32,4,2,13 14,1,2,1,0.0,0.0,-0.0,0.0,1.0,0
32,2,0,3,8,1,1,0.0,0.0,-0.0,0.0,1.0,0
32,4,0,14,8 9,2,1,0.0,0.0,-0.0,0.0,1.0,0
32,2,1,2 3,17,2,1,0.0,0.0,-0.0,0.0,1.0,0
33,4,1,16 17,4 7,2,1,0.0,0.0,-0.0,0.0,1.0,0
33,3,1,12,5,1,1,0.0,0.0,-0.0,0.0,1.0,0
34,4,0,10,2,1,1,0.0,0.0,-0.0,0.0,1.0,0
34,4,1,11,6,1,1,0.0,0.0,-0.0,0.0,1.0,0
34,3,2,15,12 14,2,1,0.0,0.0,-0.0,0.0,1.0,0
34,4,2,9 10,13 14,2,1,0.0,0.0,-0.0,0.0,1.0,0
34,4,3,9,15,1,1,0.0,0.0,-0.0,0.0,1.0,0
35,3,0,11,0 1,2,1,0.0,0.0,-0.0,0.0,1.0,0
35,2,0,12 14,0 2,2,1,0.0,0.0,-0.0,0.0,1.0,0
35,4,0,16 17,0 3,2,1,0.0,0.0,-0.0,0.0,1.0,0
35,3,1,8,4,1,1,0.0,0.0,-0.0,0.0,1.0,0
35,3,2,8,14,1,1,0.0,0.0,-0.0,0.0,1.0,0
36,3,1,12,6 7,2,1,0.0,0.0,-0.0,0.0,1.0,0
36,4,1,17,7,1,1,0.0,0.0,-0.0,0.0,1.0,0
37,1,0,12 14,2 3,2,1,0.0,0.0,-0.0,0.0,1.0,0
37,4,3,4,8,1,1,0.0,0.0,-0.0,0.0,1.0,0
37,4,1,4 6,12,2,1,0.0,0.0,-0.0,0.0,1.0,0
37,3,2,9,17,1,1,0.0,0.0,-0.0,0.0,1.0,0
38,1,0,2,11,1,1,0.0,0.0,-0.0,0.0,1.0,0
38,3,2,6,17,1,1,0.0,0.0,-0.0,0.0,1.0,0
39,1,0,2,17,1,1,0.0,0.0,-0.0,0.0,1.0,0
39,3,0,10,17,1,1,0.0,0.0,-0.0,0.0,1.0,0
40,2,0,9,1,1,1,0.0,0.0,-0.0,0.0,1.0,0
40,4,0,15 17,3,2,1,0.0,0.0,-0.0,0.0,1.0,0
40,3,2,12 14,10 11,2,1,0.0,0.0,-0.0,0.0,1.0,0
41,2,0,11,4,1,1,0.0,0.0,-0.0,0.0,1.0,0
41,4,0,16,4,1,1,0.0,0.0,-0.0,0.0,1.0,0
41,1,0,1,7,1,1,0.0,0.0,-0.0,0.0,1.0,0
41,3,2,13 14,8 10,2,1,0.0,0.0,-0.0,0.0,1.0,0
41,4,2,16,11,1,1,0.0,0.0,-0.0,0.0,1.0,0
42,1,0,1,5 6,2,1,0.0,0.0,-0.0,0.0,1.0,0
42,3,2,8,14,1,1,0.0,0.0,-0.0,0.0,1.0,0
43,4,0,11,2,1,1,0.0,0.0,-0.0,0.0,1.0,0
43,2,1,13,4,1,1,0.0,0.0,-0.0,0.0,1.0,0
43,3,2,17,13,1,1,0.0,0.0,-0.0,0.0,1.0,0
43,4,3,8,15,1,1,0.0,0.0,-0.0,0.0,1.0,0
44,1,0,15,3,1,1,0.0,0.0,-0.0,0.0,1.0,0
44,2,1,6,16,1,1,0.0,0.0,-0.0,0.0,1.0,0
45,2,1,0,10,1,1,0.0,0.0,-0.0,0.0,1.0,0
45,4,1,14,11,1,1,0.0,0.0,-0.0,0.0,1.0,0
45,2,0,2,15,1,1,0.0,0.0,-0.0,0.0,1.0,0
45,3,0,5,16,1,1,0.0,0.0,-0.0,0.0,1.0,0
46,3,1,10 11,12 14,2,1,0.0,0.0,-0.0,0.0,1.0,0
46,2,1,4,13,1,1,0.0,0.0,-0.0,0.0,1.0,0
47,3,2,13,9,1,1,0.0,0.0,-0.0,0.0,1.0,0
