kB,kA,q,w,horizon,observer_init,n_rec_B,n_A_states,n_joint_states,n_schedules,logRecB_bits,memory_bits,cut_bits,physical_bound_bits,signature_classes,signature_bits,zero_error_code_size,zero_error_exact,zero_error_bits,shannon_capacity_bits,zero_error_over_volume,capacity_over_volume,capacity_per_boundary_symbol,nontrivial_sccs,interface,seed,extra_B,extra_A
2,2,4,1,2,zero,2,16,256,4,1.0,4.0,4.0,1.0,2,1.0,2,True,1.0,1.0000000000000002,1.0,1.0000000000000002,0.5000000000000001,2,"((0, 0),)",19616,2,2
2,2,4,1,3,zero,2,16,256,4,1.0,4.0,6.0,1.0,2,1.0,1,True,0.0,0.5694160774164734,0.0,0.5694160774164734,0.2847080387082367,2,"((0, 0),)",19616,2,2
2,2,4,1,1,zero,2,16,256,4,1.0,4.0,2.0,1.0,1,0.0,1,True,0.0,0.0,0.0,0.0,0.0,2,"((0, 0),)",19617,2,2
2,2,4,1,2,zero,2,16,256,4,1.0,4.0,4.0,1.0,1,0.0,1,True,0.0,0.0,0.0,0.0,0.0,2,"((0, 0),)",19617,2,2
2,2,4,1,3,zero,2,16,256,4,1.0,4.0,6.0,1.0,1,0.0,1,True,0.0,0.0,0.0,0.0,0.0,2,"((0, 0),)",19617,2,2
2,2,4,1,1,zero,1,16,256,4,0.0,4.0,2.0,0.0,1,0.0,1,True,0.0,0.0,,,0.0,2,"((0, 0),)",19618,2,2
2,2,4,1,2,zero,1,16,256,4,0.0,4.0,4.0,0.0,1,0.0,1,True,0.0,0.0,,,0.0,2,"((0, 0),)",19618,2,2
2,2,4,1,3,zero,1,16,256,4,0.0,4.0,6.0,0.0,1,0.0,1,True,0.0,0.0,,,0.0,2,"((0, 0),)",19618,2,2
2,2,4,1,1,zero,4,16,256,4,2.0,4.0,2.0,2.0,3,1.584962500721156,1,True,0.0,0.4999999997671694,0.0,0.2499999998835847,0.2499999998835847,2,"((0, 0),)",19619,2,2
2,2,4,1,2,zero,4,16,256,4,2.0,4.0,4.0,2.0,1,0.0,1,True,0.0,0.11212798303950847,0.0,0.05606399151975423,0.05606399151975423,2,"((0, 0),)",19619,2,2
2,2,4,1,3,zero,4,16,256,4,2.0,4.0,6.0,2.0,1,0.0,1,True,0.0,0.1887218752818582,0.0,0.0943609376409291,0.0943609376409291,2,"((0, 0),)",19619,2,2
2,2,4,1,1,zero,1,16,256,4,0.0,4.0,2.0,0.0,1,0.0,1,True,0.0,0.0,,,0.0,2,"((0, 0),)",19620,2,2
2,2,4,1,2,zero,1,16,256,4,0.0,4.0,4.0,0.0,1,0.0,1,True,0.0,0.0,,,0.0,2,"((0, 0),)",19620,2,2
