k,q,w,ratio,n_rec,n_img,qk,one_over_e_ref,part_surv_full_count,part_surv_image_count,orbit_dim_image,orbit_dim_recurrent,R_active,R_passive_h1,R_passive_h2,ensemble,density,instance,seed,R_active_classes
2,4,1,0.5,1,5,16,0.31640625,0.5,0.375,0.5804820237218405,0.0,,,,cycle,0,20,10027,
2,4,1,0.5,5,5,16,0.31640625,0.5,0.3333333333333333,0.5804820237218405,0.5804820237218405,1.0,1.0,1.0,cycle,0,21,10028,5.0
2,4,1,0.5,1,5,16,0.31640625,0.5,0.3333333333333333,0.5804820237218405,0.0,,,,cycle,0,22,10029,
2,4,1,0.5,1,3,16,0.31640625,0.75,0.6666666666666666,0.3962406251802891,0.0,,,,cycle,0,23,10030,
2,4,1,0.5,1,4,16,0.31640625,0.625,0.41666666666666663,0.5,0.0,,,,cycle,0,24,10031,
2,4,1,0.5,2,4,16,0.31640625,0.5,0.3333333333333333,0.5,0.25,1.0,1.0,1.0,cycle,0,25,10032,2.0
2,4,1,0.5,2,3,16,0.31640625,0.625,0.41666666666666663,0.3962406251802891,0.25,1.0,1.0,1.0,cycle,0,26,10033,2.0
2,4,1,0.5,4,5,16,0.31640625,0.625,0.41666666666666663,0.5804820237218405,0.5,1.0,1.0,1.0,cycle,0,27,10034,4.0
2,4,1,0.5,1,4,16,0.31640625,0.625,0.41666666666666663,0.5,0.0,,,,cycle,0,28,10035,
2,4,1,0.5,6,7,16,0.31640625,0.375,0.29166666666666663,0.701838730514401,0.646240625180289,1.0,1.0,1.0,cycle,0,29,10036,6.0
2,4,1,0.5,1,5,16,0.31640625,0.5,0.3333333333333333,0.5804820237218405,0.0,,,,cycle,0,30,10037,
2,4,1,0.5,5,5,16,0.31640625,0.5,0.3333333333333333,0.5804820237218405,0.5804820237218405,1.0,1.0,1.0,cycle,0,31,10038,5.0
2,4,1,0.5,1,4,16,0.31640625,0.625,0.41666666666666663,0.5,0.0,,,,cycle,0,32,10039,
2,4,1,0.5,4,6,16,0.31640625,0.5,0.375,0.646240625180289,0.5,1.0,1.0,1.0,cycle,0,33,10040,4.0
2,4,1,0.5,2,4,16,0.31640625,0.5,0.3333333333333333,0.5,0.25,1.0,1.0,1.0,cycle,0,34,10041,2.0
2,4,1,0.5,2,3,16,0.31640625,0.625,0.41666666666666663,0.3962406251802891,0.25,1.0,1.0,1.0,cycle,0,35,10042,2.0
2,4,1,0.5,5,5,16,0.31640625,0.5,0.3333333333333333,0.5804820237218405,0.5804820237218405,1.0,1.0,1.0,cycle,0,36,10043,5.0
2,4,1,0.5,2,4,16,0.31640625,0.5,0.3333333333333333,0.5,0.25,1.0,1.0,1.0,cycle,0,37,10044,2.0
2,4,1,0.5,4,6,16,0.31640625,0.5,0.375,0.646240625180289,0.5,1.0,1.0,1.0,cycle,0,38,10045,4.0
2,4,1,0.5,4,4,16,0.31640625,0.75,0.5,0.5,0.5,1.0,1.0,1.0,cycle,0,39,10046,4.0
2,4,1,0.5,1,3,16,0.31640625,0.75,0.6666666666666666,0.3962406251802891,0.0,,,,cycle,0,40,10047,
2,4,1,0.5,4,5,16,0.31640625,0.625,0.41666666666666663,0.5804820237218405,0.5,1.0,1.0,1.0,cycle,0,41,10048,4.0
2,4,1,0.5,2,3,16,0.31640625,0.625,0.41666666666666663,0.3962406251802891,0.25,1.0,1.0,1.0,cycle,0,42,10049,2.0
2,4,1,0.5,1,4,16,0.31640625,0.625,0.41666666666666663,0.5,0.0,,,,cycle,0,43,10050,
2,4,1,0.5,1,4,16,0.31640625,0.625,0.41666666666666663,0.5,0.0,,,,cycle,0,44,10051,
