kB,kA,q,w,horizon,phase_mode,phase_protocol,phase_vertex,observer_init,n_phase_labels,phase_labels,phase_entropy_bits,phase_mi_bits_uniform,phase_capacity_bits,phase_zero_error_code_size,phase_zero_error_exact,phase_zero_error_bits,memory_bits,cut_bits,physical_bound_bits,phase_mi_over_entropy,phase_capacity_over_entropy,phase_capacity_per_boundary_symbol,bulk_capacity_bits,bulk_zero_error_bits,logRecB_bits,phase_capacity_over_bulk_capacity,phase_capacity_over_volume,n_rec_B,n_A_states,n_joint_states,n_schedules,nontrivial_sccs,interface,seed,instance,extra_B,extra_A
2,3,4,2,6,erased_value,first,0,zero,3,"(0, 1, 3)",1.584962500721156,0.4539341892244672,0.49904035015961545,1,True,0.0,6.0,24.0,1.584962500721156,0.2864005861450524,0.31485940514842004,0.12476008753990386,0.5109907266901204,0.0,2.321928094887362,0.9766133201517921,0.21492498034648405,5,64,1024,12,2,"((0, 0), (1, 1))",30693,10,2,3
2,3,4,2,1,cut,first,0,zero,2,"(0, 1)",1.0,0.0,0.0,1,True,0.0,6.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1,64,1024,12,2,"((0, 0), (1, 1))",30694,11,2,3
2,3,4,2,1,erased_value,first,0,zero,1,"(3,)",0.0,0.0,0.0,1,True,0.0,6.0,4.0,0.0,,,0.0,0.0,0.0,0.0,,,1,64,1024,12,2,"((0, 0), (1, 1))",30694,11,2,3
2,3,4,2,3,cut,first,0,zero,2,"(0, 1)",1.0,0.0,0.0,1,True,0.0,6.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1,64,1024,12,2,"((0, 0), (1, 1))",30694,11,2,3
2,3,4,2,3,erased_value,first,0,zero,1,"(3,)",0.0,0.0,0.0,1,True,0.0,6.0,12.0,0.0,,,0.0,0.0,0.0,0.0,,,1,64,1024,12,2,"((0, 0), (1, 1))",30694,11,2,3
2,3,4,2,6,cut,first,0,zero,2,"(0, 1)",1.0,0.0,0.0,1,True,0.0,6.0,24.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1,64,1024,12,2,"((0, 0), (1, 1))",30694,11,2,3
2,3,4,2,6,erased_value,first,0,zero,1,"(3,)",0.0,0.0,0.0,1,True,0.0,6.0,24.0,0.0,,,0.0,0.0,0.0,0.0,,,1,64,1024,12,2,"((0, 0), (1, 1))",30694,11,2,3
2,3,4,2,1,cut,first,0,zero,2,"(0, 1)",1.0,0.0,0.0,1,True,0.0,6.0,4.0,1.0,0.0,0.0,0.0,0.9999999999999999,1.0,1.0,0.0,0.0,2,64,1024,12,2,"((0, 0), (1, 1))",30695,12,2,3
2,3,4,2,1,erased_value,first,0,zero,2,"(2, 3)",1.0,1.0,0.9999999999999999,2,True,1.0,6.0,4.0,1.0,1.0,0.9999999999999999,0.24999999999999997,0.9999999999999999,1.0,1.0,1.0,0.9999999999999999,2,64,1024,12,2,"((0, 0), (1, 1))",30695,12,2,3
2,3,4,2,3,cut,first,0,zero,2,"(0, 1)",1.0,0.0,0.0,1,True,0.0,6.0,12.0,1.0,0.0,0.0,0.0,0.5885102204034344,0.0,1.0,0.0,0.0,2,64,1024,12,2,"((0, 0), (1, 1))",30695,12,2,3
2,3,4,2,3,erased_value,first,0,zero,2,"(2, 3)",1.0,0.5822728847643761,0.5885102204034345,1,True,0.0,6.0,12.0,1.0,0.5822728847643761,0.5885102204034345,0.14712755510085862,0.5885102204034344,0.0,1.0,1.0000000000000002,0.5885102204034345,2,64,1024,12,2,"((0, 0), (1, 1))",30695,12,2,3
2,3,4,2,6,cut,first,0,zero,2,"(0, 1)",1.0,0.0,0.0,1,True,0.0,6.0,24.0,1.0,0.0,0.0,0.0,0.6568131569546022,0.0,1.0,0.0,0.0,2,64,1024,12,2,"((0, 0), (1, 1))",30695,12,2,3
2,3,4,2,6,erased_value,first,0,zero,2,"(2, 3)",1.0,0.6519065889530747,0.6568131569546023,1,True,0.0,6.0,24.0,1.0,0.6519065889530747,0.6568131569546023,0.16420328923865057,0.6568131569546022,0.0,1.0,1.0000000000000002,0.6568131569546023,2,64,1024,12,2,"((0, 0), (1, 1))",30695,12,2,3
2,3,4,2,1,cut,first,0,zero,2,"(0, 1)",1.0,0.0,0.0,1,True,0.0,6.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1,64,1024,12,2,"((0, 0), (1, 1))",30696,13,2,3
2,3,4,2,1,erased_value,first,0,zero,1,"(2,)",0.0,0.0,0.0,1,True,0.0,6.0,4.0,0.0,,,0.0,0.0,0.0,0.0,,,1,64,1024,12,2,"((0, 0), (1, 1))",30696,13,2,3
2,3,4,2,3,cut,first,0,zero,2,"(0, 1)",1.0,0.0,0.0,1,True,0.0,6.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1,64,1024,12,2,"((0, 0), (1, 1))",30696,13,2,3
2,3,4,2,3,erased_value,first,0,zero,1,"(2,)",0.0,0.0,0.0,1,True,0.0,6.0,12.0,0.0,,,0.0,0.0,0.0,0.0,,,1,64,1024,12,2,"((0, 0), (1, 1))",30696,13,2,3
2,3,4,2,6,cut,first,0,zero,2,"(0, 1)",1.0,0.0,0.0,1,True,0.0,6.0,24.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1,64,1024,12,2,"((0, 0), (1, 1))",30696,13,2,3
2,3,4,2,6,erased_value,first,0,zero,1,"(2,)",0.0,0.0,0.0,1,True,0.0,6.0,24.0,0.0,,,0.0,0.0,0.0,0.0,,,1,64,1024,12,2,"((0, 0), (1, 1))",30696,13,2,3
2,3,4,2,1,cut,first,0,zero,2,"(0, 1)",1.0,0.5518796874098554,0.5524808388963897,1,True,0.0,6.0,4.0,1.0,0.5518796874098554,0.5524808388963897,0.13812020972409741,0.802008176722026,0.0,2.0,0.6888718281582784,0.27624041944819483,4,64,1024,12,2,"((0, 0), (1, 1))",30697,14,2,3
2,3,4,2,1,erased_value,first,0,zero,2,"(0, 3)",1.0,0.0,0.0,1,True,0.0,6.0,4.0,1.0,0.0,0.0,0.0,0.802008176722026,0.0,2.0,0.0,0.0,4,64,1024,12,2,"((0, 0), (1, 1))",30697,14,2,3
2,3,4,2,3,cut,first,0,zero,2,"(0, 1)",1.0,0.04342102658733265,0.04342299397449747,1,True,0.0,6.0,12.0,1.0,0.04342102658733265,0.04342299397449747,0.010855748493624367,0.21002476096424144,0.0,2.0,0.20675178381415044,0.021711496987248734,4,64,1024,12,2,"((0, 0), (1, 1))",30697,14,2,3
2,3,4,2,3,erased_value,first,0,zero,2,"(0, 3)",1.0,0.0,0.0,1,True,0.0,6.0,12.0,1.0,0.0,0.0,0.0,0.21002476096424144,0.0,2.0,0.0,0.0,4,64,1024,12,2,"((0, 0), (1, 1))",30697,14,2,3
2,3,4,2,6,cut,first,0,zero,2,"(0, 1)",1.0,0.0004516507692597791,0.00045165272275297355,1,True,0.0,6.0,24.0,1.0,0.0004516507692597791,0.00045165272275297355,0.00011291318068824339,0.020696869087776234,0.0,2.0,0.021822272771668826,0.00022582636137648678,4,64,1024,12,2,"((0, 0), (1, 1))",30697,14,2,3
2,3,4,2,6,erased_value,first,0,zero,2,"(0, 3)",1.0,0.0,0.0,1,True,0.0,6.0,24.0,1.0,0.0,0.0,0.0,0.020696869087776234,0.0,2.0,0.0,0.0,4,64,1024,12,2,"((0, 0), (1, 1))",30697,14,2,3
2,3,4,2,1,cut,first,0,zero,2,"(0, 1)",1.0,0.0,0.0,1,True,0.0,6.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1,64,1024,12,2,"((0, 0), (1, 1))",30698,15,2,3
2,3,4,2,1,erased_value,first,0,zero,1,"(1,)",0.0,0.0,0.0,1,True,0.0,6.0,4.0,0.0,,,0.0,0.0,0.0,0.0,,,1,64,1024,12,2,"((0, 0), (1, 1))",30698,15,2,3
2,3,4,2,3,cut,first,0,zero,2,"(0, 1)",1.0,0.0,0.0,1,True,0.0,6.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1,64,1024,12,2,"((0, 0), (1, 1))",30698,15,2,3
2,3,4,2,3,erased_value,first,0,zero,1,"(1,)",0.0,0.0,0.0,1,True,0.0,6.0,12.0,0.0,,,0.0,0.0,0.0,0.0,,,1,64,1024,12,2,"((0, 0), (1, 1))",30698,15,2,3
2,3,4,2,6,cut,first,0,zero,2,"(0, 1)",1.0,0.0,0.0,1,True,0.0,6.0,24.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1,64,1024,12,2,"((0, 0), (1, 1))",30698,15,2,3
2,3,4,2,6,erased_value,first,0,zero,1,"(1,)",0.0,0.0,0.0,1,True,0.0,6.0,24.0,0.0,,,0.0,0.0,0.0,0.0,,,1,64,1024,12,2,"((0, 0), (1, 1))",30698,15,2,3
2,3,4,2,1,cut,first,0,zero,2,"(0, 1)",1.0,0.13521302074318883,0.1359528164509141,1,True,0.0,6.0,4.0,1.0,0.13521302074318883,0.1359528164509141,0.03398820411272852,0.8853295957722331,0.0,2.0,0.15356181144303502,0.06797640822545704,4,64,1024,12,2,"((0, 0), (1, 1))",30699,16,2,3
2,3,4,2,1,erased_value,first,0,zero,2,"(0, 1)",1.0,0.0,0.0,1,True,0.0,6.0,4.0,1.0,0.0,0.0,0.0,0.8853295957722331,0.0,2.0,0.0,0.0,4,64,1024,12,2,"((0, 0), (1, 1))",30699,16,2,3
2,3,4,2,3,cut,first,0,zero,2,"(0, 1)",1.0,0.01632828954260078,0.016340430684666896,1,True,0.0,6.0,12.0,1.0,0.01632828954260078,0.016340430684666896,0.004085107671166724,0.16284176142620532,0.0,2.0,0.10034545525394514,0.008170215342333448,4,64,1024,12,2,"((0, 0), (1, 1))",30699,16,2,3
2,3,4,2,3,erased_value,first,0,zero,2,"(0, 1)",1.0,0.0,0.0,1,True,0.0,6.0,12.0,1.0,0.0,0.0,0.0,0.16284176142620532,0.0,2.0,0.0,0.0,4,64,1024,12,2,"((0, 0), (1, 1))",30699,16,2,3
2,3,4,2,6,cut,first,0,zero,2,"(0, 1)",1.0,0.00023399046820951218,0.00023399134462393376,1,True,0.0,6.0,24.0,1.0,0.00023399046820951218,0.00023399134462393376,5.849783615598344e-05,0.015360748393603378,0.0,2.0,0.015233069289864416,0.00011699567231196688,4,64,1024,12,2,"((0, 0), (1, 1))",30699,16,2,3
