usable_diamond,valid_transport_cycle,valid_holonomy,nontrivial_holonomy,min_edge_classes,min_edge_residual_bits,min_edge_transport,local_map_accuracy,holonomy_type,generated_group,group_order,source_observer,sink_observer,path1,path2,graph_id,cycle_id,length,observers,min_observer_edge_mi_bits,mean_observer_edge_mi_bits
1,0,0,0,1,0.0,0.0,0.0,not_usable,none,0,5.0,1.0,5 3 2 1,5 1,49,6,4,1 2 3 5,0.20634652437034928,0.5270923902285738
1,0,0,0,1,0.0,0.0,0.0,not_usable,none,0,7.0,5.0,7 6 5,7 5,51,2,3,5 6 7,0.24422756609548912,0.5082888761083518
1,0,0,0,1,0.0,0.0,0.0,not_usable,none,0,8.0,5.0,8 7 5,8 5,51,3,3,5 7 8,0.1662003689446685,0.40723535316643017
1,0,0,0,1,0.0,0.0,0.0,not_usable,none,0,8.0,5.0,8 7 6 5,8 5,51,7,4,5 6 7 8,0.1662003689446685,0.5645293889083419
1,0,0,0,1,0.0,0.0,0.0,not_usable,none,0,3.0,0.0,3 2 0,3 0,55,0,3,0 2 3,0.43627812445913294,0.8114679918031732
1,0,0,0,1,0.0,0.0,0.0,not_usable,none,0,8.0,0.0,8 1 0,8 0,60,0,3,0 1 8,0.11487210519539337,0.3439566154023644
1,0,0,0,1,0.0,0.0,0.0,not_usable,none,0,8.0,2.0,8 7 2,8 2,60,1,3,2 7 8,0.10895246740134601,0.29279540954175215
1,0,0,0,1,0.0,0.0,0.0,not_usable,none,0,8.0,5.0,8 6 5,8 5,60,4,3,5 6 8,0.1020319027509986,0.5907674765176395
1,0,0,0,1,0.0,0.0,0.0,not_usable,none,0,8.0,5.0,8 7 5,8 5,60,5,3,5 7 8,0.1020319027509986,0.12634689559894077
1,0,0,0,1,0.0,0.0,0.0,not_usable,none,0,9.0,7.0,9 8 7,9 7,60,6,3,7 8 9,0.10895246740134601,0.42578504280611984
1,0,0,0,1,0.0,0.0,0.0,not_usable,none,0,8.0,1.0,8 5 4 1,8 1,60,11,4,1 4 5 8,0.1020319027509986,0.4758631024106609
1,0,0,0,1,0.0,0.0,0.0,not_usable,none,0,10.0,1.0,10 4 1,10 8 1,60,12,4,1 4 10 8,0.3024212838293643,0.6248883038322744
0,0,0,0,0,0.0,0.0,0.0,not_usable,none,0,,,,,60,13,4,2 7 5 8,0.1020319027509986,0.2598804951548467
1,0,0,0,1,0.0,0.0,0.0,not_usable,none,0,9.0,2.0,9 7 2,9 8 2,60,14,4,2 7 9 8,0.1304833798807139,0.484459105560231
1,0,0,0,1,0.0,0.0,0.0,not_usable,none,0,7.0,3.0,7 5 4 3,7 3,60,16,4,3 4 5 7,0.10206387854796128,0.2918366576507081
1,0,0,0,1,0.0,0.0,0.0,not_usable,none,0,10.0,4.0,10 8 5 4,10 4,60,20,4,4 5 8 10,0.1020319027509986,0.5872398879709626
1,0,0,0,1,0.0,0.0,0.0,not_usable,none,0,8.0,5.0,8 6 5,8 7 5,60,21,4,5 6 8 7,0.10895246740134601,0.4868198277119359
1,0,0,0,1,0.0,0.0,0.0,not_usable,none,0,9.0,5.0,9 7 5,9 8 5,60,22,4,5 7 9 8,0.1020319027509986,0.35962272010312246
1,0,0,0,1,0.0,0.0,0.0,not_usable,none,0,8.0,0.0,8 5 4 1 0,8 0,60,25,5,0 1 4 5 8,0.1020319027509986,0.2972237500841149
1,0,0,0,1,0.0,0.0,0.0,not_usable,none,0,10.0,0.0,10 4 1 0,10 8 0,60,27,5,0 1 4 10 8,0.11487210519539337,0.4164439112214057
0,0,0,0,0,0.0,0.0,0.0,not_usable,none,0,,,,,60,38,5,1 4 3 7 8,0.10206387854796128,0.2721736695111893
1,0,0,0,1,0.0,0.0,0.0,not_usable,none,0,8.0,1.0,8 6 5 4 1,8 1,60,40,5,1 4 5 6 8,0.17027052680191979,0.6943382067387129
1,0,0,0,1,0.0,0.0,0.0,not_usable,none,0,8.0,1.0,8 7 5 4 1,8 1,60,41,5,1 4 5 7 8,0.10895246740134601,0.4156858581874937
0,0,0,0,0,0.0,0.0,0.0,not_usable,none,0,,,,,60,44,5,2 7 5 6 8,0.1304833798807139,0.5215521209340616
1,0,0,0,1,0.0,0.0,0.0,not_usable,none,0,8.0,3.0,8 5 4 3,8 7 3,60,46,5,3 4 5 8 7,0.1020319027509986,0.24205493682213985
1,0,0,0,1,0.0,0.0,0.0,not_usable,none,0,10.0,3.0,10 4 3,10 8 7 3,60,48,5,3 4 10 8 7,0.10206387854796128,0.3612750979594307
1,0,0,0,1,0.0,0.0,0.0,not_usable,none,0,10.0,4.0,10 8 6 5 4,10 4,60,52,5,4 5 6 8 10,0.17027052680191979,0.7834396351869544
