q,w,nx,ny,valid_plaquette_fraction,z2_plaquette_fraction,nontrivial_plaquette_fraction,delta_type_counts,group_name_counts,mean_residual_qcoords,min_residual_qcoords,mean_residual_norm,min_residual_norm,mean_edge_transport,min_edge_transport,mean_edge_accuracy,min_edge_accuracy,blind_fitness,blind_fitness_stage,selected_lattice,full_valid_lattice,nontrivial_flux,search_mode,run,generation,candidate,seed,proposal_mode,wilson_area_1_mean,wilson_area_1_abs,wilson_area_1_n,target_mode,wilson_area_2_mean,wilson_area_2_abs,wilson_area_2_n,wilson_area_4_mean,wilson_area_4_abs,wilson_area_4_n,wilson_area_3_mean,wilson_area_3_abs,wilson_area_3_n,wilson_area_6_mean,wilson_area_6_abs,wilson_area_6_n,wilson_area_9_mean,wilson_area_9_abs,wilson_area_9_n
4,1,3,3,0.0,0.0,0.0,{},{},0.16666666666666666,0.0,0.16666666666666666,0.0,0.0,0.0,0.8611111111111112,0.5,0.1277777777777778,transport,False,False,False,null,-1,0,23,45829,random,,,,,,,,,,,,,,,,,,,
4,1,3,3,0.0,0.0,0.0,{},{},0.2547201389289531,0.0,0.2547201389289531,0.0,0.0,0.0,0.8611111111111112,0.5,0.1497911458433494,transport,False,False,False,null,-1,0,24,45830,random,,,,,,,,,,,,,,,,,,,
4,1,3,3,0.0,0.0,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.1,transport,False,False,False,null,-1,0,25,45831,random,,,,,,,,,,,,,,,,,,,
4,1,3,3,0.0,0.0,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.9444444444444444,0.75,0.09444444444444444,transport,False,False,False,null,-1,0,26,45832,random,,,,,,,,,,,,,,,,,,,
4,1,3,3,0.0,0.0,0.0,{},{},0.16666666666666666,0.0,0.16666666666666666,0.0,0.0,0.0,0.8888888888888888,0.75,0.13055555555555556,transport,False,False,False,null,-1,0,27,45833,random,,,,,,,,,,,,,,,,,,,
4,1,3,3,0.0,0.0,0.0,{},{},0.1111111111111111,0.0,0.1111111111111111,0.0,0.0,0.0,0.8611111111111112,0.5,0.1138888888888889,transport,False,False,False,null,-1,0,28,45834,random,,,,,,,,,,,,,,,,,,,
4,1,3,3,0.0,0.0,0.0,{},{},0.05555555555555555,0.0,0.05555555555555555,0.0,0.0,0.0,0.9722222222222222,0.75,0.1111111111111111,transport,False,False,False,null,-1,0,29,45835,random,,,,,,,,,,,,,,,,,,,
4,1,3,3,0.0,0.0,0.0,{},{},0.05555555555555555,0.0,0.05555555555555555,0.0,0.0,0.0,0.8888888888888888,0.5,0.10277777777777777,transport,False,False,False,null,-1,0,30,45836,random,,,,,,,,,,,,,,,,,,,
4,1,3,3,0.0,0.0,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.1,transport,False,False,False,null,-1,0,31,45837,random,,,,,,,,,,,,,,,,,,,
4,1,3,3,0.1111111111111111,0.1111111111111111,0.0,"{""identity"": 1}","{""trivial"": 1}",0.1111111111111111,0.0,0.1111111111111111,0.0,0.1111111111111111,0.0,0.9444444444444444,0.75,0.34444444444444444,transport,False,False,False,null,-1,0,32,45838,random,1.0,1.0,1.0,,,,,,,,,,,,,,,,
4,1,3,3,0.0,0.0,0.0,{},{},0.1111111111111111,0.0,0.1111111111111111,0.0,0.0,0.0,1.0,1.0,0.12777777777777777,transport,False,False,False,null,-1,0,33,45839,random,,,,,,,,,,,,,,,,,,,
4,1,3,3,0.0,0.0,0.0,{},{},0.05555555555555555,0.0,0.05555555555555555,0.0,0.0,0.0,0.8333333333333334,0.5,0.09722222222222224,transport,False,False,False,null,-1,0,34,45840,random,,,,,,,,,,,,,,,,,,,
4,1,3,3,0.0,0.0,0.0,{},{},0.05555555555555555,0.0,0.05555555555555555,0.0,0.0,0.0,1.0,1.0,0.1138888888888889,transport,False,False,False,null,-1,0,35,45841,random,,,,,,,,,,,,,,,,,,,
4,1,3,3,0.0,0.0,0.0,{},{},0.2222222222222222,0.0,0.2222222222222222,0.0,0.0,0.0,0.8888888888888888,0.75,0.14444444444444443,transport,False,False,False,null,-1,0,36,45842,random,,,,,,,,,,,,,,,,,,,
4,1,3,3,0.0,0.0,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.8888888888888888,0.75,0.08888888888888889,transport,False,False,False,null,-1,0,37,45843,random,,,,,,,,,,,,,,,,,,,
4,1,3,3,0.0,0.0,0.0,{},{},0.16666666666666666,0.0,0.16666666666666666,0.0,0.0,0.0,0.8333333333333334,0.5,0.125,transport,False,False,False,null,-1,0,38,45844,random,,,,,,,,,,,,,,,,,,,
4,1,3,3,0.1111111111111111,0.1111111111111111,1.0,"{""cycle_2"": 1}","{""C2"": 1}",0.16666666666666666,0.0,0.16666666666666666,0.0,0.1111111111111111,0.0,0.9444444444444444,0.75,0.3583333333333333,transport,False,False,True,null,-1,0,39,45845,random,-1.0,1.0,1.0,,,,,,,,,,,,,,,,
4,1,3,3,0.0,0.0,0.0,{},{},0.05555555555555555,0.0,0.05555555555555555,0.0,0.0,0.0,0.9444444444444444,0.75,0.10833333333333334,transport,False,False,False,null,-1,0,40,45846,random,,,,,,,,,,,,,,,,,,,
4,1,3,3,0.0,0.0,0.0,{},{},0.1111111111111111,0.0,0.1111111111111111,0.0,0.0,0.0,0.9166666666666666,0.75,0.11944444444444445,transport,False,False,False,null,-1,0,41,45847,random,,,,,,,,,,,,,,,,,,,
4,1,3,3,0.0,0.0,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.9444444444444444,0.75,0.09444444444444444,transport,False,False,False,null,-1,0,42,45848,random,,,,,,,,,,,,,,,,,,,
4,1,3,3,0.0,0.0,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.9444444444444444,0.5,0.09444444444444444,transport,False,False,False,null,-1,0,43,45849,random,,,,,,,,,,,,,,,,,,,
4,1,3,3,0.0,0.0,0.0,{},{},0.05555555555555555,0.0,0.05555555555555555,0.0,0.0,0.0,0.9444444444444444,0.75,0.10833333333333334,transport,False,False,False,null,-1,0,44,45850,random,,,,,,,,,,,,,,,,,,,
4,1,3,3,0.0,0.0,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.9444444444444444,0.75,0.09444444444444444,transport,False,False,False,null,-1,0,45,45851,random,,,,,,,,,,,,,,,,,,,
4,1,3,3,0.0,0.0,0.0,{},{},0.2222222222222222,0.0,0.2222222222222222,0.0,0.0,0.0,0.9722222222222222,0.75,0.1527777777777778,transport,False,False,False,null,-1,0,46,45852,random,,,,,,,,,,,,,,,,,,,
4,1,3,3,0.0,0.0,0.0,{},{},0.05555555555555555,0.0,0.05555555555555555,0.0,0.0,0.0,0.8333333333333334,0.5,0.09722222222222224,transport,False,False,False,null,-1,0,47,45853,random,,,,,,,,,,,,,,,,,,,
4,1,3,3,0.0,0.0,0.0,{},{},0.1111111111111111,0.0,0.1111111111111111,0.0,0.0,0.0,1.0,1.0,0.12777777777777777,transport,False,False,False,null,-1,0,48,45854,random,,,,,,,,,,,,,,,,,,,
4,1,3,3,0.0,0.0,0.0,{},{},0.05555555555555555,0.0,0.05555555555555555,0.0,0.0,0.0,0.8055555555555556,0.5,0.09444444444444444,transport,False,False,False,null,-1,0,49,45855,random,,,,,,,,,,,,,,,,,,,
4,1,3,3,0.0,0.0,0.0,{},{},0.1111111111111111,0.0,0.1111111111111111,0.0,0.0,0.0,0.9722222222222222,0.75,0.125,transport,False,False,False,null,-1,0,50,45856,random,,,,,,,,,,,,,,,,,,,
4,1,3,3,0.0,0.0,0.0,{},{},0.05555555555555555,0.0,0.05555555555555555,0.0,0.0,0.0,0.9722222222222222,0.75,0.1111111111111111,transport,False,False,False,null,-1,0,51,45857,random,,,,,,,,,,,,,,,,,,,
4,1,3,3,0.0,0.0,0.0,{},{},0.1111111111111111,0.0,0.1111111111111111,0.0,0.0,0.0,0.75,0.5,0.10277777777777779,transport,False,False,False,null,-1,0,52,45858,random,,,,,,,,,,,,,,,,,,,
4,1,3,3,0.0,0.0,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.8888888888888888,0.5,0.08888888888888889,transport,False,False,False,null,-1,0,53,45859,random,,,,,,,,,,,,,,,,,,,
4,1,3,3,0.0,0.0,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.1,transport,False,False,False,null,-1,0,54,45860,random,,,,,,,,,,,,,,,,,,,
4,1,3,3,0.0,0.0,0.0,{},{},0.2222222222222222,0.0,0.2222222222222222,0.0,0.0,0.0,0.9166666666666666,0.75,0.14722222222222223,transport,False,False,False,null,-1,0,55,45861,random,,,,,,,,,,,,,,,,,,,
4,1,3,3,0.0,0.0,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.8888888888888888,0.75,0.08888888888888889,transport,False,False,False,null,-1,0,56,45862,random,,,,,,,,,,,,,,,,,,,
4,1,3,3,0.1111111111111111,0.1111111111111111,0.0,"{""identity"": 1}","{""C2"": 1}",0.16666666666666666,0.0,0.16666666666666666,0.0,0.1111111111111111,0.0,0.8611111111111112,0.5,0.35,transport,False,False,False,null,-1,0,57,45863,random,1.0,1.0,1.0,,,,,,,,,,,,,,,,
4,1,3,3,0.0,0.0,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.9722222222222222,0.75,0.09722222222222222,transport,False,False,False,null,-1,0,58,45864,random,,,,,,,,,,,,,,,,,,,
4,1,3,3,0.0,0.0,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.9444444444444444,0.75,0.09444444444444444,transport,False,False,False,null,-1,0,59,45865,random,,,,,,,,,,,,,,,,,,,
4,1,3,3,0.0,0.0,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.8888888888888888,0.5,0.08888888888888889,transport,False,False,False,null,-1,0,60,45866,random,,,,,,,,,,,,,,,,,,,
4,1,3,3,0.0,0.0,0.0,{},{},0.16666666666666666,0.0,0.16666666666666666,0.0,0.0,0.0,0.8888888888888888,0.75,0.13055555555555556,transport,False,False,False,null,-1,0,61,45867,random,,,,,,,,,,,,,,,,,,,
4,1,3,3,0.0,0.0,0.0,{},{},0.1111111111111111,0.0,0.1111111111111111,0.0,0.0,0.0,0.8888888888888888,0.5,0.11666666666666667,transport,False,False,False,null,-1,0,62,45868,random,,,,,,,,,,,,,,,,,,,
4,1,3,3,0.0,0.0,0.0,{},{},0.1111111111111111,0.0,0.1111111111111111,0.0,0.0,0.0,0.8888888888888888,0.5,0.11666666666666667,transport,False,False,False,null,-1,0,63,45869,random,,,,,,,,,,,,,,,,,,,
4,1,3,3,0.0,0.0,0.0,{},{},0.1111111111111111,0.0,0.1111111111111111,0.0,0.0,0.0,0.8333333333333334,0.75,0.11111111111111112,transport,False,False,False,null,-1,0,64,45870,random,,,,,,,,,,,,,,,,,,,
4,1,3,3,0.0,0.0,0.0,{},{},0.1111111111111111,0.0,0.1111111111111111,0.0,0.0,0.0,0.9444444444444444,0.75,0.12222222222222222,transport,False,False,False,null,-1,0,65,45871,random,,,,,,,,,,,,,,,,,,,
4,1,3,3,0.0,0.0,0.0,{},{},0.16666666666666666,0.0,0.16666666666666666,0.0,0.0,0.0,0.9166666666666666,0.5,0.13333333333333333,transport,False,False,False,null,-1,0,66,45872,random,,,,,,,,,,,,,,,,,,,
4,1,3,3,0.0,0.0,0.0,{},{},0.16666666666666666,0.0,0.16666666666666666,0.0,0.0,0.0,0.9166666666666666,0.5,0.13333333333333333,transport,False,False,False,null,-1,0,67,45873,random,,,,,,,,,,,,,,,,,,,
4,1,3,3,0.0,0.0,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.8888888888888888,0.75,0.08888888888888889,transport,False,False,False,null,-1,0,68,45874,random,,,,,,,,,,,,,,,,,,,
4,1,3,3,0.0,0.0,0.0,{},{},0.05555555555555555,0.0,0.05555555555555555,0.0,0.0,0.0,0.9444444444444444,0.75,0.10833333333333334,transport,False,False,False,null,-1,0,69,45875,random,,,,,,,,,,,,,,,,,,,
4,1,3,3,0.0,0.0,0.0,{},{},0.05555555555555555,0.0,0.05555555555555555,0.0,0.0,0.0,0.9166666666666666,0.75,0.10555555555555557,transport,False,False,False,null,-1,0,70,45876,random,,,,,,,,,,,,,,,,,,,
4,1,3,3,0.0,0.0,0.0,{},{},0.2222222222222222,0.0,0.2222222222222222,0.0,0.0,0.0,0.8055555555555556,0.5,0.13611111111111113,transport,False,False,False,null,-1,0,71,45877,random,,,,,,,,,,,,,,,,,,,
4,1,3,3,0.0,0.0,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.1,transport,False,False,False,null,-1,0,72,45878,random,,,,,,,,,,,,,,,,,,,
4,1,3,3,0.0,0.0,0.0,{},{},0.05555555555555555,0.0,0.05555555555555555,0.0,0.0,0.0,0.9722222222222222,0.75,0.1111111111111111,transport,False,False,False,null,-1,0,73,45879,random,,,,,,,,,,,,,,,,,,,
4,1,3,3,0.0,0.0,0.0,{},{},0.05555555555555555,0.0,0.05555555555555555,0.0,0.0,0.0,0.9722222222222222,0.75,0.1111111111111111,transport,False,False,False,null,-1,0,74,45880,random,,,,,,,,,,,,,,,,,,,
4,1,3,3,0.0,0.0,0.0,{},{},0.1111111111111111,0.0,0.1111111111111111,0.0,0.0,0.0,0.8333333333333334,0.5,0.11111111111111112,transport,False,False,False,null,-1,0,75,45881,random,,,,,,,,,,,,,,,,,,,
4,1,3,3,0.0,0.0,0.0,{},{},0.16666666666666666,0.0,0.16666666666666666,0.0,0.0,0.0,0.9444444444444444,0.5,0.1361111111111111,transport,False,False,False,null,-1,0,76,45882,random,,,,,,,,,,,,,,,,,,,
4,1,3,3,0.0,0.0,0.0,{},{},0.1111111111111111,0.0,0.1111111111111111,0.0,0.0,0.0,1.0,1.0,0.12777777777777777,transport,False,False,False,null,-1,0,77,45883,random,,,,,,,,,,,,,,,,,,,
4,1,3,3,0.0,0.0,0.0,{},{},0.1111111111111111,0.0,0.1111111111111111,0.0,0.0,0.0,0.9166666666666666,0.75,0.11944444444444445,transport,False,False,False,null,-1,0,78,45884,random,,,,,,,,,,,,,,,,,,,
4,1,3,3,0.0,0.0,0.0,{},{},0.16666666666666666,0.0,0.16666666666666666,0.0,0.0,0.0,0.9166666666666666,0.5,0.13333333333333333,transport,False,False,False,null,-1,0,79,45885,random,,,,,,,,,,,,,,,,,,,
4,1,3,3,0.0,0.0,0.0,{},{},0.0,0.0,0.0,0.0,0.0,0.0,0.9166666666666666,0.75,0.09166666666666667,transport,False,False,False,null,-1,0,80,45886,random,,,,,,,,,,,,,,,,,,,
