q,rows,cols,n_links,n_plaquettes,rule_ensemble,mutation_rate,closed_scc,n_scc,link_schedule_consistency,flux_schedule_consistency,quotient_determinism_accuracy,quotient_determinism_exact,link_bit_entropy_bits,link_bit_entropy_norm,quotient_transition_mi_bits,quotient_transition_mi_norm,plaquette_flux_entropy_bits,initial_flux_entropy_bits,recurrent_flux_entropy_bits,recurrent_flux_fixed_fraction,mean_nontrivial_flux_fraction,partition_index,partition,quotient_score,closed_c2_quotient,recurrent_flux_nontrivial,closed_medium_candidate,seed,instance,mode
4,2,2,8,4,c2xor,0.0,True,1,1.0,1.0,1.0,True,7.950991836330579,0.9938739795413224,0.0,0.0,-0.0,2.9984474253019955,-0.0,1.0,0.5,5,0011,0.9987747959082646,True,False,False,72014,20,sweep
4,2,2,8,4,c2xor,0.0,True,1,1.0,1.0,1.0,True,7.951725208212411,0.9939656510265513,0.0,0.0,-0.0,2.999814903406283,-0.0,1.0,0.502685546875,5,0011,0.9987931302053104,True,False,False,72015,21,sweep
4,2,2,8,4,c2xor,0.0,True,1,1.0,1.0,1.0,True,7.957547976748163,0.9946934970935204,0.0,0.0,-0.0,2.9989507170112306,-0.0,1.0,0.498291015625,5,0011,0.9989386994187042,True,False,False,72016,22,sweep
4,2,2,8,4,c2xor,0.0,True,1,1.0,1.0,1.0,True,7.9549387150218696,0.9943673393777337,0.0,0.0,-0.0,2.9995322798813886,-0.0,1.0,0.4990234375,5,0011,0.9988734678755468,True,False,False,72017,23,sweep
4,2,2,8,4,c2xor,0.0,True,1,1.0,1.0,1.0,True,7.951941360431498,0.9939926700539372,0.0,0.0,-0.0,2.9985393093582418,-0.0,1.0,0.5020751953125,5,0011,0.9987985340107874,True,False,False,72018,24,sweep
4,2,2,8,4,c2xor,0.0,True,1,1.0,1.0,1.0,True,7.948058739264898,0.9935073424081122,0.0,0.0,-0.0,2.9970617176677212,-0.0,1.0,0.50537109375,5,0011,0.9987014684816224,True,False,False,72019,25,sweep
4,2,2,8,4,c2xor,0.0,True,1,1.0,1.0,1.0,True,7.95211421254716,0.994014276568395,0.0,0.0,-0.0,2.997895362441775,-0.0,1.0,0.491455078125,5,0011,0.9988028553136791,True,False,False,72020,26,sweep
4,2,2,8,4,c2xor,0.0,True,1,1.0,1.0,1.0,True,7.952929980010082,0.9941162475012603,0.0,0.0,-0.0,2.998630777550455,-0.0,1.0,0.49853515625,5,0011,0.9988232495002521,True,False,False,72021,27,sweep
4,2,2,8,4,c2xor,0.0,True,1,1.0,1.0,1.0,True,7.951229766132336,0.993903720766542,0.0,0.0,-0.0,2.9994512480666624,-0.0,1.0,0.5008544921875,5,0011,0.9987807441533084,True,False,False,72022,28,sweep
4,2,2,8,4,c2xor,0.0,True,1,1.0,1.0,1.0,True,7.9516916559427155,0.9939614569928394,0.0,0.0,-0.0,2.998682953652934,-0.0,1.0,0.5047607421875,5,0011,0.998792291398568,True,False,False,72023,29,sweep
4,2,2,8,4,c2xor,0.0,True,1,1.0,1.0,1.0,True,7.950398307108632,0.993799788388579,0.0,0.0,-0.0,2.998872215541141,-0.0,1.0,0.5006103515625,5,0011,0.9987599576777159,True,False,False,72024,30,sweep
4,2,2,8,4,c2xor,0.0,True,1,1.0,1.0,1.0,True,7.959491842970844,0.9949364803713555,0.0,0.0,-0.0,2.9990075599074606,-0.0,1.0,0.4951171875,5,0011,0.9989872960742712,True,False,False,72025,31,sweep
4,2,2,8,4,c2xor,0.0,True,1,1.0,1.0,1.0,True,7.960647711171106,0.9950809638963882,0.0,0.0,-0.0,2.9992464607347706,-0.0,1.0,0.5028076171875,5,0011,0.9990161927792777,True,False,False,72026,32,sweep
4,2,2,8,4,c2xor,0.0,True,1,1.0,1.0,1.0,True,7.952195678446038,0.9940244598057547,0.0,0.0,-0.0,2.997927088896505,-0.0,1.0,0.4967041015625,5,0011,0.998804891961151,True,False,False,72027,33,sweep
4,2,2,8,4,c2xor,0.0,True,1,1.0,1.0,1.0,True,7.962449736815389,0.9953062171019236,0.0,0.0,-0.0,2.998648533147505,-0.0,1.0,0.496826171875,5,0011,0.9990612434203847,True,False,False,72028,34,sweep
4,2,2,8,4,c2xor,0.0,True,1,1.0,1.0,1.0,True,7.956242832611654,0.9945303540764567,0.0,0.0,-0.0,2.999339257130467,-0.0,1.0,0.4984130859375,5,0011,0.9989060708152914,True,False,False,72029,35,sweep
4,2,2,8,4,c2xor,0.0,True,1,1.0,1.0,1.0,True,7.949925437202857,0.9937406796503572,0.0,0.0,-0.0,2.9984912421351066,-0.0,1.0,0.5023193359375,5,0011,0.9987481359300715,True,False,False,72030,36,sweep
