eq_mode,eq_shared_classes,eq_shared_classes_mean,eq_shared_classes_min,eq_n_observed_pairs,eq_edge_density_mean,eq_residual_qcoords,eq_residual_bits,eq_cost_qcoords,eq_cost_bits,eq_residual_per_width,eq_cost_per_width,kB,kC,kD,kM,kA,k_total,q,w,n_initial_states,n_schedules,initial_pool,observer_init,extra_B,extra_C,extra_D,extra_A,eq_hidden_A_cost_qcoords,eq_hidden_A_cost_bits,eq_panel_cost_qcoords,eq_panel_residual_qcoords,product_sink_cost_qcoords,product_sink_cost_bits,product_cost_A_qcoords,product_cost_A_panel_qcoords,product_hidden_A_cost_qcoords,product_collapsed_vertices,product_fully_collapsed_vertices,product_admissibility_merges,overcollapse_avoided_qcoords,hidden_collapse_avoided_qcoords,equalizer_cost_fraction_of_product_A,seed,instance,eq_alphabet_size_per_side,eq_edge_density,eq_class_sizes_left,eq_class_sizes_right,eq_observed_left_words,eq_observed_right_words
pairwise,[1],1.0,1,[12],0.75,0.0,0.0,2.0,4.0,0.0,2.0,2,2,2,2,2,8,4,1,4096,32,all,zero,2,2,2,2,0.0,0.0,2.0,0.0,,,,,,0,0,0,,,,12332,47,,,,,,
joint,[1],1.0,1,[12],0.75,0.0,0.0,2.0,4.0,0.0,2.0,2,2,2,2,2,8,4,1,4096,32,all,zero,2,2,2,2,0.0,0.0,2.0,0.0,,,,,,0,0,0,,,,12332,47,4.0,0.75,[4],[4],4.0,4.0
pairwise,[1],1.0,1,[9],0.5625,0.0,0.0,2.0,4.0,0.0,2.0,2,2,2,2,2,8,4,1,4096,32,all,zero,2,2,2,2,0.0,0.0,2.0,0.0,,,,,,0,0,0,,,,12333,48,,,,,,
joint,[1],1.0,1,[9],0.5625,0.0,0.0,2.0,4.0,0.0,2.0,2,2,2,2,2,8,4,1,4096,32,all,zero,2,2,2,2,0.0,0.0,2.0,0.0,,,,,,0,0,0,,,,12333,48,4.0,0.5625,[4],[4],4.0,4.0
pairwise,[1],1.0,1,[7],0.4375,0.0,0.0,2.0,4.0,0.0,2.0,2,2,2,2,2,8,4,1,4096,32,all,zero,2,2,2,2,0.0,0.0,2.0,0.0,,,,,,0,0,0,,,,12334,49,,,,,,
joint,[1],1.0,1,[7],0.4375,0.0,0.0,2.0,4.0,0.0,2.0,2,2,2,2,2,8,4,1,4096,32,all,zero,2,2,2,2,0.0,0.0,2.0,0.0,,,,,,0,0,0,,,,12334,49,4.0,0.4375,[3],[4],3.0,4.0
pairwise,[1],1.0,1,[12],0.75,0.0,0.0,2.0,4.0,0.0,2.0,2,2,2,2,3,9,4,1,4096,96,all,zero,2,2,2,3,0.0,0.0,2.0,0.0,,,,,,0,0,0,,,,12422,0,,,,,,
joint,[1],1.0,1,[12],0.75,0.0,0.0,2.0,4.0,0.0,2.0,2,2,2,2,3,9,4,1,4096,96,all,zero,2,2,2,3,0.0,0.0,2.0,0.0,,,,,,0,0,0,,,,12422,0,4.0,0.75,[4],[4],4.0,4.0
pairwise,[1],1.0,1,[15],0.9375,0.0,0.0,2.0,4.0,0.0,2.0,2,2,2,2,3,9,4,1,4096,96,all,zero,2,2,2,3,0.0,0.0,2.0,0.0,,,,,,0,0,0,,,,12423,1,,,,,,
joint,[1],1.0,1,[15],0.9375,0.0,0.0,2.0,4.0,0.0,2.0,2,2,2,2,3,9,4,1,4096,96,all,zero,2,2,2,3,0.0,0.0,2.0,0.0,,,,,,0,0,0,,,,12423,1,4.0,0.9375,[4],[4],4.0,4.0
pairwise,[1],1.0,1,[12],0.75,0.0,0.0,2.0,4.0,0.0,2.0,2,2,2,2,3,9,4,1,4096,96,all,zero,2,2,2,3,0.0,0.0,2.0,0.0,,,,,,0,0,0,,,,12424,2,,,,,,
joint,[1],1.0,1,[12],0.75,0.0,0.0,2.0,4.0,0.0,2.0,2,2,2,2,3,9,4,1,4096,96,all,zero,2,2,2,3,0.0,0.0,2.0,0.0,,,,,,0,0,0,,,,12424,2,4.0,0.75,[4],[4],4.0,4.0
pairwise,[1],1.0,1,[10],0.625,0.0,0.0,2.0,4.0,0.0,2.0,2,2,2,2,3,9,4,1,4096,96,all,zero,2,2,2,3,0.0,0.0,2.0,0.0,,,,,,0,0,0,,,,12425,3,,,,,,
joint,[1],1.0,1,[10],0.625,0.0,0.0,2.0,4.0,0.0,2.0,2,2,2,2,3,9,4,1,4096,96,all,zero,2,2,2,3,0.0,0.0,2.0,0.0,,,,,,0,0,0,,,,12425,3,4.0,0.625,[4],[4],4.0,4.0
pairwise,[1],1.0,1,[15],0.9375,0.0,0.0,2.0,4.0,0.0,2.0,2,2,2,2,3,9,4,1,4096,96,all,zero,2,2,2,3,0.0,0.0,2.0,0.0,,,,,,0,0,0,,,,12426,4,,,,,,
joint,[1],1.0,1,[15],0.9375,0.0,0.0,2.0,4.0,0.0,2.0,2,2,2,2,3,9,4,1,4096,96,all,zero,2,2,2,3,0.0,0.0,2.0,0.0,,,,,,0,0,0,,,,12426,4,4.0,0.9375,[4],[4],4.0,4.0
pairwise,[1],1.0,1,[15],0.9375,0.0,0.0,2.0,4.0,0.0,2.0,2,2,2,2,3,9,4,1,4096,96,all,zero,2,2,2,3,0.0,0.0,2.0,0.0,,,,,,0,0,0,,,,12427,5,,,,,,
joint,[1],1.0,1,[15],0.9375,0.0,0.0,2.0,4.0,0.0,2.0,2,2,2,2,3,9,4,1,4096,96,all,zero,2,2,2,3,0.0,0.0,2.0,0.0,,,,,,0,0,0,,,,12427,5,4.0,0.9375,[4],[4],4.0,4.0
pairwise,[1],1.0,1,[11],0.6875,0.0,0.0,2.0,4.0,0.0,2.0,2,2,2,2,3,9,4,1,4096,96,all,zero,2,2,2,3,0.0,0.0,2.0,0.0,,,,,,0,0,0,,,,12428,6,,,,,,
joint,[1],1.0,1,[11],0.6875,0.0,0.0,2.0,4.0,0.0,2.0,2,2,2,2,3,9,4,1,4096,96,all,zero,2,2,2,3,0.0,0.0,2.0,0.0,,,,,,0,0,0,,,,12428,6,4.0,0.6875,[4],[4],4.0,4.0
pairwise,[1],1.0,1,[14],0.875,0.0,0.0,2.0,4.0,0.0,2.0,2,2,2,2,3,9,4,1,4096,96,all,zero,2,2,2,3,0.0,0.0,2.0,0.0,,,,,,0,0,0,,,,12429,7,,,,,,
joint,[1],1.0,1,[14],0.875,0.0,0.0,2.0,4.0,0.0,2.0,2,2,2,2,3,9,4,1,4096,96,all,zero,2,2,2,3,0.0,0.0,2.0,0.0,,,,,,0,0,0,,,,12429,7,4.0,0.875,[4],[4],4.0,4.0
pairwise,[1],1.0,1,[12],0.75,0.0,0.0,2.0,4.0,0.0,2.0,2,2,2,2,3,9,4,1,4096,96,all,zero,2,2,2,3,0.0,0.0,2.0,0.0,,,,,,0,0,0,,,,12430,8,,,,,,
joint,[1],1.0,1,[12],0.75,0.0,0.0,2.0,4.0,0.0,2.0,2,2,2,2,3,9,4,1,4096,96,all,zero,2,2,2,3,0.0,0.0,2.0,0.0,,,,,,0,0,0,,,,12430,8,4.0,0.75,[4],[4],4.0,4.0
pairwise,[1],1.0,1,[13],0.8125,0.0,0.0,2.0,4.0,0.0,2.0,2,2,2,2,3,9,4,1,4096,96,all,zero,2,2,2,3,0.0,0.0,2.0,0.0,,,,,,0,0,0,,,,12431,9,,,,,,
joint,[1],1.0,1,[13],0.8125,0.0,0.0,2.0,4.0,0.0,2.0,2,2,2,2,3,9,4,1,4096,96,all,zero,2,2,2,3,0.0,0.0,2.0,0.0,,,,,,0,0,0,,,,12431,9,4.0,0.8125,[4],[4],4.0,4.0
pairwise,[1],1.0,1,[9],0.5625,0.0,0.0,2.0,4.0,0.0,2.0,2,2,2,2,3,9,4,1,4096,96,all,zero,2,2,2,3,0.0,0.0,2.0,0.0,,,,,,0,0,0,,,,12432,10,,,,,,
joint,[1],1.0,1,[9],0.5625,0.0,0.0,2.0,4.0,0.0,2.0,2,2,2,2,3,9,4,1,4096,96,all,zero,2,2,2,3,0.0,0.0,2.0,0.0,,,,,,0,0,0,,,,12432,10,4.0,0.5625,[4],[3],4.0,3.0
pairwise,[1],1.0,1,[14],0.875,0.0,0.0,2.0,4.0,0.0,2.0,2,2,2,2,3,9,4,1,4096,96,all,zero,2,2,2,3,0.0,0.0,2.0,0.0,,,,,,0,0,0,,,,12433,11,,,,,,
joint,[1],1.0,1,[14],0.875,0.0,0.0,2.0,4.0,0.0,2.0,2,2,2,2,3,9,4,1,4096,96,all,zero,2,2,2,3,0.0,0.0,2.0,0.0,,,,,,0,0,0,,,,12433,11,4.0,0.875,[4],[4],4.0,4.0
pairwise,[1],1.0,1,[15],0.9375,0.0,0.0,2.0,4.0,0.0,2.0,2,2,2,2,3,9,4,1,4096,96,all,zero,2,2,2,3,0.0,0.0,2.0,0.0,,,,,,0,0,0,,,,12434,12,,,,,,
joint,[1],1.0,1,[15],0.9375,0.0,0.0,2.0,4.0,0.0,2.0,2,2,2,2,3,9,4,1,4096,96,all,zero,2,2,2,3,0.0,0.0,2.0,0.0,,,,,,0,0,0,,,,12434,12,4.0,0.9375,[4],[4],4.0,4.0
pairwise,[1],1.0,1,[15],0.9375,0.0,0.0,2.0,4.0,0.0,2.0,2,2,2,2,3,9,4,1,4096,96,all,zero,2,2,2,3,0.0,0.0,2.0,0.0,,,,,,0,0,0,,,,12435,13,,,,,,
joint,[1],1.0,1,[15],0.9375,0.0,0.0,2.0,4.0,0.0,2.0,2,2,2,2,3,9,4,1,4096,96,all,zero,2,2,2,3,0.0,0.0,2.0,0.0,,,,,,0,0,0,,,,12435,13,4.0,0.9375,[4],[4],4.0,4.0
pairwise,[1],1.0,1,[12],0.75,0.0,0.0,2.0,4.0,0.0,2.0,2,2,2,2,3,9,4,1,4096,96,all,zero,2,2,2,3,0.0,0.0,2.0,0.0,,,,,,0,0,0,,,,12436,14,,,,,,
joint,[1],1.0,1,[12],0.75,0.0,0.0,2.0,4.0,0.0,2.0,2,2,2,2,3,9,4,1,4096,96,all,zero,2,2,2,3,0.0,0.0,2.0,0.0,,,,,,0,0,0,,,,12436,14,4.0,0.75,[4],[4],4.0,4.0
pairwise,[1],1.0,1,[5],0.3125,0.0,0.0,2.0,4.0,0.0,2.0,2,2,2,2,3,9,4,1,4096,96,all,zero,2,2,2,3,0.0,0.0,2.0,0.0,,,,,,0,0,0,,,,12437,15,,,,,,
joint,[1],1.0,1,[5],0.3125,0.0,0.0,2.0,4.0,0.0,2.0,2,2,2,2,3,9,4,1,4096,96,all,zero,2,2,2,3,0.0,0.0,2.0,0.0,,,,,,0,0,0,,,,12437,15,4.0,0.3125,[3],[2],3.0,2.0
pairwise,[1],1.0,1,[14],0.875,0.0,0.0,2.0,4.0,0.0,2.0,2,2,2,2,3,9,4,1,4096,96,all,zero,2,2,2,3,0.0,0.0,2.0,0.0,,,,,,0,0,0,,,,12438,16,,,,,,
joint,[1],1.0,1,[14],0.875,0.0,0.0,2.0,4.0,0.0,2.0,2,2,2,2,3,9,4,1,4096,96,all,zero,2,2,2,3,0.0,0.0,2.0,0.0,,,,,,0,0,0,,,,12438,16,4.0,0.875,[4],[4],4.0,4.0
pairwise,[1],1.0,1,[13],0.8125,0.0,0.0,2.0,4.0,0.0,2.0,2,2,2,2,3,9,4,1,4096,96,all,zero,2,2,2,3,0.0,0.0,2.0,0.0,,,,,,0,0,0,,,,12439,17,,,,,,
joint,[1],1.0,1,[13],0.8125,0.0,0.0,2.0,4.0,0.0,2.0,2,2,2,2,3,9,4,1,4096,96,all,zero,2,2,2,3,0.0,0.0,2.0,0.0,,,,,,0,0,0,,,,12439,17,4.0,0.8125,[4],[4],4.0,4.0
pairwise,[1],1.0,1,[10],0.625,0.0,0.0,2.0,4.0,0.0,2.0,2,2,2,2,3,9,4,1,4096,96,all,zero,2,2,2,3,0.0,0.0,2.0,0.0,,,,,,0,0,0,,,,12440,18,,,,,,
joint,[1],1.0,1,[10],0.625,0.0,0.0,2.0,4.0,0.0,2.0,2,2,2,2,3,9,4,1,4096,96,all,zero,2,2,2,3,0.0,0.0,2.0,0.0,,,,,,0,0,0,,,,12440,18,4.0,0.625,[4],[4],4.0,4.0
pairwise,[1],1.0,1,[13],0.8125,0.0,0.0,2.0,4.0,0.0,2.0,2,2,2,2,3,9,4,1,4096,96,all,zero,2,2,2,3,0.0,0.0,2.0,0.0,,,,,,0,0,0,,,,12441,19,,,,,,
joint,[1],1.0,1,[13],0.8125,0.0,0.0,2.0,4.0,0.0,2.0,2,2,2,2,3,9,4,1,4096,96,all,zero,2,2,2,3,0.0,0.0,2.0,0.0,,,,,,0,0,0,,,,12441,19,4.0,0.8125,[4],[4],4.0,4.0
pairwise,[1],1.0,1,[10],0.625,0.0,0.0,2.0,4.0,0.0,2.0,2,2,2,2,3,9,4,1,4096,96,all,zero,2,2,2,3,0.0,0.0,2.0,0.0,,,,,,0,0,0,,,,12442,20,,,,,,
joint,[1],1.0,1,[10],0.625,0.0,0.0,2.0,4.0,0.0,2.0,2,2,2,2,3,9,4,1,4096,96,all,zero,2,2,2,3,0.0,0.0,2.0,0.0,,,,,,0,0,0,,,,12442,20,4.0,0.625,[4],[4],4.0,4.0
pairwise,[1],1.0,1,[16],1.0,0.0,0.0,2.0,4.0,0.0,2.0,2,2,2,2,3,9,4,1,4096,96,all,zero,2,2,2,3,0.0,0.0,2.0,0.0,,,,,,0,0,0,,,,12443,21,,,,,,
joint,[1],1.0,1,[16],1.0,0.0,0.0,2.0,4.0,0.0,2.0,2,2,2,2,3,9,4,1,4096,96,all,zero,2,2,2,3,0.0,0.0,2.0,0.0,,,,,,0,0,0,,,,12443,21,4.0,1.0,[4],[4],4.0,4.0
pairwise,[1],1.0,1,[14],0.875,0.0,0.0,2.0,4.0,0.0,2.0,2,2,2,2,3,9,4,1,4096,96,all,zero,2,2,2,3,0.0,0.0,2.0,0.0,,,,,,0,0,0,,,,12444,22,,,,,,
joint,[1],1.0,1,[14],0.875,0.0,0.0,2.0,4.0,0.0,2.0,2,2,2,2,3,9,4,1,4096,96,all,zero,2,2,2,3,0.0,0.0,2.0,0.0,,,,,,0,0,0,,,,12444,22,4.0,0.875,[4],[4],4.0,4.0
pairwise,[1],1.0,1,[9],0.5625,0.0,0.0,2.0,4.0,0.0,2.0,2,2,2,2,3,9,4,1,4096,96,all,zero,2,2,2,3,0.0,0.0,2.0,0.0,,,,,,0,0,0,,,,12445,23,,,,,,
joint,[1],1.0,1,[9],0.5625,0.0,0.0,2.0,4.0,0.0,2.0,2,2,2,2,3,9,4,1,4096,96,all,zero,2,2,2,3,0.0,0.0,2.0,0.0,,,,,,0,0,0,,,,12445,23,4.0,0.5625,[4],[4],4.0,4.0
pairwise,[1],1.0,1,[16],1.0,0.0,0.0,2.0,4.0,0.0,2.0,2,2,2,2,3,9,4,1,4096,96,all,zero,2,2,2,3,0.0,0.0,2.0,0.0,,,,,,0,0,0,,,,12446,24,,,,,,
joint,[1],1.0,1,[16],1.0,0.0,0.0,2.0,4.0,0.0,2.0,2,2,2,2,3,9,4,1,4096,96,all,zero,2,2,2,3,0.0,0.0,2.0,0.0,,,,,,0,0,0,,,,12446,24,4.0,1.0,[4],[4],4.0,4.0
pairwise,[1],1.0,1,[15],0.9375,0.0,0.0,2.0,4.0,0.0,2.0,2,2,2,2,3,9,4,1,4096,96,all,zero,2,2,2,3,0.0,0.0,2.0,0.0,,,,,,0,0,0,,,,12447,25,,,,,,
joint,[1],1.0,1,[15],0.9375,0.0,0.0,2.0,4.0,0.0,2.0,2,2,2,2,3,9,4,1,4096,96,all,zero,2,2,2,3,0.0,0.0,2.0,0.0,,,,,,0,0,0,,,,12447,25,4.0,0.9375,[4],[4],4.0,4.0
pairwise,[1],1.0,1,[15],0.9375,0.0,0.0,2.0,4.0,0.0,2.0,2,2,2,2,3,9,4,1,4096,96,all,zero,2,2,2,3,0.0,0.0,2.0,0.0,,,,,,0,0,0,,,,12448,26,,,,,,
joint,[1],1.0,1,[15],0.9375,0.0,0.0,2.0,4.0,0.0,2.0,2,2,2,2,3,9,4,1,4096,96,all,zero,2,2,2,3,0.0,0.0,2.0,0.0,,,,,,0,0,0,,,,12448,26,4.0,0.9375,[4],[4],4.0,4.0
pairwise,[1],1.0,1,[14],0.875,0.0,0.0,2.0,4.0,0.0,2.0,2,2,2,2,3,9,4,1,4096,96,all,zero,2,2,2,3,0.0,0.0,2.0,0.0,,,,,,0,0,0,,,,12449,27,,,,,,
joint,[1],1.0,1,[14],0.875,0.0,0.0,2.0,4.0,0.0,2.0,2,2,2,2,3,9,4,1,4096,96,all,zero,2,2,2,3,0.0,0.0,2.0,0.0,,,,,,0,0,0,,,,12449,27,4.0,0.875,[4],[4],4.0,4.0
pairwise,[1],1.0,1,[14],0.875,0.0,0.0,2.0,4.0,0.0,2.0,2,2,2,2,3,9,4,1,4096,96,all,zero,2,2,2,3,0.0,0.0,2.0,0.0,,,,,,0,0,0,,,,12450,28,,,,,,
joint,[1],1.0,1,[14],0.875,0.0,0.0,2.0,4.0,0.0,2.0,2,2,2,2,3,9,4,1,4096,96,all,zero,2,2,2,3,0.0,0.0,2.0,0.0,,,,,,0,0,0,,,,12450,28,4.0,0.875,[4],[4],4.0,4.0
pairwise,[1],1.0,1,[12],0.75,0.0,0.0,2.0,4.0,0.0,2.0,2,2,2,2,3,9,4,1,4096,96,all,zero,2,2,2,3,0.0,0.0,2.0,0.0,,,,,,0,0,0,,,,12451,29,,,,,,
joint,[1],1.0,1,[12],0.75,0.0,0.0,2.0,4.0,0.0,2.0,2,2,2,2,3,9,4,1,4096,96,all,zero,2,2,2,3,0.0,0.0,2.0,0.0,,,,,,0,0,0,,,,12451,29,4.0,0.75,[4],[4],4.0,4.0
pairwise,[1],1.0,1,[16],1.0,0.0,0.0,2.0,4.0,0.0,2.0,2,2,2,2,3,9,4,1,4096,96,all,zero,2,2,2,3,0.0,0.0,2.0,0.0,,,,,,0,0,0,,,,12452,30,,,,,,
joint,[1],1.0,1,[16],1.0,0.0,0.0,2.0,4.0,0.0,2.0,2,2,2,2,3,9,4,1,4096,96,all,zero,2,2,2,3,0.0,0.0,2.0,0.0,,,,,,0,0,0,,,,12452,30,4.0,1.0,[4],[4],4.0,4.0
pairwise,[1],1.0,1,[16],1.0,0.0,0.0,2.0,4.0,0.0,2.0,2,2,2,2,3,9,4,1,4096,96,all,zero,2,2,2,3,0.0,0.0,2.0,0.0,,,,,,0,0,0,,,,12453,31,,,,,,
joint,[1],1.0,1,[16],1.0,0.0,0.0,2.0,4.0,0.0,2.0,2,2,2,2,3,9,4,1,4096,96,all,zero,2,2,2,3,0.0,0.0,2.0,0.0,,,,,,0,0,0,,,,12453,31,4.0,1.0,[4],[4],4.0,4.0
pairwise,[1],1.0,1,[14],0.875,0.0,0.0,2.0,4.0,0.0,2.0,2,2,2,2,3,9,4,1,4096,96,all,zero,2,2,2,3,0.0,0.0,2.0,0.0,,,,,,0,0,0,,,,12454,32,,,,,,
joint,[1],1.0,1,[14],0.875,0.0,0.0,2.0,4.0,0.0,2.0,2,2,2,2,3,9,4,1,4096,96,all,zero,2,2,2,3,0.0,0.0,2.0,0.0,,,,,,0,0,0,,,,12454,32,4.0,0.875,[4],[4],4.0,4.0
pairwise,[1],1.0,1,[12],0.75,0.0,0.0,2.0,4.0,0.0,2.0,2,2,2,2,3,9,4,1,4096,96,all,zero,2,2,2,3,0.0,0.0,2.0,0.0,,,,,,0,0,0,,,,12455,33,,,,,,
joint,[1],1.0,1,[12],0.75,0.0,0.0,2.0,4.0,0.0,2.0,2,2,2,2,3,9,4,1,4096,96,all,zero,2,2,2,3,0.0,0.0,2.0,0.0,,,,,,0,0,0,,,,12455,33,4.0,0.75,[4],[4],4.0,4.0
pairwise,[1],1.0,1,[10],0.625,0.0,0.0,2.0,4.0,0.0,2.0,2,2,2,2,3,9,4,1,4096,96,all,zero,2,2,2,3,0.0,0.0,2.0,0.0,,,,,,0,0,0,,,,12456,34,,,,,,
joint,[1],1.0,1,[10],0.625,0.0,0.0,2.0,4.0,0.0,2.0,2,2,2,2,3,9,4,1,4096,96,all,zero,2,2,2,3,0.0,0.0,2.0,0.0,,,,,,0,0,0,,,,12456,34,4.0,0.625,[4],[4],4.0,4.0
pairwise,[1],1.0,1,[11],0.6875,0.0,0.0,2.0,4.0,0.0,2.0,2,2,2,2,3,9,4,1,4096,96,all,zero,2,2,2,3,0.0,0.0,2.0,0.0,,,,,,0,0,0,,,,12457,35,,,,,,
joint,[1],1.0,1,[11],0.6875,0.0,0.0,2.0,4.0,0.0,2.0,2,2,2,2,3,9,4,1,4096,96,all,zero,2,2,2,3,0.0,0.0,2.0,0.0,,,,,,0,0,0,,,,12457,35,4.0,0.6875,[4],[4],4.0,4.0
pairwise,[1],1.0,1,[11],0.6875,0.0,0.0,2.0,4.0,0.0,2.0,2,2,2,2,3,9,4,1,4096,96,all,zero,2,2,2,3,0.0,0.0,2.0,0.0,,,,,,0,0,0,,,,12458,36,,,,,,
joint,[1],1.0,1,[11],0.6875,0.0,0.0,2.0,4.0,0.0,2.0,2,2,2,2,3,9,4,1,4096,96,all,zero,2,2,2,3,0.0,0.0,2.0,0.0,,,,,,0,0,0,,,,12458,36,4.0,0.6875,[4],[4],4.0,4.0
pairwise,[1],1.0,1,[15],0.9375,0.0,0.0,2.0,4.0,0.0,2.0,2,2,2,2,3,9,4,1,4096,96,all,zero,2,2,2,3,0.0,0.0,2.0,0.0,,,,,,0,0,0,,,,12459,37,,,,,,
joint,[1],1.0,1,[15],0.9375,0.0,0.0,2.0,4.0,0.0,2.0,2,2,2,2,3,9,4,1,4096,96,all,zero,2,2,2,3,0.0,0.0,2.0,0.0,,,,,,0,0,0,,,,12459,37,4.0,0.9375,[4],[4],4.0,4.0
pairwise,[1],1.0,1,[15],0.9375,0.0,0.0,2.0,4.0,0.0,2.0,2,2,2,2,3,9,4,1,4096,96,all,zero,2,2,2,3,0.0,0.0,2.0,0.0,,,,,,0,0,0,,,,12460,38,,,,,,
joint,[1],1.0,1,[15],0.9375,0.0,0.0,2.0,4.0,0.0,2.0,2,2,2,2,3,9,4,1,4096,96,all,zero,2,2,2,3,0.0,0.0,2.0,0.0,,,,,,0,0,0,,,,12460,38,4.0,0.9375,[4],[4],4.0,4.0
pairwise,[1],1.0,1,[15],0.9375,0.0,0.0,2.0,4.0,0.0,2.0,2,2,2,2,3,9,4,1,4096,96,all,zero,2,2,2,3,0.0,0.0,2.0,0.0,,,,,,0,0,0,,,,12461,39,,,,,,
joint,[1],1.0,1,[15],0.9375,0.0,0.0,2.0,4.0,0.0,2.0,2,2,2,2,3,9,4,1,4096,96,all,zero,2,2,2,3,0.0,0.0,2.0,0.0,,,,,,0,0,0,,,,12461,39,4.0,0.9375,[4],[4],4.0,4.0
pairwise,[1],1.0,1,[14],0.875,0.0,0.0,2.0,4.0,0.0,2.0,2,2,2,2,3,9,4,1,4096,96,all,zero,2,2,2,3,0.0,0.0,2.0,0.0,,,,,,0,0,0,,,,12462,40,,,,,,
joint,[1],1.0,1,[14],0.875,0.0,0.0,2.0,4.0,0.0,2.0,2,2,2,2,3,9,4,1,4096,96,all,zero,2,2,2,3,0.0,0.0,2.0,0.0,,,,,,0,0,0,,,,12462,40,4.0,0.875,[4],[4],4.0,4.0
pairwise,[1],1.0,1,[16],1.0,0.0,0.0,2.0,4.0,0.0,2.0,2,2,2,2,3,9,4,1,4096,96,all,zero,2,2,2,3,0.0,0.0,2.0,0.0,,,,,,0,0,0,,,,12463,41,,,,,,
joint,[1],1.0,1,[16],1.0,0.0,0.0,2.0,4.0,0.0,2.0,2,2,2,2,3,9,4,1,4096,96,all,zero,2,2,2,3,0.0,0.0,2.0,0.0,,,,,,0,0,0,,,,12463,41,4.0,1.0,[4],[4],4.0,4.0
pairwise,[1],1.0,1,[13],0.8125,0.0,0.0,2.0,4.0,0.0,2.0,2,2,2,2,3,9,4,1,4096,96,all,zero,2,2,2,3,0.0,0.0,2.0,0.0,,,,,,0,0,0,,,,12464,42,,,,,,
joint,[1],1.0,1,[13],0.8125,0.0,0.0,2.0,4.0,0.0,2.0,2,2,2,2,3,9,4,1,4096,96,all,zero,2,2,2,3,0.0,0.0,2.0,0.0,,,,,,0,0,0,,,,12464,42,4.0,0.8125,[4],[4],4.0,4.0
pairwise,[1],1.0,1,[8],0.5,0.0,0.0,2.0,4.0,0.0,2.0,2,2,2,2,3,9,4,1,4096,96,all,zero,2,2,2,3,0.0,0.0,2.0,0.0,,,,,,0,0,0,,,,12465,43,,,,,,
joint,[1],1.0,1,[8],0.5,0.0,0.0,2.0,4.0,0.0,2.0,2,2,2,2,3,9,4,1,4096,96,all,zero,2,2,2,3,0.0,0.0,2.0,0.0,,,,,,0,0,0,,,,12465,43,4.0,0.5,[3],[4],3.0,4.0
pairwise,[1],1.0,1,[13],0.8125,0.0,0.0,2.0,4.0,0.0,2.0,2,2,2,2,3,9,4,1,4096,96,all,zero,2,2,2,3,0.0,0.0,2.0,0.0,,,,,,0,0,0,,,,12466,44,,,,,,
joint,[1],1.0,1,[13],0.8125,0.0,0.0,2.0,4.0,0.0,2.0,2,2,2,2,3,9,4,1,4096,96,all,zero,2,2,2,3,0.0,0.0,2.0,0.0,,,,,,0,0,0,,,,12466,44,4.0,0.8125,[4],[4],4.0,4.0
pairwise,[1],1.0,1,[14],0.875,0.0,0.0,2.0,4.0,0.0,2.0,2,2,2,2,3,9,4,1,4096,96,all,zero,2,2,2,3,0.0,0.0,2.0,0.0,,,,,,0,0,0,,,,12467,45,,,,,,
joint,[1],1.0,1,[14],0.875,0.0,0.0,2.0,4.0,0.0,2.0,2,2,2,2,3,9,4,1,4096,96,all,zero,2,2,2,3,0.0,0.0,2.0,0.0,,,,,,0,0,0,,,,12467,45,4.0,0.875,[4],[4],4.0,4.0
pairwise,[1],1.0,1,[16],1.0,0.0,0.0,2.0,4.0,0.0,2.0,2,2,2,2,3,9,4,1,4096,96,all,zero,2,2,2,3,0.0,0.0,2.0,0.0,,,,,,0,0,0,,,,12468,46,,,,,,
joint,[1],1.0,1,[16],1.0,0.0,0.0,2.0,4.0,0.0,2.0,2,2,2,2,3,9,4,1,4096,96,all,zero,2,2,2,3,0.0,0.0,2.0,0.0,,,,,,0,0,0,,,,12468,46,4.0,1.0,[4],[4],4.0,4.0
pairwise,[1],1.0,1,[13],0.8125,0.0,0.0,2.0,4.0,0.0,2.0,2,2,2,2,3,9,4,1,4096,96,all,zero,2,2,2,3,0.0,0.0,2.0,0.0,,,,,,0,0,0,,,,12469,47,,,,,,
joint,[1],1.0,1,[13],0.8125,0.0,0.0,2.0,4.0,0.0,2.0,2,2,2,2,3,9,4,1,4096,96,all,zero,2,2,2,3,0.0,0.0,2.0,0.0,,,,,,0,0,0,,,,12469,47,4.0,0.8125,[4],[4],4.0,4.0
pairwise,[1],1.0,1,[15],0.9375,0.0,0.0,2.0,4.0,0.0,2.0,2,2,2,2,3,9,4,1,4096,96,all,zero,2,2,2,3,0.0,0.0,2.0,0.0,,,,,,0,0,0,,,,12470,48,,,,,,
joint,[1],1.0,1,[15],0.9375,0.0,0.0,2.0,4.0,0.0,2.0,2,2,2,2,3,9,4,1,4096,96,all,zero,2,2,2,3,0.0,0.0,2.0,0.0,,,,,,0,0,0,,,,12470,48,4.0,0.9375,[4],[4],4.0,4.0
pairwise,[1],1.0,1,[13],0.8125,0.0,0.0,2.0,4.0,0.0,2.0,2,2,2,2,3,9,4,1,4096,96,all,zero,2,2,2,3,0.0,0.0,2.0,0.0,,,,,,0,0,0,,,,12471,49,,,,,,
