candidate_index,schedule_index,schedule_branch_order,schedule_pair_id,q,w,k_total,kB,kC,kD,kA,exact_shared_classes,exact_residual_qcoords,n_joint_states,n_initial_states,n_attractors,mean_cycle_period,max_cycle_period,mean_label_period,max_label_period,mean_cycle_label_valid_fraction,all_valid_basin_fraction,constant_cycle_fraction,constant_basin_fraction,phase_cycle_fraction,phase_basin_fraction,stable_label_classes,stable_label_entropy_bits,stable_label_entropy_norm,init_label_to_stable_label_mi_bits,init_label_to_stable_label_mi_norm,attractor_label_conservation_fraction,attractor_label_transition_mi_bits,attractor_label_transition_mi_norm,saved_run,saved_generation,saved_candidate,saved_blind_fitness,saved_fitness_mode,saved_target_mode
1,17,DC,8,4,1,8,2,2,2,2,4,1.0,65536,4096,2,1.5,2,1.0,1,0.5,0.375,0.5,0.375,0.0,0.0,1,-0.0,-0.0,,,1.0,0.0,,4,49,1176,1.0000010000009965,two_stage,interface
1,18,CD,9,4,1,8,2,2,2,2,4,1.0,65536,4096,2,1.5,2,1.0,1,0.75,0.375,0.5,0.375,0.0,0.0,1,-0.0,-0.0,,,1.0,0.0,,4,49,1176,1.0000010000009965,two_stage,interface
1,19,DC,9,4,1,8,2,2,2,2,4,1.0,65536,4096,2,1.5,2,1.0,1,0.75,0.375,0.5,0.375,0.0,0.0,1,-0.0,-0.0,,,1.0,0.0,,4,49,1176,1.0000010000009965,two_stage,interface
1,20,CD,10,4,1,8,2,2,2,2,4,1.0,65536,4096,2,1.5,2,1.0,1,0.5,0.375,0.5,0.375,0.0,0.0,1,-0.0,-0.0,,,1.0,0.0,,4,49,1176,1.0000010000009965,two_stage,interface
1,21,DC,10,4,1,8,2,2,2,2,4,1.0,65536,4096,2,1.5,2,1.0,1,0.5,0.375,0.5,0.375,0.0,0.0,1,-0.0,-0.0,,,1.0,0.0,,4,49,1176,1.0000010000009965,two_stage,interface
1,22,CD,11,4,1,8,2,2,2,2,4,1.0,65536,4096,2,1.5,2,1.0,1,0.75,0.375,0.5,0.375,0.0,0.0,1,-0.0,-0.0,,,1.0,0.0,,4,49,1176,1.0000010000009965,two_stage,interface
1,23,DC,11,4,1,8,2,2,2,2,4,1.0,65536,4096,2,1.5,2,1.0,1,0.75,0.375,0.5,0.375,0.0,0.0,1,-0.0,-0.0,,,1.0,0.0,,4,49,1176,1.0000010000009965,two_stage,interface
1,24,CD,12,4,1,8,2,2,2,2,4,1.0,65536,4096,2,1.5,2,1.0,1,0.5,0.375,0.5,0.375,0.0,0.0,1,-0.0,-0.0,,,1.0,0.0,,4,49,1176,1.0000010000009965,two_stage,interface
1,25,DC,12,4,1,8,2,2,2,2,4,1.0,65536,4096,2,1.5,2,1.0,1,0.5,0.375,0.5,0.375,0.0,0.0,1,-0.0,-0.0,,,1.0,0.0,,4,49,1176,1.0000010000009965,two_stage,interface
1,26,CD,13,4,1,8,2,2,2,2,4,1.0,65536,4096,2,1.5,2,1.0,1,0.75,0.375,0.5,0.375,0.0,0.0,1,-0.0,-0.0,,,1.0,0.0,,4,49,1176,1.0000010000009965,two_stage,interface
