Lx,Ly,mode,p,n_lattices,loop_w,loop_h,area,perimeter,n_loops,mean_W,abs_mean_W,frac_negative,seed
8,8,flat,0.0,10,1,1,1,4,640,1.0,1.0,0.0,73432
8,8,flat,0.0,10,1,2,2,6,560,1.0,1.0,0.0,73432
8,8,flat,0.0,10,1,3,3,8,480,1.0,1.0,0.0,73432
8,8,flat,0.0,10,2,1,2,6,560,1.0,1.0,0.0,73432
8,8,flat,0.0,10,2,2,4,8,490,1.0,1.0,0.0,73432
8,8,flat,0.0,10,2,3,6,10,420,1.0,1.0,0.0,73432
8,8,flat,0.0,10,3,1,3,8,480,1.0,1.0,0.0,73432
8,8,flat,0.0,10,3,2,6,10,420,1.0,1.0,0.0,73432
8,8,flat,0.0,10,3,3,9,12,360,1.0,1.0,0.0,73432
