loop_index,n,loop_length,holonomy_json,holonomy_type,holonomy_order,nontrivial,edge_types_json,edges_json,gauge_trials,gauge_covariance_success,conjugacy_class_success
69,3,4,"[0, 2, 1]",cycle_2_1,2,True,"[""cycle_2_1"", ""identity"", ""cycle_2_1"", ""cycle_2_1""]","[[0, 2, 1], [0, 1, 2], [0, 2, 1], [0, 2, 1]]",3,1.0,1.0
70,3,4,"[1, 0, 2]",cycle_2_1,2,True,"[""cycle_2_1"", ""identity"", ""cycle_2_1"", ""cycle_2_1""]","[[0, 2, 1], [0, 1, 2], [0, 2, 1], [1, 0, 2]]",3,1.0,1.0
71,3,4,"[2, 1, 0]",cycle_2_1,2,True,"[""cycle_2_1"", ""identity"", ""cycle_2_1"", ""cycle_2_1""]","[[0, 2, 1], [0, 1, 2], [0, 2, 1], [2, 1, 0]]",3,1.0,1.0
72,3,4,"[1, 2, 0]",cycle_3,3,True,"[""cycle_2_1"", ""identity"", ""cycle_2_1"", ""identity""]","[[0, 2, 1], [0, 1, 2], [1, 0, 2], [0, 1, 2]]",3,1.0,1.0
73,3,4,"[2, 1, 0]",cycle_2_1,2,True,"[""cycle_2_1"", ""identity"", ""cycle_2_1"", ""cycle_2_1""]","[[0, 2, 1], [0, 1, 2], [1, 0, 2], [0, 2, 1]]",3,1.0,1.0
74,3,4,"[0, 2, 1]",cycle_2_1,2,True,"[""cycle_2_1"", ""identity"", ""cycle_2_1"", ""cycle_2_1""]","[[0, 2, 1], [0, 1, 2], [1, 0, 2], [1, 0, 2]]",3,1.0,1.0
75,3,4,"[1, 0, 2]",cycle_2_1,2,True,"[""cycle_2_1"", ""identity"", ""cycle_2_1"", ""cycle_2_1""]","[[0, 2, 1], [0, 1, 2], [1, 0, 2], [2, 1, 0]]",3,1.0,1.0
76,3,4,"[2, 0, 1]",cycle_3,3,True,"[""cycle_2_1"", ""identity"", ""cycle_2_1"", ""identity""]","[[0, 2, 1], [0, 1, 2], [2, 1, 0], [0, 1, 2]]",3,1.0,1.0
77,3,4,"[1, 0, 2]",cycle_2_1,2,True,"[""cycle_2_1"", ""identity"", ""cycle_2_1"", ""cycle_2_1""]","[[0, 2, 1], [0, 1, 2], [2, 1, 0], [0, 2, 1]]",3,1.0,1.0
78,3,4,"[2, 1, 0]",cycle_2_1,2,True,"[""cycle_2_1"", ""identity"", ""cycle_2_1"", ""cycle_2_1""]","[[0, 2, 1], [0, 1, 2], [2, 1, 0], [1, 0, 2]]",3,1.0,1.0
79,3,4,"[0, 2, 1]",cycle_2_1,2,True,"[""cycle_2_1"", ""identity"", ""cycle_2_1"", ""cycle_2_1""]","[[0, 2, 1], [0, 1, 2], [2, 1, 0], [2, 1, 0]]",3,1.0,1.0
80,3,4,"[0, 1, 2]",identity,1,False,"[""cycle_2_1"", ""cycle_2_1"", ""identity"", ""identity""]","[[0, 2, 1], [0, 2, 1], [0, 1, 2], [0, 1, 2]]",3,1.0,1.0
81,3,4,"[0, 2, 1]",cycle_2_1,2,True,"[""cycle_2_1"", ""cycle_2_1"", ""identity"", ""cycle_2_1""]","[[0, 2, 1], [0, 2, 1], [0, 1, 2], [0, 2, 1]]",3,1.0,1.0
82,3,4,"[1, 0, 2]",cycle_2_1,2,True,"[""cycle_2_1"", ""cycle_2_1"", ""identity"", ""cycle_2_1""]","[[0, 2, 1], [0, 2, 1], [0, 1, 2], [1, 0, 2]]",3,1.0,1.0
83,3,4,"[2, 1, 0]",cycle_2_1,2,True,"[""cycle_2_1"", ""cycle_2_1"", ""identity"", ""cycle_2_1""]","[[0, 2, 1], [0, 2, 1], [0, 1, 2], [2, 1, 0]]",3,1.0,1.0
84,3,4,"[0, 2, 1]",cycle_2_1,2,True,"[""cycle_2_1"", ""cycle_2_1"", ""cycle_2_1"", ""identity""]","[[0, 2, 1], [0, 2, 1], [0, 2, 1], [0, 1, 2]]",3,1.0,1.0
85,3,4,"[0, 1, 2]",identity,1,False,"[""cycle_2_1"", ""cycle_2_1"", ""cycle_2_1"", ""cycle_2_1""]","[[0, 2, 1], [0, 2, 1], [0, 2, 1], [0, 2, 1]]",3,1.0,1.0
86,3,4,"[1, 2, 0]",cycle_3,3,True,"[""cycle_2_1"", ""cycle_2_1"", ""cycle_2_1"", ""cycle_2_1""]","[[0, 2, 1], [0, 2, 1], [0, 2, 1], [1, 0, 2]]",3,1.0,1.0
87,3,4,"[2, 0, 1]",cycle_3,3,True,"[""cycle_2_1"", ""cycle_2_1"", ""cycle_2_1"", ""cycle_2_1""]","[[0, 2, 1], [0, 2, 1], [0, 2, 1], [2, 1, 0]]",3,1.0,1.0
88,3,4,"[1, 0, 2]",cycle_2_1,2,True,"[""cycle_2_1"", ""cycle_2_1"", ""cycle_2_1"", ""identity""]","[[0, 2, 1], [0, 2, 1], [1, 0, 2], [0, 1, 2]]",3,1.0,1.0
89,3,4,"[2, 0, 1]",cycle_3,3,True,"[""cycle_2_1"", ""cycle_2_1"", ""cycle_2_1"", ""cycle_2_1""]","[[0, 2, 1], [0, 2, 1], [1, 0, 2], [0, 2, 1]]",3,1.0,1.0
90,3,4,"[0, 1, 2]",identity,1,False,"[""cycle_2_1"", ""cycle_2_1"", ""cycle_2_1"", ""cycle_2_1""]","[[0, 2, 1], [0, 2, 1], [1, 0, 2], [1, 0, 2]]",3,1.0,1.0
91,3,4,"[1, 2, 0]",cycle_3,3,True,"[""cycle_2_1"", ""cycle_2_1"", ""cycle_2_1"", ""cycle_2_1""]","[[0, 2, 1], [0, 2, 1], [1, 0, 2], [2, 1, 0]]",3,1.0,1.0
92,3,4,"[2, 1, 0]",cycle_2_1,2,True,"[""cycle_2_1"", ""cycle_2_1"", ""cycle_2_1"", ""identity""]","[[0, 2, 1], [0, 2, 1], [2, 1, 0], [0, 1, 2]]",3,1.0,1.0
93,3,4,"[1, 2, 0]",cycle_3,3,True,"[""cycle_2_1"", ""cycle_2_1"", ""cycle_2_1"", ""cycle_2_1""]","[[0, 2, 1], [0, 2, 1], [2, 1, 0], [0, 2, 1]]",3,1.0,1.0
94,3,4,"[2, 0, 1]",cycle_3,3,True,"[""cycle_2_1"", ""cycle_2_1"", ""cycle_2_1"", ""cycle_2_1""]","[[0, 2, 1], [0, 2, 1], [2, 1, 0], [1, 0, 2]]",3,1.0,1.0
95,3,4,"[0, 1, 2]",identity,1,False,"[""cycle_2_1"", ""cycle_2_1"", ""cycle_2_1"", ""cycle_2_1""]","[[0, 2, 1], [0, 2, 1], [2, 1, 0], [2, 1, 0]]",3,1.0,1.0
96,3,4,"[1, 2, 0]",cycle_3,3,True,"[""cycle_2_1"", ""cycle_2_1"", ""identity"", ""identity""]","[[0, 2, 1], [1, 0, 2], [0, 1, 2], [0, 1, 2]]",3,1.0,1.0
97,3,4,"[2, 1, 0]",cycle_2_1,2,True,"[""cycle_2_1"", ""cycle_2_1"", ""identity"", ""cycle_2_1""]","[[0, 2, 1], [1, 0, 2], [0, 1, 2], [0, 2, 1]]",3,1.0,1.0
98,3,4,"[0, 2, 1]",cycle_2_1,2,True,"[""cycle_2_1"", ""cycle_2_1"", ""identity"", ""cycle_2_1""]","[[0, 2, 1], [1, 0, 2], [0, 1, 2], [1, 0, 2]]",3,1.0,1.0
99,3,4,"[1, 0, 2]",cycle_2_1,2,True,"[""cycle_2_1"", ""cycle_2_1"", ""identity"", ""cycle_2_1""]","[[0, 2, 1], [1, 0, 2], [0, 1, 2], [2, 1, 0]]",3,1.0,1.0
100,3,4,"[2, 1, 0]",cycle_2_1,2,True,"[""cycle_2_1"", ""cycle_2_1"", ""cycle_2_1"", ""identity""]","[[0, 2, 1], [1, 0, 2], [0, 2, 1], [0, 1, 2]]",3,1.0,1.0
101,3,4,"[1, 2, 0]",cycle_3,3,True,"[""cycle_2_1"", ""cycle_2_1"", ""cycle_2_1"", ""cycle_2_1""]","[[0, 2, 1], [1, 0, 2], [0, 2, 1], [0, 2, 1]]",3,1.0,1.0
102,3,4,"[2, 0, 1]",cycle_3,3,True,"[""cycle_2_1"", ""cycle_2_1"", ""cycle_2_1"", ""cycle_2_1""]","[[0, 2, 1], [1, 0, 2], [0, 2, 1], [1, 0, 2]]",3,1.0,1.0
103,3,4,"[0, 1, 2]",identity,1,False,"[""cycle_2_1"", ""cycle_2_1"", ""cycle_2_1"", ""cycle_2_1""]","[[0, 2, 1], [1, 0, 2], [0, 2, 1], [2, 1, 0]]",3,1.0,1.0
104,3,4,"[0, 2, 1]",cycle_2_1,2,True,"[""cycle_2_1"", ""cycle_2_1"", ""cycle_2_1"", ""identity""]","[[0, 2, 1], [1, 0, 2], [1, 0, 2], [0, 1, 2]]",3,1.0,1.0
105,3,4,"[0, 1, 2]",identity,1,False,"[""cycle_2_1"", ""cycle_2_1"", ""cycle_2_1"", ""cycle_2_1""]","[[0, 2, 1], [1, 0, 2], [1, 0, 2], [0, 2, 1]]",3,1.0,1.0
106,3,4,"[1, 2, 0]",cycle_3,3,True,"[""cycle_2_1"", ""cycle_2_1"", ""cycle_2_1"", ""cycle_2_1""]","[[0, 2, 1], [1, 0, 2], [1, 0, 2], [1, 0, 2]]",3,1.0,1.0
107,3,4,"[2, 0, 1]",cycle_3,3,True,"[""cycle_2_1"", ""cycle_2_1"", ""cycle_2_1"", ""cycle_2_1""]","[[0, 2, 1], [1, 0, 2], [1, 0, 2], [2, 1, 0]]",3,1.0,1.0
108,3,4,"[1, 0, 2]",cycle_2_1,2,True,"[""cycle_2_1"", ""cycle_2_1"", ""cycle_2_1"", ""identity""]","[[0, 2, 1], [1, 0, 2], [2, 1, 0], [0, 1, 2]]",3,1.0,1.0
109,3,4,"[2, 0, 1]",cycle_3,3,True,"[""cycle_2_1"", ""cycle_2_1"", ""cycle_2_1"", ""cycle_2_1""]","[[0, 2, 1], [1, 0, 2], [2, 1, 0], [0, 2, 1]]",3,1.0,1.0
110,3,4,"[0, 1, 2]",identity,1,False,"[""cycle_2_1"", ""cycle_2_1"", ""cycle_2_1"", ""cycle_2_1""]","[[0, 2, 1], [1, 0, 2], [2, 1, 0], [1, 0, 2]]",3,1.0,1.0
111,3,4,"[1, 2, 0]",cycle_3,3,True,"[""cycle_2_1"", ""cycle_2_1"", ""cycle_2_1"", ""cycle_2_1""]","[[0, 2, 1], [1, 0, 2], [2, 1, 0], [2, 1, 0]]",3,1.0,1.0
112,3,4,"[2, 0, 1]",cycle_3,3,True,"[""cycle_2_1"", ""cycle_2_1"", ""identity"", ""identity""]","[[0, 2, 1], [2, 1, 0], [0, 1, 2], [0, 1, 2]]",3,1.0,1.0
113,3,4,"[1, 0, 2]",cycle_2_1,2,True,"[""cycle_2_1"", ""cycle_2_1"", ""identity"", ""cycle_2_1""]","[[0, 2, 1], [2, 1, 0], [0, 1, 2], [0, 2, 1]]",3,1.0,1.0
114,3,4,"[2, 1, 0]",cycle_2_1,2,True,"[""cycle_2_1"", ""cycle_2_1"", ""identity"", ""cycle_2_1""]","[[0, 2, 1], [2, 1, 0], [0, 1, 2], [1, 0, 2]]",3,1.0,1.0
115,3,4,"[0, 2, 1]",cycle_2_1,2,True,"[""cycle_2_1"", ""cycle_2_1"", ""identity"", ""cycle_2_1""]","[[0, 2, 1], [2, 1, 0], [0, 1, 2], [2, 1, 0]]",3,1.0,1.0
116,3,4,"[1, 0, 2]",cycle_2_1,2,True,"[""cycle_2_1"", ""cycle_2_1"", ""cycle_2_1"", ""identity""]","[[0, 2, 1], [2, 1, 0], [0, 2, 1], [0, 1, 2]]",3,1.0,1.0
117,3,4,"[2, 0, 1]",cycle_3,3,True,"[""cycle_2_1"", ""cycle_2_1"", ""cycle_2_1"", ""cycle_2_1""]","[[0, 2, 1], [2, 1, 0], [0, 2, 1], [0, 2, 1]]",3,1.0,1.0
118,3,4,"[0, 1, 2]",identity,1,False,"[""cycle_2_1"", ""cycle_2_1"", ""cycle_2_1"", ""cycle_2_1""]","[[0, 2, 1], [2, 1, 0], [0, 2, 1], [1, 0, 2]]",3,1.0,1.0
119,3,4,"[1, 2, 0]",cycle_3,3,True,"[""cycle_2_1"", ""cycle_2_1"", ""cycle_2_1"", ""cycle_2_1""]","[[0, 2, 1], [2, 1, 0], [0, 2, 1], [2, 1, 0]]",3,1.0,1.0
120,3,4,"[2, 1, 0]",cycle_2_1,2,True,"[""cycle_2_1"", ""cycle_2_1"", ""cycle_2_1"", ""identity""]","[[0, 2, 1], [2, 1, 0], [1, 0, 2], [0, 1, 2]]",3,1.0,1.0
121,3,4,"[1, 2, 0]",cycle_3,3,True,"[""cycle_2_1"", ""cycle_2_1"", ""cycle_2_1"", ""cycle_2_1""]","[[0, 2, 1], [2, 1, 0], [1, 0, 2], [0, 2, 1]]",3,1.0,1.0
122,3,4,"[2, 0, 1]",cycle_3,3,True,"[""cycle_2_1"", ""cycle_2_1"", ""cycle_2_1"", ""cycle_2_1""]","[[0, 2, 1], [2, 1, 0], [1, 0, 2], [1, 0, 2]]",3,1.0,1.0
123,3,4,"[0, 1, 2]",identity,1,False,"[""cycle_2_1"", ""cycle_2_1"", ""cycle_2_1"", ""cycle_2_1""]","[[0, 2, 1], [2, 1, 0], [1, 0, 2], [2, 1, 0]]",3,1.0,1.0
124,3,4,"[0, 2, 1]",cycle_2_1,2,True,"[""cycle_2_1"", ""cycle_2_1"", ""cycle_2_1"", ""identity""]","[[0, 2, 1], [2, 1, 0], [2, 1, 0], [0, 1, 2]]",3,1.0,1.0
125,3,4,"[0, 1, 2]",identity,1,False,"[""cycle_2_1"", ""cycle_2_1"", ""cycle_2_1"", ""cycle_2_1""]","[[0, 2, 1], [2, 1, 0], [2, 1, 0], [0, 2, 1]]",3,1.0,1.0
126,3,4,"[1, 2, 0]",cycle_3,3,True,"[""cycle_2_1"", ""cycle_2_1"", ""cycle_2_1"", ""cycle_2_1""]","[[0, 2, 1], [2, 1, 0], [2, 1, 0], [1, 0, 2]]",3,1.0,1.0
127,3,4,"[2, 0, 1]",cycle_3,3,True,"[""cycle_2_1"", ""cycle_2_1"", ""cycle_2_1"", ""cycle_2_1""]","[[0, 2, 1], [2, 1, 0], [2, 1, 0], [2, 1, 0]]",3,1.0,1.0
128,3,4,"[1, 0, 2]",cycle_2_1,2,True,"[""cycle_2_1"", ""identity"", ""identity"", ""identity""]","[[1, 0, 2], [0, 1, 2], [0, 1, 2], [0, 1, 2]]",3,1.0,1.0
129,3,4,"[2, 0, 1]",cycle_3,3,True,"[""cycle_2_1"", ""identity"", ""identity"", ""cycle_2_1""]","[[1, 0, 2], [0, 1, 2], [0, 1, 2], [0, 2, 1]]",3,1.0,1.0
130,3,4,"[0, 1, 2]",identity,1,False,"[""cycle_2_1"", ""identity"", ""identity"", ""cycle_2_1""]","[[1, 0, 2], [0, 1, 2], [0, 1, 2], [1, 0, 2]]",3,1.0,1.0
131,3,4,"[1, 2, 0]",cycle_3,3,True,"[""cycle_2_1"", ""identity"", ""identity"", ""cycle_2_1""]","[[1, 0, 2], [0, 1, 2], [0, 1, 2], [2, 1, 0]]",3,1.0,1.0
132,3,4,"[2, 0, 1]",cycle_3,3,True,"[""cycle_2_1"", ""identity"", ""cycle_2_1"", ""identity""]","[[1, 0, 2], [0, 1, 2], [0, 2, 1], [0, 1, 2]]",3,1.0,1.0
133,3,4,"[1, 0, 2]",cycle_2_1,2,True,"[""cycle_2_1"", ""identity"", ""cycle_2_1"", ""cycle_2_1""]","[[1, 0, 2], [0, 1, 2], [0, 2, 1], [0, 2, 1]]",3,1.0,1.0
134,3,4,"[2, 1, 0]",cycle_2_1,2,True,"[""cycle_2_1"", ""identity"", ""cycle_2_1"", ""cycle_2_1""]","[[1, 0, 2], [0, 1, 2], [0, 2, 1], [1, 0, 2]]",3,1.0,1.0
135,3,4,"[0, 2, 1]",cycle_2_1,2,True,"[""cycle_2_1"", ""identity"", ""cycle_2_1"", ""cycle_2_1""]","[[1, 0, 2], [0, 1, 2], [0, 2, 1], [2, 1, 0]]",3,1.0,1.0
136,3,4,"[0, 1, 2]",identity,1,False,"[""cycle_2_1"", ""identity"", ""cycle_2_1"", ""identity""]","[[1, 0, 2], [0, 1, 2], [1, 0, 2], [0, 1, 2]]",3,1.0,1.0
137,3,4,"[0, 2, 1]",cycle_2_1,2,True,"[""cycle_2_1"", ""identity"", ""cycle_2_1"", ""cycle_2_1""]","[[1, 0, 2], [0, 1, 2], [1, 0, 2], [0, 2, 1]]",3,1.0,1.0
138,3,4,"[1, 0, 2]",cycle_2_1,2,True,"[""cycle_2_1"", ""identity"", ""cycle_2_1"", ""cycle_2_1""]","[[1, 0, 2], [0, 1, 2], [1, 0, 2], [1, 0, 2]]",3,1.0,1.0
139,3,4,"[2, 1, 0]",cycle_2_1,2,True,"[""cycle_2_1"", ""identity"", ""cycle_2_1"", ""cycle_2_1""]","[[1, 0, 2], [0, 1, 2], [1, 0, 2], [2, 1, 0]]",3,1.0,1.0
140,3,4,"[1, 2, 0]",cycle_3,3,True,"[""cycle_2_1"", ""identity"", ""cycle_2_1"", ""identity""]","[[1, 0, 2], [0, 1, 2], [2, 1, 0], [0, 1, 2]]",3,1.0,1.0
141,3,4,"[2, 1, 0]",cycle_2_1,2,True,"[""cycle_2_1"", ""identity"", ""cycle_2_1"", ""cycle_2_1""]","[[1, 0, 2], [0, 1, 2], [2, 1, 0], [0, 2, 1]]",3,1.0,1.0
142,3,4,"[0, 2, 1]",cycle_2_1,2,True,"[""cycle_2_1"", ""identity"", ""cycle_2_1"", ""cycle_2_1""]","[[1, 0, 2], [0, 1, 2], [2, 1, 0], [1, 0, 2]]",3,1.0,1.0
143,3,4,"[1, 0, 2]",cycle_2_1,2,True,"[""cycle_2_1"", ""identity"", ""cycle_2_1"", ""cycle_2_1""]","[[1, 0, 2], [0, 1, 2], [2, 1, 0], [2, 1, 0]]",3,1.0,1.0
144,3,4,"[2, 0, 1]",cycle_3,3,True,"[""cycle_2_1"", ""cycle_2_1"", ""identity"", ""identity""]","[[1, 0, 2], [0, 2, 1], [0, 1, 2], [0, 1, 2]]",3,1.0,1.0
145,3,4,"[1, 0, 2]",cycle_2_1,2,True,"[""cycle_2_1"", ""cycle_2_1"", ""identity"", ""cycle_2_1""]","[[1, 0, 2], [0, 2, 1], [0, 1, 2], [0, 2, 1]]",3,1.0,1.0
146,3,4,"[2, 1, 0]",cycle_2_1,2,True,"[""cycle_2_1"", ""cycle_2_1"", ""identity"", ""cycle_2_1""]","[[1, 0, 2], [0, 2, 1], [0, 1, 2], [1, 0, 2]]",3,1.0,1.0
147,3,4,"[0, 2, 1]",cycle_2_1,2,True,"[""cycle_2_1"", ""cycle_2_1"", ""identity"", ""cycle_2_1""]","[[1, 0, 2], [0, 2, 1], [0, 1, 2], [2, 1, 0]]",3,1.0,1.0
148,3,4,"[1, 0, 2]",cycle_2_1,2,True,"[""cycle_2_1"", ""cycle_2_1"", ""cycle_2_1"", ""identity""]","[[1, 0, 2], [0, 2, 1], [0, 2, 1], [0, 1, 2]]",3,1.0,1.0
149,3,4,"[2, 0, 1]",cycle_3,3,True,"[""cycle_2_1"", ""cycle_2_1"", ""cycle_2_1"", ""cycle_2_1""]","[[1, 0, 2], [0, 2, 1], [0, 2, 1], [0, 2, 1]]",3,1.0,1.0
150,3,4,"[0, 1, 2]",identity,1,False,"[""cycle_2_1"", ""cycle_2_1"", ""cycle_2_1"", ""cycle_2_1""]","[[1, 0, 2], [0, 2, 1], [0, 2, 1], [1, 0, 2]]",3,1.0,1.0
151,3,4,"[1, 2, 0]",cycle_3,3,True,"[""cycle_2_1"", ""cycle_2_1"", ""cycle_2_1"", ""cycle_2_1""]","[[1, 0, 2], [0, 2, 1], [0, 2, 1], [2, 1, 0]]",3,1.0,1.0
152,3,4,"[2, 1, 0]",cycle_2_1,2,True,"[""cycle_2_1"", ""cycle_2_1"", ""cycle_2_1"", ""identity""]","[[1, 0, 2], [0, 2, 1], [1, 0, 2], [0, 1, 2]]",3,1.0,1.0
153,3,4,"[1, 2, 0]",cycle_3,3,True,"[""cycle_2_1"", ""cycle_2_1"", ""cycle_2_1"", ""cycle_2_1""]","[[1, 0, 2], [0, 2, 1], [1, 0, 2], [0, 2, 1]]",3,1.0,1.0
154,3,4,"[2, 0, 1]",cycle_3,3,True,"[""cycle_2_1"", ""cycle_2_1"", ""cycle_2_1"", ""cycle_2_1""]","[[1, 0, 2], [0, 2, 1], [1, 0, 2], [1, 0, 2]]",3,1.0,1.0
155,3,4,"[0, 1, 2]",identity,1,False,"[""cycle_2_1"", ""cycle_2_1"", ""cycle_2_1"", ""cycle_2_1""]","[[1, 0, 2], [0, 2, 1], [1, 0, 2], [2, 1, 0]]",3,1.0,1.0
156,3,4,"[0, 2, 1]",cycle_2_1,2,True,"[""cycle_2_1"", ""cycle_2_1"", ""cycle_2_1"", ""identity""]","[[1, 0, 2], [0, 2, 1], [2, 1, 0], [0, 1, 2]]",3,1.0,1.0
157,3,4,"[0, 1, 2]",identity,1,False,"[""cycle_2_1"", ""cycle_2_1"", ""cycle_2_1"", ""cycle_2_1""]","[[1, 0, 2], [0, 2, 1], [2, 1, 0], [0, 2, 1]]",3,1.0,1.0
158,3,4,"[1, 2, 0]",cycle_3,3,True,"[""cycle_2_1"", ""cycle_2_1"", ""cycle_2_1"", ""cycle_2_1""]","[[1, 0, 2], [0, 2, 1], [2, 1, 0], [1, 0, 2]]",3,1.0,1.0
159,3,4,"[2, 0, 1]",cycle_3,3,True,"[""cycle_2_1"", ""cycle_2_1"", ""cycle_2_1"", ""cycle_2_1""]","[[1, 0, 2], [0, 2, 1], [2, 1, 0], [2, 1, 0]]",3,1.0,1.0
160,3,4,"[0, 1, 2]",identity,1,False,"[""cycle_2_1"", ""cycle_2_1"", ""identity"", ""identity""]","[[1, 0, 2], [1, 0, 2], [0, 1, 2], [0, 1, 2]]",3,1.0,1.0
161,3,4,"[0, 2, 1]",cycle_2_1,2,True,"[""cycle_2_1"", ""cycle_2_1"", ""identity"", ""cycle_2_1""]","[[1, 0, 2], [1, 0, 2], [0, 1, 2], [0, 2, 1]]",3,1.0,1.0
162,3,4,"[1, 0, 2]",cycle_2_1,2,True,"[""cycle_2_1"", ""cycle_2_1"", ""identity"", ""cycle_2_1""]","[[1, 0, 2], [1, 0, 2], [0, 1, 2], [1, 0, 2]]",3,1.0,1.0
163,3,4,"[2, 1, 0]",cycle_2_1,2,True,"[""cycle_2_1"", ""cycle_2_1"", ""identity"", ""cycle_2_1""]","[[1, 0, 2], [1, 0, 2], [0, 1, 2], [2, 1, 0]]",3,1.0,1.0
164,3,4,"[0, 2, 1]",cycle_2_1,2,True,"[""cycle_2_1"", ""cycle_2_1"", ""cycle_2_1"", ""identity""]","[[1, 0, 2], [1, 0, 2], [0, 2, 1], [0, 1, 2]]",3,1.0,1.0
165,3,4,"[0, 1, 2]",identity,1,False,"[""cycle_2_1"", ""cycle_2_1"", ""cycle_2_1"", ""cycle_2_1""]","[[1, 0, 2], [1, 0, 2], [0, 2, 1], [0, 2, 1]]",3,1.0,1.0
166,3,4,"[1, 2, 0]",cycle_3,3,True,"[""cycle_2_1"", ""cycle_2_1"", ""cycle_2_1"", ""cycle_2_1""]","[[1, 0, 2], [1, 0, 2], [0, 2, 1], [1, 0, 2]]",3,1.0,1.0
167,3,4,"[2, 0, 1]",cycle_3,3,True,"[""cycle_2_1"", ""cycle_2_1"", ""cycle_2_1"", ""cycle_2_1""]","[[1, 0, 2], [1, 0, 2], [0, 2, 1], [2, 1, 0]]",3,1.0,1.0
168,3,4,"[1, 0, 2]",cycle_2_1,2,True,"[""cycle_2_1"", ""cycle_2_1"", ""cycle_2_1"", ""identity""]","[[1, 0, 2], [1, 0, 2], [1, 0, 2], [0, 1, 2]]",3,1.0,1.0
169,3,4,"[2, 0, 1]",cycle_3,3,True,"[""cycle_2_1"", ""cycle_2_1"", ""cycle_2_1"", ""cycle_2_1""]","[[1, 0, 2], [1, 0, 2], [1, 0, 2], [0, 2, 1]]",3,1.0,1.0
170,3,4,"[0, 1, 2]",identity,1,False,"[""cycle_2_1"", ""cycle_2_1"", ""cycle_2_1"", ""cycle_2_1""]","[[1, 0, 2], [1, 0, 2], [1, 0, 2], [1, 0, 2]]",3,1.0,1.0
171,3,4,"[1, 2, 0]",cycle_3,3,True,"[""cycle_2_1"", ""cycle_2_1"", ""cycle_2_1"", ""cycle_2_1""]","[[1, 0, 2], [1, 0, 2], [1, 0, 2], [2, 1, 0]]",3,1.0,1.0
172,3,4,"[2, 1, 0]",cycle_2_1,2,True,"[""cycle_2_1"", ""cycle_2_1"", ""cycle_2_1"", ""identity""]","[[1, 0, 2], [1, 0, 2], [2, 1, 0], [0, 1, 2]]",3,1.0,1.0
173,3,4,"[1, 2, 0]",cycle_3,3,True,"[""cycle_2_1"", ""cycle_2_1"", ""cycle_2_1"", ""cycle_2_1""]","[[1, 0, 2], [1, 0, 2], [2, 1, 0], [0, 2, 1]]",3,1.0,1.0
174,3,4,"[2, 0, 1]",cycle_3,3,True,"[""cycle_2_1"", ""cycle_2_1"", ""cycle_2_1"", ""cycle_2_1""]","[[1, 0, 2], [1, 0, 2], [2, 1, 0], [1, 0, 2]]",3,1.0,1.0
175,3,4,"[0, 1, 2]",identity,1,False,"[""cycle_2_1"", ""cycle_2_1"", ""cycle_2_1"", ""cycle_2_1""]","[[1, 0, 2], [1, 0, 2], [2, 1, 0], [2, 1, 0]]",3,1.0,1.0
176,3,4,"[1, 2, 0]",cycle_3,3,True,"[""cycle_2_1"", ""cycle_2_1"", ""identity"", ""identity""]","[[1, 0, 2], [2, 1, 0], [0, 1, 2], [0, 1, 2]]",3,1.0,1.0
177,3,4,"[2, 1, 0]",cycle_2_1,2,True,"[""cycle_2_1"", ""cycle_2_1"", ""identity"", ""cycle_2_1""]","[[1, 0, 2], [2, 1, 0], [0, 1, 2], [0, 2, 1]]",3,1.0,1.0
178,3,4,"[0, 2, 1]",cycle_2_1,2,True,"[""cycle_2_1"", ""cycle_2_1"", ""identity"", ""cycle_2_1""]","[[1, 0, 2], [2, 1, 0], [0, 1, 2], [1, 0, 2]]",3,1.0,1.0
179,3,4,"[1, 0, 2]",cycle_2_1,2,True,"[""cycle_2_1"", ""cycle_2_1"", ""identity"", ""cycle_2_1""]","[[1, 0, 2], [2, 1, 0], [0, 1, 2], [2, 1, 0]]",3,1.0,1.0
180,3,4,"[2, 1, 0]",cycle_2_1,2,True,"[""cycle_2_1"", ""cycle_2_1"", ""cycle_2_1"", ""identity""]","[[1, 0, 2], [2, 1, 0], [0, 2, 1], [0, 1, 2]]",3,1.0,1.0
181,3,4,"[1, 2, 0]",cycle_3,3,True,"[""cycle_2_1"", ""cycle_2_1"", ""cycle_2_1"", ""cycle_2_1""]","[[1, 0, 2], [2, 1, 0], [0, 2, 1], [0, 2, 1]]",3,1.0,1.0
182,3,4,"[2, 0, 1]",cycle_3,3,True,"[""cycle_2_1"", ""cycle_2_1"", ""cycle_2_1"", ""cycle_2_1""]","[[1, 0, 2], [2, 1, 0], [0, 2, 1], [1, 0, 2]]",3,1.0,1.0
183,3,4,"[0, 1, 2]",identity,1,False,"[""cycle_2_1"", ""cycle_2_1"", ""cycle_2_1"", ""cycle_2_1""]","[[1, 0, 2], [2, 1, 0], [0, 2, 1], [2, 1, 0]]",3,1.0,1.0
184,3,4,"[0, 2, 1]",cycle_2_1,2,True,"[""cycle_2_1"", ""cycle_2_1"", ""cycle_2_1"", ""identity""]","[[1, 0, 2], [2, 1, 0], [1, 0, 2], [0, 1, 2]]",3,1.0,1.0
185,3,4,"[0, 1, 2]",identity,1,False,"[""cycle_2_1"", ""cycle_2_1"", ""cycle_2_1"", ""cycle_2_1""]","[[1, 0, 2], [2, 1, 0], [1, 0, 2], [0, 2, 1]]",3,1.0,1.0
