loop_index,n,loop_length,holonomy_json,holonomy_type,holonomy_order,nontrivial,edge_types_json,edges_json,gauge_trials,gauge_covariance_success,conjugacy_class_success
234,3,4,"[2, 0, 1]",cycle_3,3,True,"[""cycle_2_1"", ""cycle_2_1"", ""cycle_2_1"", ""cycle_2_1""]","[[2, 1, 0], [1, 0, 2], [1, 0, 2], [1, 0, 2]]",3,1.0,1.0
235,3,4,"[0, 1, 2]",identity,1,False,"[""cycle_2_1"", ""cycle_2_1"", ""cycle_2_1"", ""cycle_2_1""]","[[2, 1, 0], [1, 0, 2], [1, 0, 2], [2, 1, 0]]",3,1.0,1.0
236,3,4,"[0, 2, 1]",cycle_2_1,2,True,"[""cycle_2_1"", ""cycle_2_1"", ""cycle_2_1"", ""identity""]","[[2, 1, 0], [1, 0, 2], [2, 1, 0], [0, 1, 2]]",3,1.0,1.0
237,3,4,"[0, 1, 2]",identity,1,False,"[""cycle_2_1"", ""cycle_2_1"", ""cycle_2_1"", ""cycle_2_1""]","[[2, 1, 0], [1, 0, 2], [2, 1, 0], [0, 2, 1]]",3,1.0,1.0
238,3,4,"[1, 2, 0]",cycle_3,3,True,"[""cycle_2_1"", ""cycle_2_1"", ""cycle_2_1"", ""cycle_2_1""]","[[2, 1, 0], [1, 0, 2], [2, 1, 0], [1, 0, 2]]",3,1.0,1.0
239,3,4,"[2, 0, 1]",cycle_3,3,True,"[""cycle_2_1"", ""cycle_2_1"", ""cycle_2_1"", ""cycle_2_1""]","[[2, 1, 0], [1, 0, 2], [2, 1, 0], [2, 1, 0]]",3,1.0,1.0
240,3,4,"[0, 1, 2]",identity,1,False,"[""cycle_2_1"", ""cycle_2_1"", ""identity"", ""identity""]","[[2, 1, 0], [2, 1, 0], [0, 1, 2], [0, 1, 2]]",3,1.0,1.0
241,3,4,"[0, 2, 1]",cycle_2_1,2,True,"[""cycle_2_1"", ""cycle_2_1"", ""identity"", ""cycle_2_1""]","[[2, 1, 0], [2, 1, 0], [0, 1, 2], [0, 2, 1]]",3,1.0,1.0
242,3,4,"[1, 0, 2]",cycle_2_1,2,True,"[""cycle_2_1"", ""cycle_2_1"", ""identity"", ""cycle_2_1""]","[[2, 1, 0], [2, 1, 0], [0, 1, 2], [1, 0, 2]]",3,1.0,1.0
243,3,4,"[2, 1, 0]",cycle_2_1,2,True,"[""cycle_2_1"", ""cycle_2_1"", ""identity"", ""cycle_2_1""]","[[2, 1, 0], [2, 1, 0], [0, 1, 2], [2, 1, 0]]",3,1.0,1.0
244,3,4,"[0, 2, 1]",cycle_2_1,2,True,"[""cycle_2_1"", ""cycle_2_1"", ""cycle_2_1"", ""identity""]","[[2, 1, 0], [2, 1, 0], [0, 2, 1], [0, 1, 2]]",3,1.0,1.0
245,3,4,"[0, 1, 2]",identity,1,False,"[""cycle_2_1"", ""cycle_2_1"", ""cycle_2_1"", ""cycle_2_1""]","[[2, 1, 0], [2, 1, 0], [0, 2, 1], [0, 2, 1]]",3,1.0,1.0
246,3,4,"[1, 2, 0]",cycle_3,3,True,"[""cycle_2_1"", ""cycle_2_1"", ""cycle_2_1"", ""cycle_2_1""]","[[2, 1, 0], [2, 1, 0], [0, 2, 1], [1, 0, 2]]",3,1.0,1.0
247,3,4,"[2, 0, 1]",cycle_3,3,True,"[""cycle_2_1"", ""cycle_2_1"", ""cycle_2_1"", ""cycle_2_1""]","[[2, 1, 0], [2, 1, 0], [0, 2, 1], [2, 1, 0]]",3,1.0,1.0
248,3,4,"[1, 0, 2]",cycle_2_1,2,True,"[""cycle_2_1"", ""cycle_2_1"", ""cycle_2_1"", ""identity""]","[[2, 1, 0], [2, 1, 0], [1, 0, 2], [0, 1, 2]]",3,1.0,1.0
249,3,4,"[2, 0, 1]",cycle_3,3,True,"[""cycle_2_1"", ""cycle_2_1"", ""cycle_2_1"", ""cycle_2_1""]","[[2, 1, 0], [2, 1, 0], [1, 0, 2], [0, 2, 1]]",3,1.0,1.0
250,3,4,"[0, 1, 2]",identity,1,False,"[""cycle_2_1"", ""cycle_2_1"", ""cycle_2_1"", ""cycle_2_1""]","[[2, 1, 0], [2, 1, 0], [1, 0, 2], [1, 0, 2]]",3,1.0,1.0
251,3,4,"[1, 2, 0]",cycle_3,3,True,"[""cycle_2_1"", ""cycle_2_1"", ""cycle_2_1"", ""cycle_2_1""]","[[2, 1, 0], [2, 1, 0], [1, 0, 2], [2, 1, 0]]",3,1.0,1.0
252,3,4,"[2, 1, 0]",cycle_2_1,2,True,"[""cycle_2_1"", ""cycle_2_1"", ""cycle_2_1"", ""identity""]","[[2, 1, 0], [2, 1, 0], [2, 1, 0], [0, 1, 2]]",3,1.0,1.0
253,3,4,"[1, 2, 0]",cycle_3,3,True,"[""cycle_2_1"", ""cycle_2_1"", ""cycle_2_1"", ""cycle_2_1""]","[[2, 1, 0], [2, 1, 0], [2, 1, 0], [0, 2, 1]]",3,1.0,1.0
254,3,4,"[2, 0, 1]",cycle_3,3,True,"[""cycle_2_1"", ""cycle_2_1"", ""cycle_2_1"", ""cycle_2_1""]","[[2, 1, 0], [2, 1, 0], [2, 1, 0], [1, 0, 2]]",3,1.0,1.0
255,3,4,"[0, 1, 2]",identity,1,False,"[""cycle_2_1"", ""cycle_2_1"", ""cycle_2_1"", ""cycle_2_1""]","[[2, 1, 0], [2, 1, 0], [2, 1, 0], [2, 1, 0]]",3,1.0,1.0
