all_edges_selected,same_label_cardinality,edge_selected_json,edge_types_json,edge_perms_json,min_edge_transport,min_edge_source,min_edge_accuracy,min_edge_residual,label_cardinality,AB_selected,AB_type,AB_transport,AB_source,AB_accuracy,AB_s1_residual,AB_s2_residual,BD_selected,BD_type,BD_transport,BD_source,BD_accuracy,BD_s1_residual,BD_s2_residual,AC_selected,AC_type,AC_transport,AC_source,AC_accuracy,AC_s1_residual,AC_s2_residual,CD_selected,CD_type,CD_transport,CD_source,CD_accuracy,CD_s1_residual,CD_s2_residual,path_holonomy_valid,top_json,bottom_json,delta_json,delta_type,delta_order,nontrivial_path_holonomy,gauge_trials,gauge_covariance_success,conjugacy_class_success,generated_group_name,generated_group_order,generated_group_abelian,generated_group_cyclic,generated_group_transitive,group_elements_json,q,kB,kM,kA,w,edge_ensemble,mutation_rate,instance,seed
True,True,"{""AB"": true, ""BD"": true, ""AC"": true, ""CD"": true}","{""AB"": ""identity"", ""BD"": ""identity"", ""AC"": ""identity"", ""CD"": ""identity""}","{""AB"": [0, 1, 2, 3], ""BD"": [0, 1, 2, 3], ""AC"": [0, 1, 2, 3], ""CD"": [0, 1, 2, 3]}",1.0,1.0,1.0,1.0,4,True,identity,1.0,1.0,1.0,1.0,1.0,True,identity,1.0,1.0,1.0,1.0,1.0,True,identity,1.0,1.0,1.0,1.0,1.0,True,identity,1.0,1.0,1.0,1.0,1.0,True,"[0, 1, 2, 3]","[0, 1, 2, 3]","[0, 1, 2, 3]",identity,1,False,10.0,1.0,1.0,trivial,1,True,True,False,"[[0, 1, 2, 3]]",4,2,2,2,1,copy,0.0,10,76120
True,True,"{""AB"": true, ""BD"": true, ""AC"": true, ""CD"": true}","{""AB"": ""identity"", ""BD"": ""identity"", ""AC"": ""identity"", ""CD"": ""identity""}","{""AB"": [0, 1, 2, 3], ""BD"": [0, 1, 2, 3], ""AC"": [0, 1, 2, 3], ""CD"": [0, 1, 2, 3]}",1.0,1.0,1.0,1.0,4,True,identity,1.0,1.0,1.0,1.0,1.0,True,identity,1.0,1.0,1.0,1.0,1.0,True,identity,1.0,1.0,1.0,1.0,1.0,True,identity,1.0,1.0,1.0,1.0,1.0,True,"[0, 1, 2, 3]","[0, 1, 2, 3]","[0, 1, 2, 3]",identity,1,False,10.0,1.0,1.0,trivial,1,True,True,False,"[[0, 1, 2, 3]]",4,2,2,2,1,copy,0.0,11,76121
True,True,"{""AB"": true, ""BD"": true, ""AC"": true, ""CD"": true}","{""AB"": ""identity"", ""BD"": ""identity"", ""AC"": ""identity"", ""CD"": ""identity""}","{""AB"": [0, 1, 2, 3], ""BD"": [0, 1, 2, 3], ""AC"": [0, 1, 2, 3], ""CD"": [0, 1, 2, 3]}",1.0,1.0,1.0,1.0,4,True,identity,1.0,1.0,1.0,1.0,1.0,True,identity,1.0,1.0,1.0,1.0,1.0,True,identity,1.0,1.0,1.0,1.0,1.0,True,identity,1.0,1.0,1.0,1.0,1.0,True,"[0, 1, 2, 3]","[0, 1, 2, 3]","[0, 1, 2, 3]",identity,1,False,10.0,1.0,1.0,trivial,1,True,True,False,"[[0, 1, 2, 3]]",4,2,2,2,1,copy,0.0,12,76122
True,True,"{""AB"": true, ""BD"": true, ""AC"": true, ""CD"": true}","{""AB"": ""identity"", ""BD"": ""identity"", ""AC"": ""identity"", ""CD"": ""identity""}","{""AB"": [0, 1, 2, 3], ""BD"": [0, 1, 2, 3], ""AC"": [0, 1, 2, 3], ""CD"": [0, 1, 2, 3]}",1.0,1.0,1.0,1.0,4,True,identity,1.0,1.0,1.0,1.0,1.0,True,identity,1.0,1.0,1.0,1.0,1.0,True,identity,1.0,1.0,1.0,1.0,1.0,True,identity,1.0,1.0,1.0,1.0,1.0,True,"[0, 1, 2, 3]","[0, 1, 2, 3]","[0, 1, 2, 3]",identity,1,False,10.0,1.0,1.0,trivial,1,True,True,False,"[[0, 1, 2, 3]]",4,2,2,2,1,copy,0.0,13,76123
True,True,"{""AB"": true, ""BD"": true, ""AC"": true, ""CD"": true}","{""AB"": ""identity"", ""BD"": ""identity"", ""AC"": ""identity"", ""CD"": ""identity""}","{""AB"": [0, 1, 2, 3], ""BD"": [0, 1, 2, 3], ""AC"": [0, 1, 2, 3], ""CD"": [0, 1, 2, 3]}",1.0,1.0,1.0,1.0,4,True,identity,1.0,1.0,1.0,1.0,1.0,True,identity,1.0,1.0,1.0,1.0,1.0,True,identity,1.0,1.0,1.0,1.0,1.0,True,identity,1.0,1.0,1.0,1.0,1.0,True,"[0, 1, 2, 3]","[0, 1, 2, 3]","[0, 1, 2, 3]",identity,1,False,10.0,1.0,1.0,trivial,1,True,True,False,"[[0, 1, 2, 3]]",4,2,2,2,1,copy,0.0,14,76124
True,True,"{""AB"": true, ""BD"": true, ""AC"": true, ""CD"": true}","{""AB"": ""identity"", ""BD"": ""identity"", ""AC"": ""identity"", ""CD"": ""identity""}","{""AB"": [0, 1, 2, 3], ""BD"": [0, 1, 2, 3], ""AC"": [0, 1, 2, 3], ""CD"": [0, 1, 2, 3]}",1.0,1.0,1.0,1.0,4,True,identity,1.0,1.0,1.0,1.0,1.0,True,identity,1.0,1.0,1.0,1.0,1.0,True,identity,1.0,1.0,1.0,1.0,1.0,True,identity,1.0,1.0,1.0,1.0,1.0,True,"[0, 1, 2, 3]","[0, 1, 2, 3]","[0, 1, 2, 3]",identity,1,False,10.0,1.0,1.0,trivial,1,True,True,False,"[[0, 1, 2, 3]]",4,2,2,2,1,copy,0.0,15,76125
True,True,"{""AB"": true, ""BD"": true, ""AC"": true, ""CD"": true}","{""AB"": ""identity"", ""BD"": ""identity"", ""AC"": ""identity"", ""CD"": ""identity""}","{""AB"": [0, 1, 2, 3], ""BD"": [0, 1, 2, 3], ""AC"": [0, 1, 2, 3], ""CD"": [0, 1, 2, 3]}",1.0,1.0,1.0,1.0,4,True,identity,1.0,1.0,1.0,1.0,1.0,True,identity,1.0,1.0,1.0,1.0,1.0,True,identity,1.0,1.0,1.0,1.0,1.0,True,identity,1.0,1.0,1.0,1.0,1.0,True,"[0, 1, 2, 3]","[0, 1, 2, 3]","[0, 1, 2, 3]",identity,1,False,10.0,1.0,1.0,trivial,1,True,True,False,"[[0, 1, 2, 3]]",4,2,2,2,1,copy,0.0,16,76126
True,True,"{""AB"": true, ""BD"": true, ""AC"": true, ""CD"": true}","{""AB"": ""identity"", ""BD"": ""identity"", ""AC"": ""identity"", ""CD"": ""identity""}","{""AB"": [0, 1, 2, 3], ""BD"": [0, 1, 2, 3], ""AC"": [0, 1, 2, 3], ""CD"": [0, 1, 2, 3]}",1.0,1.0,1.0,1.0,4,True,identity,1.0,1.0,1.0,1.0,1.0,True,identity,1.0,1.0,1.0,1.0,1.0,True,identity,1.0,1.0,1.0,1.0,1.0,True,identity,1.0,1.0,1.0,1.0,1.0,True,"[0, 1, 2, 3]","[0, 1, 2, 3]","[0, 1, 2, 3]",identity,1,False,10.0,1.0,1.0,trivial,1,True,True,False,"[[0, 1, 2, 3]]",4,2,2,2,1,copy,0.0,17,76127
True,True,"{""AB"": true, ""BD"": true, ""AC"": true, ""CD"": true}","{""AB"": ""identity"", ""BD"": ""identity"", ""AC"": ""identity"", ""CD"": ""identity""}","{""AB"": [0, 1, 2, 3], ""BD"": [0, 1, 2, 3], ""AC"": [0, 1, 2, 3], ""CD"": [0, 1, 2, 3]}",1.0,1.0,1.0,1.0,4,True,identity,1.0,1.0,1.0,1.0,1.0,True,identity,1.0,1.0,1.0,1.0,1.0,True,identity,1.0,1.0,1.0,1.0,1.0,True,identity,1.0,1.0,1.0,1.0,1.0,True,"[0, 1, 2, 3]","[0, 1, 2, 3]","[0, 1, 2, 3]",identity,1,False,10.0,1.0,1.0,trivial,1,True,True,False,"[[0, 1, 2, 3]]",4,2,2,2,1,copy,0.0,18,76128
True,True,"{""AB"": true, ""BD"": true, ""AC"": true, ""CD"": true}","{""AB"": ""identity"", ""BD"": ""identity"", ""AC"": ""identity"", ""CD"": ""identity""}","{""AB"": [0, 1, 2, 3], ""BD"": [0, 1, 2, 3], ""AC"": [0, 1, 2, 3], ""CD"": [0, 1, 2, 3]}",1.0,1.0,1.0,1.0,4,True,identity,1.0,1.0,1.0,1.0,1.0,True,identity,1.0,1.0,1.0,1.0,1.0,True,identity,1.0,1.0,1.0,1.0,1.0,True,identity,1.0,1.0,1.0,1.0,1.0,True,"[0, 1, 2, 3]","[0, 1, 2, 3]","[0, 1, 2, 3]",identity,1,False,10.0,1.0,1.0,trivial,1,True,True,False,"[[0, 1, 2, 3]]",4,2,2,2,1,copy,0.0,19,76129
True,True,"{""AB"": true, ""BD"": true, ""AC"": true, ""CD"": true}","{""AB"": ""identity"", ""BD"": ""identity"", ""AC"": ""identity"", ""CD"": ""identity""}","{""AB"": [0, 1, 2, 3], ""BD"": [0, 1, 2, 3], ""AC"": [0, 1, 2, 3], ""CD"": [0, 1, 2, 3]}",1.0,1.0,1.0,1.0,4,True,identity,1.0,1.0,1.0,1.0,1.0,True,identity,1.0,1.0,1.0,1.0,1.0,True,identity,1.0,1.0,1.0,1.0,1.0,True,identity,1.0,1.0,1.0,1.0,1.0,True,"[0, 1, 2, 3]","[0, 1, 2, 3]","[0, 1, 2, 3]",identity,1,False,10.0,1.0,1.0,trivial,1,True,True,False,"[[0, 1, 2, 3]]",4,2,2,2,1,copy,0.0,20,76130
True,True,"{""AB"": true, ""BD"": true, ""AC"": true, ""CD"": true}","{""AB"": ""identity"", ""BD"": ""identity"", ""AC"": ""identity"", ""CD"": ""identity""}","{""AB"": [0, 1, 2, 3], ""BD"": [0, 1, 2, 3], ""AC"": [0, 1, 2, 3], ""CD"": [0, 1, 2, 3]}",1.0,1.0,1.0,1.0,4,True,identity,1.0,1.0,1.0,1.0,1.0,True,identity,1.0,1.0,1.0,1.0,1.0,True,identity,1.0,1.0,1.0,1.0,1.0,True,identity,1.0,1.0,1.0,1.0,1.0,True,"[0, 1, 2, 3]","[0, 1, 2, 3]","[0, 1, 2, 3]",identity,1,False,10.0,1.0,1.0,trivial,1,True,True,False,"[[0, 1, 2, 3]]",4,2,2,2,1,copy,0.0,21,76131
True,True,"{""AB"": true, ""BD"": true, ""AC"": true, ""CD"": true}","{""AB"": ""identity"", ""BD"": ""identity"", ""AC"": ""identity"", ""CD"": ""identity""}","{""AB"": [0, 1, 2, 3], ""BD"": [0, 1, 2, 3], ""AC"": [0, 1, 2, 3], ""CD"": [0, 1, 2, 3]}",1.0,1.0,1.0,1.0,4,True,identity,1.0,1.0,1.0,1.0,1.0,True,identity,1.0,1.0,1.0,1.0,1.0,True,identity,1.0,1.0,1.0,1.0,1.0,True,identity,1.0,1.0,1.0,1.0,1.0,True,"[0, 1, 2, 3]","[0, 1, 2, 3]","[0, 1, 2, 3]",identity,1,False,10.0,1.0,1.0,trivial,1,True,True,False,"[[0, 1, 2, 3]]",4,2,2,2,1,copy,0.0,22,76132
True,True,"{""AB"": true, ""BD"": true, ""AC"": true, ""CD"": true}","{""AB"": ""identity"", ""BD"": ""identity"", ""AC"": ""identity"", ""CD"": ""identity""}","{""AB"": [0, 1, 2, 3], ""BD"": [0, 1, 2, 3], ""AC"": [0, 1, 2, 3], ""CD"": [0, 1, 2, 3]}",1.0,1.0,1.0,1.0,4,True,identity,1.0,1.0,1.0,1.0,1.0,True,identity,1.0,1.0,1.0,1.0,1.0,True,identity,1.0,1.0,1.0,1.0,1.0,True,identity,1.0,1.0,1.0,1.0,1.0,True,"[0, 1, 2, 3]","[0, 1, 2, 3]","[0, 1, 2, 3]",identity,1,False,10.0,1.0,1.0,trivial,1,True,True,False,"[[0, 1, 2, 3]]",4,2,2,2,1,copy,0.0,23,76133
True,True,"{""AB"": true, ""BD"": true, ""AC"": true, ""CD"": true}","{""AB"": ""identity"", ""BD"": ""identity"", ""AC"": ""identity"", ""CD"": ""identity""}","{""AB"": [0, 1, 2, 3], ""BD"": [0, 1, 2, 3], ""AC"": [0, 1, 2, 3], ""CD"": [0, 1, 2, 3]}",1.0,1.0,1.0,1.0,4,True,identity,1.0,1.0,1.0,1.0,1.0,True,identity,1.0,1.0,1.0,1.0,1.0,True,identity,1.0,1.0,1.0,1.0,1.0,True,identity,1.0,1.0,1.0,1.0,1.0,True,"[0, 1, 2, 3]","[0, 1, 2, 3]","[0, 1, 2, 3]",identity,1,False,10.0,1.0,1.0,trivial,1,True,True,False,"[[0, 1, 2, 3]]",4,2,2,2,1,copy,0.0,24,76134
True,True,"{""AB"": true, ""BD"": true, ""AC"": true, ""CD"": true}","{""AB"": ""identity"", ""BD"": ""identity"", ""AC"": ""identity"", ""CD"": ""identity""}","{""AB"": [0, 1, 2, 3], ""BD"": [0, 1, 2, 3], ""AC"": [0, 1, 2, 3], ""CD"": [0, 1, 2, 3]}",1.0,1.0,1.0,1.0,4,True,identity,1.0,1.0,1.0,1.0,1.0,True,identity,1.0,1.0,1.0,1.0,1.0,True,identity,1.0,1.0,1.0,1.0,1.0,True,identity,1.0,1.0,1.0,1.0,1.0,True,"[0, 1, 2, 3]","[0, 1, 2, 3]","[0, 1, 2, 3]",identity,1,False,10.0,1.0,1.0,trivial,1,True,True,False,"[[0, 1, 2, 3]]",4,2,2,2,1,copy,0.0,25,76135
True,True,"{""AB"": true, ""BD"": true, ""AC"": true, ""CD"": true}","{""AB"": ""identity"", ""BD"": ""identity"", ""AC"": ""identity"", ""CD"": ""identity""}","{""AB"": [0, 1, 2, 3], ""BD"": [0, 1, 2, 3], ""AC"": [0, 1, 2, 3], ""CD"": [0, 1, 2, 3]}",1.0,1.0,1.0,1.0,4,True,identity,1.0,1.0,1.0,1.0,1.0,True,identity,1.0,1.0,1.0,1.0,1.0,True,identity,1.0,1.0,1.0,1.0,1.0,True,identity,1.0,1.0,1.0,1.0,1.0,True,"[0, 1, 2, 3]","[0, 1, 2, 3]","[0, 1, 2, 3]",identity,1,False,10.0,1.0,1.0,trivial,1,True,True,False,"[[0, 1, 2, 3]]",4,2,2,2,1,copy,0.0,26,76136
True,True,"{""AB"": true, ""BD"": true, ""AC"": true, ""CD"": true}","{""AB"": ""identity"", ""BD"": ""identity"", ""AC"": ""identity"", ""CD"": ""identity""}","{""AB"": [0, 1, 2, 3], ""BD"": [0, 1, 2, 3], ""AC"": [0, 1, 2, 3], ""CD"": [0, 1, 2, 3]}",1.0,1.0,1.0,1.0,4,True,identity,1.0,1.0,1.0,1.0,1.0,True,identity,1.0,1.0,1.0,1.0,1.0,True,identity,1.0,1.0,1.0,1.0,1.0,True,identity,1.0,1.0,1.0,1.0,1.0,True,"[0, 1, 2, 3]","[0, 1, 2, 3]","[0, 1, 2, 3]",identity,1,False,10.0,1.0,1.0,trivial,1,True,True,False,"[[0, 1, 2, 3]]",4,2,2,2,1,copy,0.0,27,76137
True,True,"{""AB"": true, ""BD"": true, ""AC"": true, ""CD"": true}","{""AB"": ""identity"", ""BD"": ""identity"", ""AC"": ""identity"", ""CD"": ""identity""}","{""AB"": [0, 1, 2, 3], ""BD"": [0, 1, 2, 3], ""AC"": [0, 1, 2, 3], ""CD"": [0, 1, 2, 3]}",1.0,1.0,1.0,1.0,4,True,identity,1.0,1.0,1.0,1.0,1.0,True,identity,1.0,1.0,1.0,1.0,1.0,True,identity,1.0,1.0,1.0,1.0,1.0,True,identity,1.0,1.0,1.0,1.0,1.0,True,"[0, 1, 2, 3]","[0, 1, 2, 3]","[0, 1, 2, 3]",identity,1,False,10.0,1.0,1.0,trivial,1,True,True,False,"[[0, 1, 2, 3]]",4,2,2,2,1,copy,0.0,28,76138
True,True,"{""AB"": true, ""BD"": true, ""AC"": true, ""CD"": true}","{""AB"": ""identity"", ""BD"": ""identity"", ""AC"": ""identity"", ""CD"": ""identity""}","{""AB"": [0, 1, 2, 3], ""BD"": [0, 1, 2, 3], ""AC"": [0, 1, 2, 3], ""CD"": [0, 1, 2, 3]}",1.0,1.0,1.0,1.0,4,True,identity,1.0,1.0,1.0,1.0,1.0,True,identity,1.0,1.0,1.0,1.0,1.0,True,identity,1.0,1.0,1.0,1.0,1.0,True,identity,1.0,1.0,1.0,1.0,1.0,True,"[0, 1, 2, 3]","[0, 1, 2, 3]","[0, 1, 2, 3]",identity,1,False,10.0,1.0,1.0,trivial,1,True,True,False,"[[0, 1, 2, 3]]",4,2,2,2,1,copy,0.0,29,76139
True,True,"{""AB"": true, ""BD"": true, ""AC"": true, ""CD"": true}","{""AB"": ""identity"", ""BD"": ""identity"", ""AC"": ""identity"", ""CD"": ""identity""}","{""AB"": [0, 1, 2, 3], ""BD"": [0, 1, 2, 3], ""AC"": [0, 1, 2, 3], ""CD"": [0, 1, 2, 3]}",1.0,1.0,1.0,1.0,4,True,identity,1.0,1.0,1.0,1.0,1.0,True,identity,1.0,1.0,1.0,1.0,1.0,True,identity,1.0,1.0,1.0,1.0,1.0,True,identity,1.0,1.0,1.0,1.0,1.0,True,"[0, 1, 2, 3]","[0, 1, 2, 3]","[0, 1, 2, 3]",identity,1,False,10.0,1.0,1.0,trivial,1,True,True,False,"[[0, 1, 2, 3]]",4,2,2,2,1,copy,0.0,30,76140
True,True,"{""AB"": true, ""BD"": true, ""AC"": true, ""CD"": true}","{""AB"": ""identity"", ""BD"": ""identity"", ""AC"": ""identity"", ""CD"": ""identity""}","{""AB"": [0, 1, 2, 3], ""BD"": [0, 1, 2, 3], ""AC"": [0, 1, 2, 3], ""CD"": [0, 1, 2, 3]}",1.0,1.0,1.0,1.0,4,True,identity,1.0,1.0,1.0,1.0,1.0,True,identity,1.0,1.0,1.0,1.0,1.0,True,identity,1.0,1.0,1.0,1.0,1.0,True,identity,1.0,1.0,1.0,1.0,1.0,True,"[0, 1, 2, 3]","[0, 1, 2, 3]","[0, 1, 2, 3]",identity,1,False,10.0,1.0,1.0,trivial,1,True,True,False,"[[0, 1, 2, 3]]",4,2,2,2,1,copy,0.0,31,76141
True,True,"{""AB"": true, ""BD"": true, ""AC"": true, ""CD"": true}","{""AB"": ""identity"", ""BD"": ""identity"", ""AC"": ""identity"", ""CD"": ""identity""}","{""AB"": [0, 1, 2, 3], ""BD"": [0, 1, 2, 3], ""AC"": [0, 1, 2, 3], ""CD"": [0, 1, 2, 3]}",1.0,1.0,1.0,1.0,4,True,identity,1.0,1.0,1.0,1.0,1.0,True,identity,1.0,1.0,1.0,1.0,1.0,True,identity,1.0,1.0,1.0,1.0,1.0,True,identity,1.0,1.0,1.0,1.0,1.0,True,"[0, 1, 2, 3]","[0, 1, 2, 3]","[0, 1, 2, 3]",identity,1,False,10.0,1.0,1.0,trivial,1,True,True,False,"[[0, 1, 2, 3]]",4,2,2,2,1,copy,0.0,32,76142
